"component","id","field","vi","en"
"destination","bao-tang-gom-su-mau-dich","name","Bảo tàng Gốm sứ mậu dịch","Museum of Trade Ceramics"
"destination","bao-tang-gom-su-mau-dich","address","80 Trần Phú","80 Trần Phú"
"destination","bao-tang-gom-su-mau-dich","hours","7:00 - 21:00","7:00 - 21:00"
"destination","bao-tang-gom-su-mau-dich","description","Nằm trong một ngôi nhà cổ hai tầng được xây dựng vào khoảng đầu thế kỷ XX nằm tại số 80 Trần Phú, thành phố Hội An, Bảo tàng Gốm sứ Mậu dịch là bảo tàng chuyên đề trưng bày các hiện vật gốm sứ được tìm thấy trong các di chỉ khảo cổ học gốm sứ tại Hội An, phản ánh con đường gốm sứ mậu dịch trên biển…","Displays over 430 trade-ceramic artifacts from the 8th–18th centuries, evidence of Hoi An's role as an international port."
"destination","bao-tang-hoi-an","name","Bảo tàng Hội An","Hoi An Museum"
"destination","bao-tang-hoi-an","address","10B Trần Hưng Đạo","10B Trần Hưng Đạo"
"destination","bao-tang-hoi-an","hours","7:30 - 11:30 13:30 - 17:30","7:30 - 11:30 13:30 - 17:30"
"destination","bao-tang-hoi-an","description","Hội An là một thành phố nhỏ trực thuộc tỉnh Quảng Nam, nằm bên bờ bắc sông Thu Bồn cách Thành phố Đà Nẵng 30km về phía Nam. Thành phố Hội An có diện tích khoảng 60 km2, dân số hơn 90.000 người, gồm 9 phường , 3 xã đất liền và 1 xã đảo.","The general museum of the town: Sa Huynh, Champa and trading-port periods through to the modern city."
"destination","bao-tang-sa-huynh","name","Bảo tàng Văn hóa Sa Huỳnh","Sa Huynh Culture Museum"
"destination","bao-tang-sa-huynh","address","149 Trần Phú","149 Trần Phú"
"destination","bao-tang-sa-huynh","hours","8:00 - 21:00","8:00 - 21:00"
"destination","bao-tang-sa-huynh","description","Bảo tàng Văn hoá Sa Huỳnh tọa lạc tại một ngôi nhà cổ theo lối kiến trúc Pháp, nằm ở số 149 đường Trần Phú, Hội An, là nơi trưng bày bộ sưu tập đầy đủ và độc đáo gồm 971 hiện vật liên quan đến cư dân cổ thuộc hệ văn hoá Sa Huỳnh (niên đại cách nay hơn 2000 năm) - được coi là chủ nhân của tiền cảng -…","Burial jars, jewellery and tools of the Sa Huynh culture that lived here more than 2,000 years ago."
"destination","bao-tang-van-hoa-dan-gian","name","Bảo tàng Văn hóa dân gian","Museum of Folk Culture"
"destination","bao-tang-van-hoa-dan-gian","address","33 Nguyễn Thái Học","33 Nguyễn Thái Học"
"destination","bao-tang-van-hoa-dan-gian","hours","8:00 - 21:30","8:00 - 21:30"
"destination","bao-tang-van-hoa-dan-gian","description","Bảo tàng Văn hóa Dân gian tọa lạc tại một căn nhà cổ 2 tầng nằm ở số 33 đường Nguyễn Thái Học, Hội An, là nơi lưu giữ và cung cấp các thông tin có giá trị về nhiều nét đẹp văn hóa đặc sắc của cư dân địa phương.","A large two-storey wooden house showing the crafts, folk arts and everyday life of Hoi An."
"destination","bao-tang-nghe-y","name","Bảo tàng nghề Y truyền thống","Museum of Traditional Medicine"
"destination","bao-tang-nghe-y","address","34 Nguyễn Thái Học","34 Nguyễn Thái Học"
"destination","bao-tang-nghe-y","hours","8:00 - 21:30","8:00 - 21:30"
"destination","bao-tang-nghe-y","description","Traditional Vietnamese medicine: herb cabinets, scales, prescriptions and a reconstructed apothecary.","Traditional Vietnamese medicine: herb cabinets, scales, prescriptions and a reconstructed apothecary."
"destination","bao-tang-tho-san","name","Bảo tàng Thổ sản","Museum of Local Products"
"destination","bao-tang-tho-san","address","57 Trần Phú","57 Trần Phú"
"destination","bao-tang-tho-san","hours","8:00 - 21:30","8:00 - 21:30"
"destination","bao-tang-tho-san","description","Local produce and specialities of Quang Nam, and the river trade that carried them to the port.","Local produce and specialities of Quang Nam, and the river trade that carried them to the port."
"destination","nha-trung-bay-nhat-ban","name","Nhà trưng bày Văn hóa Nhật Bản","Japanese Culture Exhibition House"
"destination","nha-trung-bay-nhat-ban","address","6 Nguyễn Thị Minh Khai","6 Nguyễn Thị Minh Khai"
"destination","nha-trung-bay-nhat-ban","hours","Liên hệ ban tổ chức","Check with organisers"
"destination","nha-trung-bay-nhat-ban","description","Exhibition on the Japanese quarter of old Hoi An and the archaeology of Japanese trade in the town.","Exhibition on the Japanese quarter of old Hoi An and the archaeology of Japanese trade in the town."
"destination","nha-bieu-dien-nghe-thuat","name","Nhà biểu diễn nghệ thuật cổ truyền Hội An","Traditional Art Performance House"
"destination","nha-bieu-dien-nghe-thuat","address","Khu phố cổ Hội An","Hoi An Ancient Town"
"destination","nha-bieu-dien-nghe-thuat","hours","Liên hệ ban tổ chức","Check with organisers"
"destination","nha-bieu-dien-nghe-thuat","description","Nhà Biểu diễn nghệ thuật cổ truyền được thành lập từ năm 1996 đến nay, các chương trình nghệ thuật đã mang lại nhiều mỹ cảm và sự thích thú cho đông đảo người xem trong nước và quốc tế.","Stage for traditional music, bai choi singing and folk dance performances."
"destination","nha-tho-toc-tran","name","Nhà thờ tộc Trần","Tran Family Chapel"
"destination","nha-tho-toc-tran","address","21 Lê Lợi","21 Lê Lợi"
"destination","nha-tho-toc-tran","hours","7:00 - 21:00 (trừ Chủ nhật và Thứ hai đóng cửa lúc 18:00)","7:00 - 21:00 (trừ Chủ nhật và Thứ hai đóng cửa lúc 18:00)"
"destination","nha-tho-toc-tran","description","A 200-year-old family worship house built by a mandarin of the Tran clan, set in a walled garden.","A 200-year-old family worship house built by a mandarin of the Tran clan, set in a walled garden."
"destination","nha-tho-toc-nguyen-tuong","name","Nhà thờ tộc Nguyễn Tường","Nguyen Tuong Family Chapel"
"destination","nha-tho-toc-nguyen-tuong","address","8/2 Nguyễn Thị Minh Khai","8/2 Nguyễn Thị Minh Khai"
"destination","nha-tho-toc-nguyen-tuong","hours","8:00 - 21:00","8:00 - 21:00"
"destination","nha-tho-toc-nguyen-tuong","description","Nằm tại số 8/2 đường Nguyễn Thị Minh Khai, Hội An, nhà thờ tộc Nguyễn Tường được khởi dựng năm 1806, vốn là tư dinh của cụ Nguyễn Tường Vân, làm quan dưới thời Gia Long triều Nguyễn, được thăng chức Binh bộ Thượng thư vào năm Minh Mạng thứ nhất (1820).","Ancestral chapel of the Nguyen Tuong clan, a family of mandarins and writers."
"destination","nha-co-phung-hung","name","Nhà cổ Phùng Hưng","Phung Hung Old House"
"destination","nha-co-phung-hung","address","4 Nguyễn Thị Minh Khai","4 Nguyễn Thị Minh Khai"
"destination","nha-co-phung-hung","hours","8:00 - 18:00","8:00 - 18:00"
"destination","nha-co-phung-hung","description","Nhà cổ Phùng Hưng nằm về phía Tây của cầu Nhật Bản khoảng 10m, có địa chỉ số 04 - Nguyễn Thị Minh Khai. Nhà được xây dựng cách đây khoảng hơn 100 năm, là nơi sinh sống của nhiều thế hệ nối tiếp nhau thuộc một gia đình.","A two-storey merchant house blending Vietnamese, Japanese and Chinese carpentry, still lived in by the family."
"destination","nha-co-quan-thang","name","Nhà cổ Quân Thắng","Quan Thang Ancient House"
"destination","nha-co-quan-thang","address","77 Trần Phú","77 Trần Phú"
"destination","nha-co-quan-thang","hours","9:00 - 19:00","9:00 - 19:00"
"destination","nha-co-quan-thang","description","Nằm ở số 77 đường Trần Phú, thành phố Hội An, nhà cổ Quân Thắng là một trong những ngôi nhà cổ nhất và có kiến trúc độc đáo nhất ở phố cổ Hội An hiện còn được bảo tồn tương đối nguyên vẹn.","A small, finely carved house of Chinese-Fujian style, over 150 years old."
"destination","nha-co-duc-an","name","Nhà cổ Đức An","Duc An Old House"
"destination","nha-co-duc-an","address","129 đường Trần Phú, Hội An","129 đường Trần Phú, Hội An"
"destination","nha-co-duc-an","hours","9:00 - 19:00","9:00 - 19:00"
"destination","nha-co-duc-an","description","A house that was a bookshop and a meeting point of early 20th-century patriots.","A house that was a bookshop and a meeting point of early 20th-century patriots."
"destination","nha-co-tan-ky","name","Nhà cổ Tấn Ký","Tan Ky Old House"
"destination","nha-co-tan-ky","address","101 Nguyễn Thái Học","101 Nguyễn Thái Học"
"destination","nha-co-tan-ky","hours","8:30 - 18:00","8:30 - 18:00"
"destination","nha-co-tan-ky","description","Trong hơn 1.000 nhà cổ hiện nay ở Đô thị cổ Hội An, nhà cổ Tấn Ký số 101 đường Nguyễn Thái Học nổi tiếng với du khách gần xa với các giá trị về lịch sử văn hoá, về kiến trúc và cả mỹ thuật điêu khắc gỗ.","A 200-year-old house blending Vietnamese, Japanese and Chinese architecture, recognized as a national heritage site."
"destination","hoi-quan-quang-trieu","name","Hội quán Quảng Triệu","Cantonese Assembly Hall"
"destination","hoi-quan-quang-trieu","address","176 Trần Phú","176 Trần Phú"
"destination","hoi-quan-quang-trieu","hours","8:00 - 17:00","8:00 - 17:00"
"destination","hoi-quan-quang-trieu","description","Hội quán Quảng Đông (hay còn gọi là Hội quán Quảng Triệu) nằm tại số 176 đường Trần Phú, Hội An. Công trình được Hoa kiều bang Quảng Đông tại Hội An và các vùng lân cận xây dựng vào năm 1885 làm nơi sinh hoạt cộng đồng và tín ngưỡng.","Also known as the Guangdong hall, famous for its intricate ceramic mosaics and elaborately carved wood and stone columns."
"destination","hoi-quan-phuc-kien","name","Hội quán Phúc Kiến","Fujian Assembly Hall"
"destination","hoi-quan-phuc-kien","address","46 Trần Phú","46 Trần Phú"
"destination","hoi-quan-phuc-kien","hours","7:00 - 18:00","7:00 - 18:00"
"destination","hoi-quan-phuc-kien","description","Hội quán Phúc Kiến tọa lạc tại số 46 đường Trần Phú, Hội An, trên một khuôn đất cao ráo quay mặt về hướng Nam. Công trình được bà con người Hoa bang Phước Kiến tại Hội An cho xây dựng năm 1757 trên nền một ngôi chùa Việt cổ có tên “Kim Sơn Tự”, dùng cho việc thờ tự các vị thần bảo hộ, các vị tiền hi…","The largest and most ornate assembly hall in Hoi An, dedicated to Thien Hau, protector goddess of seafaring merchants of the Fujian community."
"destination","hoi-quan-hai-nam","name","Hội quán Hải Nam","Hainan Assembly Hall"
"destination","hoi-quan-hai-nam","address","10 Trần Phú","10 Trần Phú"
"destination","hoi-quan-hai-nam","hours","9:00 - 21:00","9:00 - 21:00"
"destination","hoi-quan-hai-nam","description","Built by the Hainan community in memory of 108 merchants lost at sea in 1851.","Built by the Hainan community in memory of 108 merchants lost at sea in 1851."
"destination","hoi-quan-trieu-chau","name","Hội quán Triều Châu","Teochew Assembly Hall"
"destination","hoi-quan-trieu-chau","address","362 Nguyễn Duy Hiệu","362 Nguyễn Duy Hiệu"
"destination","hoi-quan-trieu-chau","hours","8:00 - 17:00 (có nghỉ trưa)","8:00 - 17:00 (có nghỉ trưa)"
"destination","hoi-quan-trieu-chau","description","Chaozhou community hall renowned for its wood carving and porcelain-inlay decoration.","Chaozhou community hall renowned for its wood carving and porcelain-inlay decoration."
"destination","dinh-cam-pho","name","Đình Cẩm Phô","Cam Pho Communal House"
"destination","dinh-cam-pho","address","52 Nguyễn Thị Minh Khai","52 Nguyễn Thị Minh Khai"
"destination","dinh-cam-pho","hours","8:00 - 21:00","8:00 - 21:00"
"destination","dinh-cam-pho","description","The communal house of Cam Pho village, where the tutelary gods of the old settlement are worshipped.","The communal house of Cam Pho village, where the tutelary gods of the old settlement are worshipped."
"destination","tuy-tien-duong-minh-huong","name","Tụy Tiên Đường Minh Hương","Minh Huong Communal House"
"destination","tuy-tien-duong-minh-huong","address","14 Trần Phú","14 Trần Phú"
"destination","tuy-tien-duong-minh-huong","hours","Liên hệ ban tổ chức","Check with organisers"
"destination","tuy-tien-duong-minh-huong","description","Minh Hương Tụy Tiên Đường nằm ở số 14 đường Trần Phú - Hội An, còn gọi là Đình tiền hiền Minh Hương, là công trình kiến trúc tín ngưỡng do người Minh Hương dựng nên để thờ cúng các bậc tiền hiền khai lập làng Minh Hương, một trong những làng cổ ở Hội An gắn với quá trình di cư của cộng đồng người Ho…","Worship house of the Minh Huong community — Chinese settlers who became Vietnamese citizens."
"destination","dinh-hoi-an","name","Đình Hội An","Hoi An Communal House"
"destination","dinh-hoi-an","address","Trên đường Lê Lợi","Trên đường Lê Lợi"
"destination","dinh-hoi-an","hours","Liên hệ ban tổ chức","Check with organisers"
"destination","dinh-hoi-an","description","Communal house on Le Loi street, a village worship site inside the old town.","Communal house on Le Loi street, a village worship site inside the old town."
"destination","trinh-nghe-xi-ma","name","Điểm tham quan trình nghề Xí Mà","Xi Ma Craft Demonstration"
"destination","trinh-nghe-xi-ma","address","45/17 đường Trần Hưng Đạo","45/17 đường Trần Hưng Đạo"
"destination","trinh-nghe-xi-ma","hours","Liên hệ ban tổ chức","Check with organisers"
"destination","trinh-nghe-xi-ma","description","Live demonstration of xi ma — the black sesame sweet soup that is a Hoi An street-food institution.","Live demonstration of xi ma — the black sesame sweet soup that is a Hoi An street-food institution."
"tour","nha-co-va-nghe-xua","title","Nhà cổ & nghề xưa","Old houses & old trades"
"tour","nha-co-va-nghe-xua","theme","Nguyễn Tường → Miếu Quan Công","Nguyen Tuong chapel → Quan Cong temple"
"tour","nha-co-va-nghe-xua","description","Tuyến đi bộ đã khảo sát thực tế: xuất phát từ nhà thờ tộc Nguyễn Tường trên đường Nguyễn Thị Minh Khai, rẽ sang Trần Phú ghé nhà cổ Đức An, xuống Nguyễn Thái Học thăm bảo tàng nghề Y truyền thống, rồi kết thúc ở Miếu Quan Công.","A surveyed walking route: start at the Nguyen Tuong family chapel on Nguyen Thi Minh Khai, turn onto Tran Phu for Duc An old house, drop down to Nguyen Thai Hoc for the Museum of Traditional Medicine, and finish at Quan Cong Temple."
"tour","nha-co-va-nghe-xua","voucher","Voucher quà tặng (chốt tên sau)","Gift voucher (name TBD)"
"tour","chua-cau-va-cam-pho","title","Chùa Cầu & Cẩm Phô","Japanese Bridge & Cam Pho"
"tour","chua-cau-va-cam-pho","theme","Đình Cẩm Phô → Tụy Tiên Đường Minh Hương","Cam Pho communal house → Minh Huong ancestral hall"
"tour","chua-cau-va-cam-pho","description","Tuyến đi bộ đã khảo sát thực tế: từ đình làng Cẩm Phô đi dọc Nguyễn Thị Minh Khai qua nhà trưng bày Văn hóa Nhật Bản và Chùa Cầu, sang hội quán Quảng Triệu, rồi đi hết Trần Phú tới Tụy Tiên Đường Minh Hương.","A surveyed walking route: from the Cam Pho communal house along Nguyen Thi Minh Khai past the Japanese Culture Gallery and the Japanese Bridge, on to the Cantonese Assembly Hall, then the length of Tran Phu to the Minh Huong ancestral hall."
"tour","chua-cau-va-cam-pho","voucher","Voucher quà tặng (chốt tên sau)","Gift voucher (name TBD)"
"tour","set-kien-truc","title","Kiến trúc phố cổ","Old-town architecture"
"tour","set-kien-truc","theme","Cầu, nhà cổ & hội quán","Bridge, old houses & an assembly hall"
"tour","set-kien-truc","description","Bộ 5 điểm hợp lệ (1 di tích + 1 bảo tàng + 3 điểm tự do), tập trung vào kiến trúc gỗ và gạch của phố cổ. BẢN NHÁP — cần đội nội dung viết lại narrative và xếp thứ tự theo tuyến đã khảo sát.","A valid 5-site set (1 monument + 1 museum + 3 free), themed on the old town's timber-and-brick architecture. DRAFT — content team to rewrite the narrative and order the stops along a surveyed route."
"tour","set-kien-truc","voucher","Voucher quà tặng (chốt tên sau)","Gift voucher (name TBD)"
"tour","set-nghe-xua","title","Nghề xưa & thủ công","Old trades & craft"
"tour","set-nghe-xua","theme","Miếu Quan Công → Xí Mà","Quan Cong temple → Xi Ma craft"
"tour","set-nghe-xua","description","Bộ 5 điểm hợp lệ (1 di tích + 1 bảo tàng + 3 điểm tự do), xoay quanh nghề truyền thống và nhà thờ tộc. BẢN NHÁP — cần đội nội dung viết lại narrative và xếp thứ tự theo tuyến đã khảo sát.","A valid 5-site set (1 monument + 1 museum + 3 free), built around traditional trades and family chapels. DRAFT — content team to rewrite the narrative and order the stops along a surveyed route."
"tour","set-nghe-xua","voucher","Voucher quà tặng (chốt tên sau)","Gift voucher (name TBD)"
"tour","set-cong-dong","title","Tín ngưỡng & cộng đồng","Belief & community"
"tour","set-cong-dong","theme","Chùa Quan Âm → Minh Hương","Quan Am pagoda → Minh Huong hall"
"tour","set-cong-dong","description","Bộ 5 điểm hợp lệ (1 di tích + 1 bảo tàng + 3 điểm tự do), gồm chùa, hội quán và đình làng — thường vắng hơn, dễ chịu hơn. BẢN NHÁP — cần đội nội dung viết lại narrative và xếp thứ tự theo tuyến đã khảo sát.","A valid 5-site set (1 monument + 1 museum + 3 free) of pagoda, assembly hall and communal houses — usually quieter and more relaxed. DRAFT — content team to rewrite the narrative and order the stops along a surveyed route."
"tour","set-cong-dong","voucher","Voucher quà tặng (chốt tên sau)","Gift voucher (name TBD)"
"reward","tier-dao-pho","title","Người dạo phố","Wanderer"
"reward","tier-dao-pho","reward","Sticker Hội An Creative Week","Hoi An Creative Week sticker"
"reward","tier-kham-pha","title","Người khám phá","Explorer"
"reward","tier-kham-pha","reward","Bưu thiếp in tại chỗ","Printed postcard"
"reward","tier-suu-tam","title","Nhà sưu tầm","Collector"
"reward","tier-suu-tam","reward","Voucher quà tặng (chốt tên sau)","Gift voucher (name TBD)"
"reward","tier-dai-su","title","Đại sứ Hội An","Hoi An Ambassador"
"reward","tier-dai-su","reward","Quà lưu niệm đặc biệt","Special souvenir"
"category","di-tich","label","Di tích","Heritage"
"category","hoi-quan","label","Hội quán","Assembly halls"
"category","nha-co","label","Nhà cổ","Old houses"
"category","bao-tang","label","Bảo tàng","Museums"
"category","trai-nghiem","label","Trải nghiệm & trình diễn","Experiences & performances"
"ticket-point","V1","where","Bên trái Quảng trường sông Hoài, trên dọc đường Công Nữ Ngọc Hoa","Bên trái Quảng trường sông Hoài, trên dọc đường Công Nữ Ngọc Hoa"
"ticket-point","V3","where","Đầu đường Nguyễn Thị Minh Khai, gần chỗ con thuyền Nhật Bản, ngay chỗ bắt xe taxi - xe điện","Đầu đường Nguyễn Thị Minh Khai, gần chỗ con thuyền Nhật Bản, ngay chỗ bắt xe taxi - xe điện"
"ticket-point","V4","where","Đầu đường Nguyễn Phúc Chu","Đầu đường Nguyễn Phúc Chu"
"ticket-point","V10","where","Công viên Phan Châu Trinh","Công viên Phan Châu Trinh"
"ticket-point","V5","where","Cạnh chùa Cầu","Cạnh chùa Cầu"
"ticket-point","V6","where","Đầu cầu An Hội, bên Nguyễn Phúc Chu","Đầu cầu An Hội, bên Nguyễn Phúc Chu"
"ticket-point","V9","where","Trên đường Hai Bà Trưng, trước cổng chùa Bà Thiên Mụ","Trên đường Hai Bà Trưng, trước cổng chùa Bà Thiên Mụ"
"ticket-point","V8","where","Trên đường Lê Lợi, cạnh Đình Hội An","Trên đường Lê Lợi, cạnh Đình Hội An"
"ticket-point","V6.2","where","Trên đường Hoàng Văn Thụ, ra bờ sông","Trên đường Hoàng Văn Thụ, ra bờ sông"
"ticket-point","V7","where","Góc đường Phan Châu Trinh - Nguyễn Huệ","Góc đường Phan Châu Trinh - Nguyễn Huệ"
"ticket-point","V2","where","Đầu đường Hoàng Diệu giao Trần Phú","Đầu đường Hoàng Diệu giao Trần Phú"
"ticket-point","V97","where","Điểm bán vé tại bãi xe Hoiango","Điểm bán vé tại bãi xe Hoiango"
"ticket-point","V332","where","Điểm bán vé tại 10B Trần Hưng Đạo","Điểm bán vé tại 10B Trần Hưng Đạo"
"event","event","title","Tuần lễ Sáng tạo Hội An",""
"event","event","year","2026",""
"event","event","dates","28 tháng 8 - 02 tháng 9",""
"event","event","tagline","Hành trình Chạm di sản, Chạm sáng tạo","Embrace Heritage, Inspire Creativity"
"event","event","subtitle","Phố cổ Hội An - Di sản Văn hóa Thế giới","Hoi An Ancient Town - World Cultural Heritage"
"event","event","venue","Quảng trường sông Hoài và khu phố cổ Hội An","Sông Hoài Square and Hội An Ancient Town"
"event","event","intro","Từ thế kỷ 16, thương cảng Hội An đã không ngừng hội nhập và phát triển văn hoá. Ngày nay, Hội An vừa lưu trữ kho tàng di sản trăm năm, vừa hình thành những nguồn lực sáng tạo mới dựa trên thủ công và nghệ thuật dân gian. Trong Tuần Lễ Sáng Tạo Hội An 2026, hãy bước vào hành trình khám phá những điểm chạm di sản và không gian nghệ thuật của Hội An, thu thập tem tại từng điểm đến để tạo nên 'hộ chiếu sáng tạo' Hội An của riêng bạn.","Since the 16th century, Hội An has flourished as a vibrant trading port where cultures converged and evolved. Today, the city preserves a wealth of heritage while cultivating new creative energies rooted in craftsmanship and folk arts. During Hoi An Creative Week 2026, embark on a journey through the city's heritage landmarks and art spaces. Collect stamps at each destination for your own unique Hội An Creative Passport."
"event","event","note","Hộ chiếu được lưu trên thiết bị của bạn, không cần đăng nhập lại trang này. Hãy lưu lại mã khôi phục trong mục Hộ chiếu để không mất tem khi đổi máy.","Your passport is stored on your device. No login required. Check-in works offline. Save the recovery code on the Passport tab so you keep your stamps if you switch phones."
"event","event","programmeTitle","Chương trình nghệ thuật","Performance series"
"event","event","howItWorks[0]","Mở bản đồ và chọn một điểm đến đang vẫy gọi ngay gần bạn.","Open the digital map and select a calling site near you."
"event","event","howItWorks[1]","Khi đến nơi, chạm 'Check-in'. Ứng dụng sẽ tự động xác nhận vị trí qua GPS.","Upon arrival, tap 'Check in'. The app will seamlessly verify your GPS location."
"event","event","howItWorks[2]","Hoàn thành một thử thách nhỏ thú vị về điểm đến để xác thực hành trình.","Complete a fun little challenge about the site to validate your visit."
"event","event","howItWorks[3]","Sưu tầm tem và tích lũy điểm số. Khám phá các 'Điểm đến nổi bật' để nhận thêm +10 điểm thưởng.","Collect stamps and earn points. Discover Spotlight sites for +10 bonus points."
"event","event","howItWorks[4]","Chinh phục đủ các điểm theo tuyến hoặc đạt danh hiệu để đổi lấy những phần quà độc quyền tại quầy vé tham quan phố cổ.","Conquer a full tour set or achieve a rank to redeem exclusive gifts at any ticket counter of the ancient town."
"event","event","programme[0].date","28/8",""
"event","event","programme[0].time","19:30 – 21:00",""
"event","event","programme[0].title","Lễ khai mạc “Tuần lễ sáng tạo Hội An 2026 – Chạm di sản, Chạm sáng tạo”","“Hội An Creative Week 2026 – Embrace Heritage, Inspire Creativity” Opening Ceremony"
"event","event","programme[1].date","29/8",""
"event","event","programme[1].time","19:30 – 21:00",""
"event","event","programme[1].title","Chương trình Liên hoan các CLB dân ca Bài Chòi","Bài Chòi Folk Club Gathering"
"event","event","programme[2].date","30 – 31/8",""
"event","event","programme[2].time","19:30 – 21:00",""
"event","event","programme[2].title","Chương trình biểu diễn nghệ thuật truyền thống","Traditional Art Performance Show"
"event","event","programme[3].date","1/9",""
"event","event","programme[3].time","19:30 – 21:00",""
"event","event","programme[3].title","Lễ bế mạc “Tuần lễ sáng tạo Hội An 2026”","Hội An Creative Week 2026 Closing Ceremony"
