"file","where","notes","vietnamese","english"
"destinations.json","A1 chua-cau / description","","Chùa Cầu nằm tiếp giáp đường Nguyễn Thị Minh Khai và đường Trần Phú- Hội An, còn được gọi là cầu Nhật Bản, là công trình do các thương gia Nhật Bản đến buôn bán tại Hội An xây dựng vào khoảng đầu thế kỷ XVII, cách nay hơn 400 năm.","A wooden bridge built by Japanese merchants in the early 17th century — the architectural symbol and soul of Hoi An's old town."
"destinations.json","A1 chua-cau / quiz[0].question","easy","Chùa Cầu do cộng đồng thương nhân nào xây dựng?","Which merchant community built the bridge?"
"destinations.json","A1 chua-cau / quiz[0].options[0]","correct answer","Nhật Bản","Japanese"
"destinations.json","A1 chua-cau / quiz[0].options[1]","","Trung Hoa","Chinese"
"destinations.json","A1 chua-cau / quiz[0].options[2]","","Bồ Đào Nha","Portuguese"
"destinations.json","A1 chua-cau / quiz[1].question","easy","Chùa Cầu được làm chủ yếu bằng vật liệu gì?","What is the bridge mainly made of?"
"destinations.json","A1 chua-cau / quiz[1].options[0]","correct answer","Gỗ","Wood"
"destinations.json","A1 chua-cau / quiz[1].options[1]","","Đá","Stone"
"destinations.json","A1 chua-cau / quiz[1].options[2]","","Bê tông","Concrete"
"destinations.json","A1 chua-cau / quiz[2].question","easy","Chùa Cầu bắc qua dòng nước chảy ra con sông nào?","The bridge crosses a stream flowing into which river?"
"destinations.json","A1 chua-cau / quiz[2].options[0]","correct answer","Sông Thu Bồn","Thu Bon River"
"destinations.json","A1 chua-cau / quiz[2].options[1]","","Sông Hàn","Han River"
"destinations.json","A1 chua-cau / quiz[2].options[2]","","Sông Hương","Huong River"
"destinations.json","A1 chua-cau / quiz[3].question","hard","Chùa Cầu được xây dựng vào khoảng thời gian nào?","When was the bridge built?"
"destinations.json","A1 chua-cau / quiz[3].options[0]","correct answer","Đầu thế kỷ 17","Early 17th century"
"destinations.json","A1 chua-cau / quiz[3].options[1]","","Thế kỷ 15","15th century"
"destinations.json","A1 chua-cau / quiz[3].options[2]","","Thế kỷ 19","19th century"
"destinations.json","A1 chua-cau / quiz[4].question","hard","Hình ảnh Chùa Cầu xuất hiện trên tờ tiền Việt Nam mệnh giá nào?","The bridge appears on which Vietnamese banknote?"
"destinations.json","A1 chua-cau / quiz[4].options[0]","correct answer","20.000 đồng","20,000 VND"
"destinations.json","A1 chua-cau / quiz[4].options[1]","","10.000 đồng","10,000 VND"
"destinations.json","A1 chua-cau / quiz[4].options[2]","","50.000 đồng","50,000 VND"
"destinations.json","A2 chua-quan-am / name","","Chùa Quan Âm","Quan Am Pagoda"
"destinations.json","A2 chua-quan-am / address","","26 Trần Phú","26 Trần Phú"
"destinations.json","A2 chua-quan-am / hours","","7:30 - 19:30","7:30 - 19:30"
"destinations.json","A2 chua-quan-am / description","","Tọa lạc tại số 13 đường Nguyễn Huệ, phường Minh An, thành phố Hội An, Minh Hương Phật tự hay còn gọi là chùa Quan Âm là ngôi chùa thờ Phật có lịch sử lâu đời tại phố cổ Hội An. Theo sử sách, chùa được cư dân làng Minh Hương cho xây khoảng trước năm 1653, giai đoạn hình thành của phố cổ Hội An.","A Buddhist pagoda on Tran Phu street dedicated to Quan Am (Guanyin), the bodhisattva of compassion."
"destinations.json","A2 chua-quan-am / quiz[0].question","easy, AUTO-GENERATED — rewrite","Chùa Quan Âm nằm trên đường nào?","Which street is Quan Am Pagoda on?"
"destinations.json","A2 chua-quan-am / quiz[0].options[0]","","Nguyễn Thị Minh Khai","Nguyễn Thị Minh Khai"
"destinations.json","A2 chua-quan-am / quiz[0].options[1]","correct answer","Trần Phú","Trần Phú"
"destinations.json","A2 chua-quan-am / quiz[0].options[2]","","Nguyễn Thái Học","Nguyễn Thái Học"
"destinations.json","A2 chua-quan-am / quiz[1].question","easy, AUTO-GENERATED — rewrite","Chùa Quan Âm thuộc nhóm điểm đến nào?","Which kind of site is Quan Am Pagoda?"
"destinations.json","A2 chua-quan-am / quiz[1].options[0]","","Hội quán","Assembly halls"
"destinations.json","A2 chua-quan-am / quiz[1].options[1]","","Nhà cổ","Old houses"
"destinations.json","A2 chua-quan-am / quiz[1].options[2]","correct answer","Di tích","Heritage"
"destinations.json","A2 chua-quan-am / quiz[2].question","hard, AUTO-GENERATED — rewrite","Giờ mở cửa của Chùa Quan Âm là?","What are the opening hours of Quan Am Pagoda?"
"destinations.json","A2 chua-quan-am / quiz[2].options[0]","correct answer","7:30 - 19:30","7:30 - 19:30"
"destinations.json","A2 chua-quan-am / quiz[2].options[1]","","7:00 - 22:00","7:00 - 22:00"
"destinations.json","A2 chua-quan-am / quiz[2].options[2]","","8:00 - 18:00","8:00 - 18:00"
"destinations.json","A3 mieu-quan-cong / name","","Miếu Quan Công","Quan Cong Temple"
"destinations.json","A3 mieu-quan-cong / address","","24 Trần Phú","24 Trần Phú"
"destinations.json","A3 mieu-quan-cong / hours","","7:30 - 19:30","7:30 - 19:30"
"destinations.json","A3 mieu-quan-cong / description","","Miếu Quan Công, ở số 24 đường Trần Phú còn được gọi Chùa Ông, tên chữ là Trừng Hán Cung được người làng Minh Hương và người Việt tại Hội An xây dựng vào khoảng giữa thế kỷ XVII, thờ Quan Công – danh tướng thời Tam Quốc, nhằm tán dương lòng nghĩa khí, tiết trung liệt của Ông.","Also called Chua Ong, built in 1653 to worship Quan Cong (Guan Yu), a symbol of loyalty and righteousness."
"destinations.json","A3 mieu-quan-cong / quiz[0].question","easy","Miếu Quan Công thờ nhân vật nào?","Whom does the temple worship?"
"destinations.json","A3 mieu-quan-cong / quiz[0].options[0]","correct answer","Quan Vân Trường","Quan Cong (Guan Yu)"
"destinations.json","A3 mieu-quan-cong / quiz[0].options[1]","","Khổng Tử","Confucius"
"destinations.json","A3 mieu-quan-cong / quiz[0].options[2]","","Trần Hưng Đạo","Tran Hung Dao"
"destinations.json","A3 mieu-quan-cong / quiz[1].question","easy","Miếu Quan Công còn có tên gọi dân gian là gì?","What is the temple's common name?"
"destinations.json","A3 mieu-quan-cong / quiz[1].options[0]","correct answer","Chùa Ông","Chua Ong"
"destinations.json","A3 mieu-quan-cong / quiz[1].options[1]","","Chùa Bà","Chua Ba"
"destinations.json","A3 mieu-quan-cong / quiz[1].options[2]","","Chùa Cầu","Chua Cau"
"destinations.json","A3 mieu-quan-cong / quiz[2].question","hard","Miếu Quan Công được xây dựng vào năm nào?","In what year was the temple built?"
"destinations.json","A3 mieu-quan-cong / quiz[2].options[0]","correct answer","1653","1653"
"destinations.json","A3 mieu-quan-cong / quiz[2].options[1]","","1719","1719"
"destinations.json","A3 mieu-quan-cong / quiz[2].options[2]","","1840","1840"
"destinations.json","A4 bao-tang-gom-su-mau-dich / name","","Bảo tàng Gốm sứ mậu dịch","Museum of Trade Ceramics"
"destinations.json","A4 bao-tang-gom-su-mau-dich / address","","80 Trần Phú","80 Trần Phú"
"destinations.json","A4 bao-tang-gom-su-mau-dich / hours","","7:00 - 21:00","7:00 - 21:00"
"destinations.json","A4 bao-tang-gom-su-mau-dich / description","","Nằm trong một ngôi nhà cổ hai tầng được xây dựng vào khoảng đầu thế kỷ XX nằm tại số 80 Trần Phú, thành phố Hội An, Bảo tàng Gốm sứ Mậu dịch là bảo tàng chuyên đề trưng bày các hiện vật gốm sứ được tìm thấy trong các di chỉ khảo cổ học gốm sứ tại Hội An, phản ánh con đường gốm sứ mậu dịch trên biển…","Displays over 430 trade-ceramic artifacts from the 8th–18th centuries, evidence of Hoi An's role as an international port."
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[0].question","easy","Bảo tàng trưng bày loại hiện vật chính nào?","What artifacts does the museum mainly display?"
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[0].options[0]","correct answer","Gốm sứ mậu dịch","Trade ceramics"
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[0].options[1]","","Tranh sơn mài","Lacquer paintings"
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[0].options[2]","","Nhạc cụ","Musical instruments"
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[1].question","easy","Các hiện vật gốm sứ phản ánh vai trò gì của Hội An?","What role of Hoi An do the ceramics reflect?"
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[1].options[0]","correct answer","Thương cảng quốc tế","International trading port"
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[1].options[1]","","Kinh đô","Royal capital"
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[1].options[2]","","Pháo đài quân sự","Military fortress"
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[2].question","hard","Hiện vật trong bảo tàng có niên đại khoảng thế kỷ mấy?","From around which centuries are the artifacts?"
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[2].options[0]","correct answer","Thế kỷ 8–18","8th–18th century"
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[2].options[1]","","Thế kỷ 1–5","1st–5th century"
"destinations.json","A4 bao-tang-gom-su-mau-dich / quiz[2].options[2]","","Thế kỷ 19–20","19th–20th century"
"destinations.json","A5 bao-tang-hoi-an / name","","Bảo tàng Hội An","Hoi An Museum"
"destinations.json","A5 bao-tang-hoi-an / address","","10B Trần Hưng Đạo","10B Trần Hưng Đạo"
"destinations.json","A5 bao-tang-hoi-an / hours","","7:30 - 11:30 13:30 - 17:30","7:30 - 11:30 13:30 - 17:30"
"destinations.json","A5 bao-tang-hoi-an / description","","Hội An là một thành phố nhỏ trực thuộc tỉnh Quảng Nam, nằm bên bờ bắc sông Thu Bồn cách Thành phố Đà Nẵng 30km về phía Nam. Thành phố Hội An có diện tích khoảng 60 km2, dân số hơn 90.000 người, gồm 9 phường , 3 xã đất liền và 1 xã đảo.","The general museum of the town: Sa Huynh, Champa and trading-port periods through to the modern city."
"destinations.json","A5 bao-tang-hoi-an / quiz[0].question","easy, AUTO-GENERATED — rewrite","Bảo tàng Hội An nằm trên đường nào?","Which street is Hoi An Museum on?"
"destinations.json","A5 bao-tang-hoi-an / quiz[0].options[0]","","Nguyễn Thị Minh Khai","Nguyễn Thị Minh Khai"
"destinations.json","A5 bao-tang-hoi-an / quiz[0].options[1]","correct answer","Trần Hưng Đạo","Trần Hưng Đạo"
"destinations.json","A5 bao-tang-hoi-an / quiz[0].options[2]","","Nguyễn Thái Học","Nguyễn Thái Học"
"destinations.json","A5 bao-tang-hoi-an / quiz[1].question","easy, AUTO-GENERATED — rewrite","Bảo tàng Hội An thuộc nhóm điểm đến nào?","Which kind of site is Hoi An Museum?"
"destinations.json","A5 bao-tang-hoi-an / quiz[1].options[0]","","Di tích","Heritage"
"destinations.json","A5 bao-tang-hoi-an / quiz[1].options[1]","","Hội quán","Assembly halls"
"destinations.json","A5 bao-tang-hoi-an / quiz[1].options[2]","correct answer","Bảo tàng","Museums"
"destinations.json","A5 bao-tang-hoi-an / quiz[2].question","hard, AUTO-GENERATED — rewrite","Giờ mở cửa của Bảo tàng Hội An là?","What are the opening hours of Hoi An Museum?"
"destinations.json","A5 bao-tang-hoi-an / quiz[2].options[0]","correct answer","7:30 - 11:30 13:30 - 17:30","7:30 - 11:30 13:30 - 17:30"
"destinations.json","A5 bao-tang-hoi-an / quiz[2].options[1]","","7:00 - 22:00","7:00 - 22:00"
"destinations.json","A5 bao-tang-hoi-an / quiz[2].options[2]","","8:00 - 18:00","8:00 - 18:00"
"destinations.json","A6 bao-tang-sa-huynh / name","","Bảo tàng Văn hóa Sa Huỳnh","Sa Huynh Culture Museum"
"destinations.json","A6 bao-tang-sa-huynh / address","","149 Trần Phú","149 Trần Phú"
"destinations.json","A6 bao-tang-sa-huynh / hours","","8:00 - 21:00","8:00 - 21:00"
"destinations.json","A6 bao-tang-sa-huynh / description","","Bảo tàng Văn hoá Sa Huỳnh tọa lạc tại một ngôi nhà cổ theo lối kiến trúc Pháp, nằm ở số 149 đường Trần Phú, Hội An, là nơi trưng bày bộ sưu tập đầy đủ và độc đáo gồm 971 hiện vật liên quan đến cư dân cổ thuộc hệ văn hoá Sa Huỳnh (niên đại cách nay hơn 2000 năm) - được coi là chủ nhân của tiền cảng -…","Burial jars, jewellery and tools of the Sa Huynh culture that lived here more than 2,000 years ago."
"destinations.json","A6 bao-tang-sa-huynh / quiz[0].question","easy, AUTO-GENERATED — rewrite","Bảo tàng Văn hóa Sa Huỳnh nằm trên đường nào?","Which street is Sa Huynh Culture Museum on?"
"destinations.json","A6 bao-tang-sa-huynh / quiz[0].options[0]","","Nguyễn Thị Minh Khai","Nguyễn Thị Minh Khai"
"destinations.json","A6 bao-tang-sa-huynh / quiz[0].options[1]","","Nguyễn Thái Học","Nguyễn Thái Học"
"destinations.json","A6 bao-tang-sa-huynh / quiz[0].options[2]","correct answer","Trần Phú","Trần Phú"
"destinations.json","A6 bao-tang-sa-huynh / quiz[1].question","easy, AUTO-GENERATED — rewrite","Bảo tàng Văn hóa Sa Huỳnh thuộc nhóm điểm đến nào?","Which kind of site is Sa Huynh Culture Museum?"
"destinations.json","A6 bao-tang-sa-huynh / quiz[1].options[0]","correct answer","Bảo tàng","Museums"
"destinations.json","A6 bao-tang-sa-huynh / quiz[1].options[1]","","Di tích","Heritage"
"destinations.json","A6 bao-tang-sa-huynh / quiz[1].options[2]","","Hội quán","Assembly halls"
"destinations.json","A6 bao-tang-sa-huynh / quiz[2].question","hard, AUTO-GENERATED — rewrite","Giờ mở cửa của Bảo tàng Văn hóa Sa Huỳnh là?","What are the opening hours of Sa Huynh Culture Museum?"
"destinations.json","A6 bao-tang-sa-huynh / quiz[2].options[0]","","7:00 - 22:00","7:00 - 22:00"
"destinations.json","A6 bao-tang-sa-huynh / quiz[2].options[1]","correct answer","8:00 - 21:00","8:00 - 21:00"
"destinations.json","A6 bao-tang-sa-huynh / quiz[2].options[2]","","8:00 - 18:00","8:00 - 18:00"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / name","","Bảo tàng Văn hóa dân gian","Museum of Folk Culture"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / address","","33 Nguyễn Thái Học","33 Nguyễn Thái Học"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / hours","","8:00 - 21:30","8:00 - 21:30"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / description","","Bảo tàng Văn hóa Dân gian tọa lạc tại một căn nhà cổ 2 tầng nằm ở số 33 đường Nguyễn Thái Học, Hội An, là nơi lưu giữ và cung cấp các thông tin có giá trị về nhiều nét đẹp văn hóa đặc sắc của cư dân địa phương.","A large two-storey wooden house showing the crafts, folk arts and everyday life of Hoi An."
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[0].question","easy, AUTO-GENERATED — rewrite","Bảo tàng Văn hóa dân gian nằm trên đường nào?","Which street is Museum of Folk Culture on?"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[0].options[0]","correct answer","Nguyễn Thái Học","Nguyễn Thái Học"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[0].options[1]","","Nguyễn Thị Minh Khai","Nguyễn Thị Minh Khai"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[0].options[2]","","Trần Hưng Đạo","Trần Hưng Đạo"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[1].question","easy, AUTO-GENERATED — rewrite","Bảo tàng Văn hóa dân gian thuộc nhóm điểm đến nào?","Which kind of site is Museum of Folk Culture?"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[1].options[0]","","Di tích","Heritage"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[1].options[1]","correct answer","Bảo tàng","Museums"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[1].options[2]","","Hội quán","Assembly halls"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[2].question","hard, AUTO-GENERATED — rewrite","Giờ mở cửa của Bảo tàng Văn hóa dân gian là?","What are the opening hours of Museum of Folk Culture?"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[2].options[0]","","7:00 - 22:00","7:00 - 22:00"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[2].options[1]","","8:00 - 18:00","8:00 - 18:00"
"destinations.json","A7 bao-tang-van-hoa-dan-gian / quiz[2].options[2]","correct answer","8:00 - 21:30","8:00 - 21:30"
"destinations.json","A8 bao-tang-nghe-y / name","","Bảo tàng nghề Y truyền thống","Museum of Traditional Medicine"
"destinations.json","A8 bao-tang-nghe-y / address","","34 Nguyễn Thái Học","34 Nguyễn Thái Học"
"destinations.json","A8 bao-tang-nghe-y / hours","","8:00 - 21:30","8:00 - 21:30"
"destinations.json","A8 bao-tang-nghe-y / description","","Traditional Vietnamese medicine: herb cabinets, scales, prescriptions and a reconstructed apothecary.","Traditional Vietnamese medicine: herb cabinets, scales, prescriptions and a reconstructed apothecary."
"destinations.json","A8 bao-tang-nghe-y / quiz[0].question","easy, AUTO-GENERATED — rewrite","Bảo tàng nghề Y truyền thống nằm trên đường nào?","Which street is Museum of Traditional Medicine on?"
"destinations.json","A8 bao-tang-nghe-y / quiz[0].options[0]","","Nguyễn Thị Minh Khai","Nguyễn Thị Minh Khai"
"destinations.json","A8 bao-tang-nghe-y / quiz[0].options[1]","correct answer","Nguyễn Thái Học","Nguyễn Thái Học"
"destinations.json","A8 bao-tang-nghe-y / quiz[0].options[2]","","Trần Hưng Đạo","Trần Hưng Đạo"
"destinations.json","A8 bao-tang-nghe-y / quiz[1].question","easy, AUTO-GENERATED — rewrite","Bảo tàng nghề Y truyền thống thuộc nhóm điểm đến nào?","Which kind of site is Museum of Traditional Medicine?"
"destinations.json","A8 bao-tang-nghe-y / quiz[1].options[0]","","Di tích","Heritage"
"destinations.json","A8 bao-tang-nghe-y / quiz[1].options[1]","","Hội quán","Assembly halls"
"destinations.json","A8 bao-tang-nghe-y / quiz[1].options[2]","correct answer","Bảo tàng","Museums"
"destinations.json","A8 bao-tang-nghe-y / quiz[2].question","hard, AUTO-GENERATED — rewrite","Giờ mở cửa của Bảo tàng nghề Y truyền thống là?","What are the opening hours of Museum of Traditional Medicine?"
"destinations.json","A8 bao-tang-nghe-y / quiz[2].options[0]","correct answer","8:00 - 21:30","8:00 - 21:30"
"destinations.json","A8 bao-tang-nghe-y / quiz[2].options[1]","","7:00 - 22:00","7:00 - 22:00"
"destinations.json","A8 bao-tang-nghe-y / quiz[2].options[2]","","8:00 - 18:00","8:00 - 18:00"
"destinations.json","A9 bao-tang-tho-san / name","","Bảo tàng Thổ sản","Museum of Local Products"
"destinations.json","A9 bao-tang-tho-san / address","","57 Trần Phú","57 Trần Phú"
"destinations.json","A9 bao-tang-tho-san / hours","","8:00 - 21:30","8:00 - 21:30"
"destinations.json","A9 bao-tang-tho-san / description","","Local produce and specialities of Quang Nam, and the river trade that carried them to the port.","Local produce and specialities of Quang Nam, and the river trade that carried them to the port."
"destinations.json","A9 bao-tang-tho-san / quiz[0].question","easy, AUTO-GENERATED — rewrite","Bảo tàng Thổ sản nằm trên đường nào?","Which street is Museum of Local Products on?"
"destinations.json","A9 bao-tang-tho-san / quiz[0].options[0]","","Nguyễn Thị Minh Khai","Nguyễn Thị Minh Khai"
"destinations.json","A9 bao-tang-tho-san / quiz[0].options[1]","","Nguyễn Thái Học","Nguyễn Thái Học"
"destinations.json","A9 bao-tang-tho-san / quiz[0].options[2]","correct answer","Trần Phú","Trần Phú"
"destinations.json","A9 bao-tang-tho-san / quiz[1].question","easy, AUTO-GENERATED — rewrite","Bảo tàng Thổ sản thuộc nhóm điểm đến nào?","Which kind of site is Museum of Local Products?"
"destinations.json","A9 bao-tang-tho-san / quiz[1].options[0]","correct answer","Bảo tàng","Museums"
"destinations.json","A9 bao-tang-tho-san / quiz[1].options[1]","","Di tích","Heritage"
"destinations.json","A9 bao-tang-tho-san / quiz[1].options[2]","","Hội quán","Assembly halls"
"destinations.json","A9 bao-tang-tho-san / quiz[2].question","hard, AUTO-GENERATED — rewrite","Giờ mở cửa của Bảo tàng Thổ sản là?","What are the opening hours of Museum of Local Products?"
"destinations.json","A9 bao-tang-tho-san / quiz[2].options[0]","","7:00 - 22:00","7:00 - 22:00"
"destinations.json","A9 bao-tang-tho-san / quiz[2].options[1]","correct answer","8:00 - 21:30","8:00 - 21:30"
"destinations.json","A9 bao-tang-tho-san / quiz[2].options[2]","","8:00 - 18:00","8:00 - 18:00"
"destinations.json","A10 nha-trung-bay-nhat-ban / name","","Nhà trưng bày Văn hóa Nhật Bản","Japanese Culture Exhibition House"
"destinations.json","A10 nha-trung-bay-nhat-ban / address","","6 Nguyễn Thị Minh Khai","6 Nguyễn Thị Minh Khai"
"destinations.json","A10 nha-trung-bay-nhat-ban / hours","","Liên hệ ban tổ chức","Check with organisers"
"destinations.json","A10 nha-trung-bay-nhat-ban / description","","Exhibition on the Japanese quarter of old Hoi An and the archaeology of Japanese trade in the town.","Exhibition on the Japanese quarter of old Hoi An and the archaeology of Japanese trade in the town."
"destinations.json","A10 nha-trung-bay-nhat-ban / quiz[0].question","easy, AUTO-GENERATED — rewrite","Nhà trưng bày Văn hóa Nhật Bản nằm trên đường nào?","Which street is Japanese Culture Exhibition House on?"
"destinations.json","A10 nha-trung-bay-nhat-ban / quiz[0].options[0]","correct answer","Nguyễn Thị Minh Khai","Nguyễn Thị Minh Khai"
"destinations.json","A10 nha-trung-bay-nhat-ban / quiz[0].options[1]","","Trần Phú","Trần Phú"
"destinations.json","A10 nha-trung-bay-nhat-ban / quiz[0].options[2]","","Nguyễn Thái Học","Nguyễn Thái Học"
"destinations.json","A10 nha-trung-bay-nhat-ban / quiz[1].question","easy, AUTO-GENERATED — rewrite","Nhà trưng bày Văn hóa Nhật Bản thuộc nhóm điểm đến nào?","Which kind of site is Japanese Culture Exhibition House?"
"destinations.json","A10 nha-trung-bay-nhat-ban / quiz[1].options[0]","","Di tích","Heritage"
"destinations.json","A10 nha-trung-bay-nhat-ban / quiz[1].options[1]","correct answer","Bảo tàng","Museums"
"destinations.json","A10 nha-trung-bay-nhat-ban / quiz[1].options[2]","","Hội quán","Assembly halls"
"destinations.json","A11 nha-bieu-dien-nghe-thuat / name","","Nhà biểu diễn nghệ thuật cổ truyền Hội An","Traditional Art Performance House"
"destinations.json","A11 nha-bieu-dien-nghe-thuat / address","","Khu phố cổ Hội An","Hoi An Ancient Town"
"destinations.json","A11 nha-bieu-dien-nghe-thuat / hours","","Liên hệ ban tổ chức","Check with organisers"
"destinations.json","A11 nha-bieu-dien-nghe-thuat / description","","Nhà Biểu diễn nghệ thuật cổ truyền được thành lập từ năm 1996 đến nay, các chương trình nghệ thuật đã mang lại nhiều mỹ cảm và sự thích thú cho đông đảo người xem trong nước và quốc tế.","Stage for traditional music, bai choi singing and folk dance performances."
"destinations.json","A11 nha-bieu-dien-nghe-thuat / quiz[0].question","easy, AUTO-GENERATED — rewrite","Nhà biểu diễn nghệ thuật cổ truyền Hội An thuộc nhóm điểm đến nào?","Which kind of site is Traditional Art Performance House?"
"destinations.json","A11 nha-bieu-dien-nghe-thuat / quiz[0].options[0]","","Di tích","Heritage"
"destinations.json","A11 nha-bieu-dien-nghe-thuat / quiz[0].options[1]","","Hội quán","Assembly halls"
"destinations.json","A11 nha-bieu-dien-nghe-thuat / quiz[0].options[2]","correct answer","Trình diễn","Performances"
"destinations.json","A12 nha-tho-toc-tran / name","","Nhà thờ tộc Trần","Tran Family Chapel"
"destinations.json","A12 nha-tho-toc-tran / address","","21 Lê Lợi","21 Lê Lợi"
"destinations.json","A12 nha-tho-toc-tran / hours","","7:00 - 21:00 (trừ Chủ nhật và Thứ hai đóng cửa lúc 18:00)","7:00 - 21:00 (trừ Chủ nhật và Thứ hai đóng cửa lúc 18:00)"
"destinations.json","A12 nha-tho-toc-tran / description","","A 200-year-old family worship house built by a mandarin of the Tran clan, set in a walled garden.","A 200-year-old family worship house built by a mandarin of the Tran clan, set in a walled garden."
"destinations.json","A12 nha-tho-toc-tran / quiz[0].question","easy, AUTO-GENERATED — rewrite","Nhà thờ tộc Trần nằm trên đường nào?","Which street is Tran Family Chapel on?"
"destinations.json","A12 nha-tho-toc-tran / quiz[0].options[0]","","Nguyễn Thị Minh Khai","Nguyễn Thị Minh Khai"
"destinations.json","A12 nha-tho-toc-tran / quiz[0].options[1]","","Trần Hưng Đạo","Trần Hưng Đạo"
"destinations.json","A12 nha-tho-toc-tran / quiz[0].options[2]","correct answer","Lê Lợi","Lê Lợi"
"destinations.json","A12 nha-tho-toc-tran / quiz[1].question","easy, AUTO-GENERATED — rewrite","Nhà thờ tộc Trần thuộc nhóm điểm đến nào?","Which kind of site is Tran Family Chapel?"
"destinations.json","A12 nha-tho-toc-tran / quiz[1].options[0]","correct answer","Nhà cổ","Old houses"
"destinations.json","A12 nha-tho-toc-tran / quiz[1].options[1]","","Di tích","Heritage"
"destinations.json","A12 nha-tho-toc-tran / quiz[1].options[2]","","Hội quán","Assembly halls"
"destinations.json","A12 nha-tho-toc-tran / quiz[2].question","hard, AUTO-GENERATED — rewrite","Giờ mở cửa của Nhà thờ tộc Trần là?","What are the opening hours of Tran Family Chapel?"
"destinations.json","A12 nha-tho-toc-tran / quiz[2].options[0]","","7:00 - 22:00","7:00 - 22:00"
"destinations.json","A12 nha-tho-toc-tran / quiz[2].options[1]","correct answer","7:00 - 21:00 (trừ Chủ nhật và Thứ hai đóng cửa lúc 18:00)","7:00 - 21:00 (trừ Chủ nhật và Thứ hai đóng cửa lúc 18:00)"
