Tên điểm (VI) — KHÔNG sửa,Site name (EN),Vĩ độ / Latitude,Kinh độ / Longitude,Địa chỉ (VI),Address (EN),Giờ mở cửa (VI),Opening hours (EN),Giới thiệu ngắn (VI),Short description (EN),Dẫn chuyện khi vừa đến (VI),Arrival story (EN),Manh mối – nhìn/tìm gì? (VI),Clue – what to look for (EN),Câu hỏi (VI),Question (EN),Đáp án A (VI),Answer A (EN),Đáp án B (VI),Answer B (EN),Đáp án C (VI),Answer C (EN),Đáp án đúng (A/B/C),Lời giải / phần thưởng (VI),Reveal (EN)
Nhà cổ Đức An,Duc An Old House,15.8769,108.3295,"129 Trần Phú, Phường Minh An","129 Tran Phu St, Minh An Ward",08:00 – 18:00,08:00 – 18:00,"Ngôi nhà từng là hiệu sách và nơi lui tới của các nhà yêu nước đầu thế kỷ 20, gắn với phong trào cách mạng ở Quảng Nam.","Once a bookshop and meeting place for early-20th-century patriots, tied to the revolutionary movement in Quang Nam.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Nhà cổ Đức An,Duc An Old House,Nhà cổ Tấn Ký,Tan Ky Old House,Nhà cổ Quân Thắng,Quan Thang Old House,A,,
Nhà thờ tộc Trần,Tran Family Chapel,15.8777,108.3285,"21 Lê Lợi, Phường Minh An","21 Le Loi St, Minh An Ward",08:00 – 17:30,08:00 – 17:30,"Nhà thờ tộc gần 200 năm của dòng họ Trần, dòng họ quan lại gốc Hoa, là nơi thờ cúng tổ tiên còn gìn giữ nhiều sắc phong và gia phả cổ.","A nearly 200-year-old ancestral chapel of the Tran clan, a mandarin family of Chinese origin, preserving old royal decrees and genealogies.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Nhà thờ tộc Trần,Tran Family Chapel,Nhà thờ tộc Nguyễn Tường,Nguyen Tuong Family Chapel,Nhà cổ Đức An,Duc An Old House,A,,
Quan Âm Phật tự (Chùa Quan Âm),Quan Am Pagoda,15.8773,108.3305,"Trần Phú, Phường Minh An","Tran Phu St, Minh An Ward",Cả ngày,All day,"Ngôi chùa thờ Phật Bà Quan Âm, không gian tĩnh lặng giữa phố cổ, lưu giữ nét kiến trúc tôn giáo truyền thống của Hội An.","A pagoda dedicated to the Goddess of Mercy Quan Am, a tranquil space amid the old town preserving Hoi An's traditional religious architecture.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Quan Âm Phật tự,Quan Am Pagoda,Miếu Quan Công,Quan Cong Temple,Đình Cẩm Phô,Cam Pho Communal House,A,,
Đình Cẩm Phô,Cam Pho Communal House,15.8776,108.3243,"52 Nguyễn Thị Minh Khai, Phường Minh An","52 Nguyen Thi Minh Khai St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Đình làng cổ của làng Cẩm Phô, nơi thờ thành hoàng và sinh hoạt tín ngưỡng của cư dân bản địa Hội An qua nhiều thế kỷ.","The ancient communal house of Cam Pho village, where the village guardian deity is worshipped and local Hoi An life has centered for centuries.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Đình Cẩm Phô,Cam Pho Communal House,Đình Hội An,Hoi An Communal House,Tụy Tiên Đường Minh Hương,Minh Huong Communal House,A,,
Tụy Tiên Đường Minh Hương,Minh Huong Communal House,15.8771,108.3299,"14 Trần Phú, Phường Minh An","14 Tran Phu St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Nơi thờ các bậc tiền hiền người Minh Hương — cộng đồng người Hoa định cư và hoà nhập, có công khai phá, lập nên phố Hội An.",A hall honoring the founding elders of the Minh Huong community — Chinese settlers who integrated locally and helped found the town of Hoi An.,,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Tụy Tiên Đường Minh Hương,Minh Huong Communal House,Đình Cẩm Phô,Cam Pho Communal House,Đình Hội An,Hoi An Communal House,A,,
Đình Hội An (Đình Ông Voi),Hoi An Communal House,15.877,108.3301,"27 Lê Lợi, Phường Minh An","27 Le Loi St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Ngôi đình cổ của làng Hội An, dân gian quen gọi là đình Ông Voi, là một trong những thiết chế tín ngưỡng làng xã lâu đời nhất nơi đây.","The ancient communal house of Hoi An village, popularly called the Elephant House, one of the oldest village religious institutions in the area.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Đình Hội An,Hoi An Communal House,Đình Cẩm Phô,Cam Pho Communal House,Miếu Quan Công,Quan Cong Temple,A,,
Bảo tàng Hội An,Hoi An Museum,15.8776,108.3306,"10B Trần Hưng Đạo, Phường Minh An","10B Tran Hung Dao St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Bảo tàng tổng hợp trưng bày tiến trình lịch sử – văn hoá Hội An từ thời tiền sử, qua thời thương cảng quốc tế, đến ngày nay.","A general museum tracing Hoi An's history and culture from prehistory, through its era as an international port, to today.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Bảo tàng Hội An,Hoi An Museum,Bảo tàng Văn hóa Sa Huỳnh,Museum of Sa Huynh Culture,Bảo tàng Văn hóa Dân gian,Museum of Folk Culture,A,,
Bảo tàng Văn hóa Sa Huỳnh,Museum of Sa Huynh Culture,15.8772,108.3272,"149 Trần Phú, Phường Minh An","149 Tran Phu St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Bảo tàng trưng bày hiện vật của nền văn hoá Sa Huỳnh cách đây hơn 2.000 năm — chủ nhân đầu tiên của vùng đất Hội An, nổi tiếng với mộ chum.","A museum of the 2,000-year-old Sa Huynh culture — the earliest inhabitants of the Hoi An area, famed for their burial jars.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Bảo tàng Văn hóa Sa Huỳnh,Museum of Sa Huynh Culture,Bảo tàng Gốm sứ Mậu dịch,Museum of Trade Ceramics,Bảo tàng Hội An,Hoi An Museum,A,,
Bảo tàng Gốm sứ Mậu dịch,Museum of Trade Ceramics,15.8771,108.3283,"80 Trần Phú, Phường Minh An","80 Tran Phu St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Trưng bày hàng trăm hiện vật gốm sứ mậu dịch vớt từ các con tàu đắm và khai quật trong vùng, minh chứng cho thời hoàng kim của thương cảng Hội An.","Hundreds of trade ceramics recovered from shipwrecks and local digs, evidence of Hoi An's golden age as a trading port.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Bảo tàng Gốm sứ Mậu dịch,Museum of Trade Ceramics,Bảo tàng Văn hóa Sa Huỳnh,Museum of Sa Huynh Culture,Bảo tàng Nghề Y truyền thống,Museum of Traditional Medicine,A,,
Bảo tàng Văn hóa Dân gian,Museum of Folk Culture,15.87675,108.3292,"33 Nguyễn Thái Học, Phường Minh An","33 Nguyen Thai Hoc St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Nằm trong ngôi nhà cổ hai tầng lớn nhất phố cổ, bảo tàng giới thiệu nghề truyền thống, đời sống và sinh hoạt dân gian của cư dân Hội An.","Set in the largest two-storey old house in town, this museum presents the traditional crafts and folk life of Hoi An's people.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Bảo tàng Văn hóa Dân gian,Museum of Folk Culture,Bảo tàng Nghề Y truyền thống,Museum of Traditional Medicine,Bảo tàng Hội An,Hoi An Museum,A,,
Bảo tàng Nghề Y truyền thống,Museum of Traditional Medicine,15.87685,108.3299,"46 Nguyễn Thái Học, Phường Minh An","46 Nguyen Thai Hoc St, Minh An Ward",08:00 – 17:00,08:00 – 17:00,"Bảo tàng tái hiện nghề thuốc Đông y cổ truyền của Hội An, trưng bày dụng cụ bốc thuốc, thang thuốc và không gian một hiệu thuốc Bắc xưa.","A museum recreating Hoi An's traditional medicine trade, with apothecary tools and a recreated old herbal pharmacy.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối dẫn khách tìm một chi tiết CÓ THẬT chỉ thấy được khi đứng tại nơi này.,⚠ Capture on-site — replace with a clue pointing to a REAL detail only visible while standing here.,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Bảo tàng Nghề Y truyền thống,Museum of Traditional Medicine,Bảo tàng Văn hóa Dân gian,Museum of Folk Culture,Bảo tàng Gốm sứ Mậu dịch,Museum of Trade Ceramics,A,,
Nhà biểu diễn Nghệ thuật cổ truyền,Traditional Art Performance House,15.87695,108.3301,"66 Bạch Đằng, Phường Minh An","66 Bach Dang St, Minh An Ward","Suất 10:15, 15:15, 16:15","Shows 10:15, 15:15, 16:15","Nơi trình diễn các loại hình nghệ thuật cổ truyền của vùng đất Quảng Nam — hát bội, dân ca, hoà tấu nhạc cụ dân tộc — theo các suất diễn trong ngày.","A venue presenting Quang Nam's traditional performing arts — classical opera, folk songs and ensemble music — in scheduled daily shows.",,,"⚠ Cần khảo sát tại điểm — thay bằng manh mối liên quan buổi diễn (vd: nhạc cụ mở màn, làn điệu trình diễn).",⚠ Capture on-site — replace with a clue tied to the show (e.g. the opening instrument or the tune performed).,Tìm bảng lịch suất diễn — buổi diễn đầu tiên trong ngày bắt đầu lúc mấy giờ?,Find the show schedule board — what time is the first show of the day?,10:15,10:15,09:00,09:00,12:00,12:00,A,,
Trò chơi Bài chòi,Bai Choi Folk Game,15.8766,108.327,"Sân khấu Bài chòi, vỉa sông An Hội","Bai Choi stage, An Hoi riverside",Buổi tối hằng ngày,Nightly in the evening,"Bài chòi — di sản văn hoá phi vật thể của nhân loại được UNESCO ghi danh — là trò chơi dân gian kết hợp hô hát, nơi anh Hiệu xướng tên quân bài bằng những câu thai dí dỏm.","Bai Choi — a UNESCO Intangible Cultural Heritage — is a folk game blending song and play, where the caller announces each card with witty rhyming verses.",,,"⚠ Cần khảo sát tại điểm — thay bằng manh mối từ buổi chơi (vd: tên một quân bài, câu hô của anh Hiệu).",⚠ Capture on-site — replace with a clue from a live round (e.g. a card name or the caller's verse).,Bài chòi được UNESCO ghi danh là loại di sản gì?,Bai Choi is recognized by UNESCO as what kind of heritage?,Di sản văn hoá phi vật thể,Intangible Cultural Heritage,Di sản thiên nhiên,Natural Heritage,Di sản tư liệu,Documentary Heritage,A,,
Trình nghệ Xí Mà,Xi Ma Heritage Stall,15.87705,108.3288,"Số 56 Bạch Đằng, Phường Minh An","56 Bach Dang St, Minh An Ward",Theo lịch trình diễn,Per performance schedule,Gánh chè mè đen (xí mà) trứ danh gắn với một nghệ nhân gánh hàng rong lâu năm — một 'di sản sống' của ẩm thực và đời sống phố cổ Hội An.,The celebrated black-sesame sweet soup (xi ma) of a long-time street vendor — a 'living heritage' of Hoi An's old-town food and life.,,,"⚠ Cần khảo sát tại điểm — thay bằng manh mối về gánh chè (vd: nguyên liệu chính, dụng cụ gánh hàng).",⚠ Capture on-site — replace with a clue about the stall (e.g. its main ingredient or the carrying gear).,Món 'xí mà' được nấu chủ yếu từ nguyên liệu nào?,What is 'xi ma' mainly made from?,Mè (vừng) đen,Black sesame,Đậu xanh,Mung bean,Gạo nếp,Sticky rice,A,,
Không gian Văn hóa Việt Nam – Nhật Bản,Vietnam–Japan Culture Space,15.8769,108.3278,Phường Minh An (cập nhật địa chỉ),Minh An Ward (address TBC),08:00 – 21:00,08:00 – 21:00,"Không gian trưng bày và trải nghiệm tôn vinh mối giao lưu Việt – Nhật từ thời thương cảng: thư pháp, gấp giấy origami, trà đạo và các hoạt động giao lưu văn hoá.","An exhibition and hands-on space celebrating Vietnam–Japan exchange since the trading-port era: calligraphy, origami, tea ceremony and cultural activities.",,,⚠ Cần khảo sát tại điểm — thay bằng manh mối từ hoạt động trải nghiệm (vd: vật phẩm bạn tự làm được tại đây).,⚠ Capture on-site — replace with a clue from a hands-on activity (e.g. the craft you can make here).,Tìm tấm biển tên ở lối vào — bạn đang ở điểm nào?,Find the name plaque at the entrance — which site are you at?,Không gian Văn hóa Việt Nam – Nhật Bản,Vietnam–Japan Culture Space,Bảo tàng Hội An,Hoi An Museum,Nhà cổ Phùng Hưng,Phung Hung Old House,A,,
