path	vi	ko
destinations.json::[6].description	Bề dày truyền thống văn hóa, sự sáng tạo, những đóng góp của các thế hệ cư dân địa phương trong quá trình xây dựng phát triển vùng đất Hội An.	호이안이라는 땅을 세우고 키워 온 지역 주민 여러 세대의 문화 전통과 창의, 그리고 그들이 남긴 몫.
destinations.json::[6].quizBank[0].question	Người ta bắt tôm vào thời điểm nào trong ngày?	사람들은 하루 중 언제 새우를 잡나요?
destinations.json::[6].quizBank[0].options[0]	Chiều	오후
destinations.json::[6].quizBank[0].options[1]	Sáng sớm	새벽
destinations.json::[6].quizBank[0].options[2]	Đêm	밤
destinations.json::[6].quizBank[0].explain	Tôm thường được bắt vào ban đêm hoặc chiều tối (từ chập tối đến sáng sớm) vì đây là lúc tôm có tập tính rời nơi ẩn nấp để đi tìm kiếm thức ăn.	새우는 보통 밤이나 초저녁부터 새벽까지 잡습니다. 이때 새우가 숨어 있던 자리를 떠나 먹이를 찾아 움직이기 때문입니다.
destinations.json::[6].quizBank[1].question	Trong các ngày hội lớn, người dân bản địa thường chơi trò chơi dân gian nào?	큰 축제 날에 이곳 사람들이 즐기는 민속놀이는 무엇인가요?
destinations.json::[6].quizBank[1].options[0]	Bài chòi	바이 쪼이 (노래를 부르며 하는 카드놀이)
destinations.json::[6].quizBank[1].options[1]	Cờ người	인간 장기
destinations.json::[6].quizBank[1].options[2]	Tổ tôm điếm	또 톰 디엠 (카드 게임)
destinations.json::[6].quizBank[1].explain	Bài chòi lưu hành phổ biến ở một số địa phương miền Trung từ Quảng Bình đến Bình Thuận. Qua lời kể của những nghệ nhân, vào cuối thế kỷ XVI đầu thế kỷ XVII, nhiều thú dữ trên rừng thường về quấy nhiễu cuộc sống. Người dân vì thế đã dựng những chiếc chòi rất cao ở ven rừng, cắt cử thanh niên trai tráng canh gác. Trong quá trình ấy, để đỡ buồn chán, người ta nghĩ ra cách giao lưu với nhau bằng những câu hát, câu hò, hô bài tứ sắc.	바이 쪼이는 꽝빈에서 빈투언까지 베트남 중부 여러 곳에서 널리 놀았습니다. 장인들의 이야기로는 16세기 말~17세기 초, 숲에서 맹수가 자주 내려와 사람들을 괴롭혔습니다. 그래서 숲가에 아주 높은 망루(쪼이)를 세우고 젊은 장정을 세워 지키게 했습니다. 그 지루함을 달래려 서로 노래와 후렴을 주고받고 사색 패를 외치던 것이 놀이가 되었습니다.
destinations.json::[6].quizBank[2].question	Làng mộc nổi tiếng ở Hội An có tên là gì?	호이안에서 이름난 목공 마을의 이름은 무엇인가요?
destinations.json::[6].quizBank[2].options[0]	Thanh Hà	타인 하 (도자기 마을)
destinations.json::[6].quizBank[2].options[1]	Kim Bồng	김봉 (목공 마을)
destinations.json::[6].quizBank[2].options[2]	Trà Quế	짜 꾸에 (채소 마을)
destinations.json::[6].quizBank[2].explain	Rất nhiều kiến trúc nhà cửa, chùa quán... ở khu phố cổ Hội An in dấu bàn tay thợ mộc Kim Bồng. Trong đó phải kể đến nhà cổ Tấn Ký, Tụy Tiên Đường Minh Hương và Miếu Quan Công.	호이안 구시가의 집과 절, 회관 등 많은 건물에 김봉 목수의 손길이 남아 있습니다. 그중에서도 떤끼 고가, 명향 취선당, 관제묘를 꼽을 수 있습니다.
destinations.json::[6].short	Kho tàng tri thức bản địa sống động tái hiện hồn cốt Hội An.	호이안의 속살을 되살리는, 살아 있는 토착 지식의 보고.
destinations.json::[6].highlights[0]	Sinh kế của người bản địa	이곳 사람들의 생업
destinations.json::[6].highlights[1]	Các lễ hội địa phương	지역의 축제들
destinations.json::[7].name	Bảo tàng nghề Y truyền thống	전통 의약 박물관
destinations.json::[7].description	Từ thế kỷ XVI, thương cảng Hội An đã là nơi phân phối đa dạng từ thuốc Bắc đến thuốc Nam. Vào khoảng thế kỷ XIX-XX, những hiệu thuốc lớn nhỏ với nhiều thầy thuốc giỏi đã trở thành một phần bộ mặt phố Hội.	16세기부터 호이안 항구는 북약(중국 약재)에서 남약(현지 약재)까지 다양한 약을 유통하는 곳이었습니다. 19~20세기 무렵에는 크고 작은 약방과 이름난 의원들이 이 도시의 얼굴 가운데 하나가 되었습니다.
destinations.json::[7].quizBank[0].question	Thầy thuốc đặt tay lên cổ tay bệnh nhân nhằm mục đích gì?	의원이 환자의 손목에 손을 얹는 것은 무엇을 하려는 것인가요?
destinations.json::[7].quizBank[0].options[0]	Chẩn đoán thai sản	임신 여부를 보려고
destinations.json::[7].quizBank[0].options[1]	Xác định tình trạng tạng phủ, khí huyết	장부와 기혈의 상태를 살피려고
destinations.json::[7].quizBank[0].options[2]	Khám tình trạng cổ tay	손목 자체를 진찰하려고
destinations.json::[7].quizBank[0].explain	Bắt mạch trong Y học cổ truyền là phương pháp chẩn đoán bệnh bằng cách dùng tay cảm nhận sự vận hành của khí huyết trong mạch máu, từ đó suy đoán tình trạng sinh lý và bệnh lý của cơ thể. Bắt mạch có thể xem thai, tuy nhiên đây không phải tác dụng duy nhất.	전통 의학의 진맥은 손으로 혈맥 속 기혈의 흐름을 느껴 병을 살피고, 몸의 생리와 병리 상태를 짐작하는 방법입니다. 진맥으로 임신을 볼 수도 있지만, 그것만을 위한 것은 아닙니다.
destinations.json::[7].quizBank[1].question	Vị thuốc nào được mệnh danh là “nhân sâm của người nghèo"?	'가난한 이의 인삼'이라 불리는 약재는 무엇인가요?
destinations.json::[7].quizBank[1].options[0]	Cây tía tô	차조기 (자소엽)
destinations.json::[7].quizBank[1].options[1]	Cây ngải cứu	애엽 (쑥)
destinations.json::[7].quizBank[1].options[2]	Cây đinh lăng	딘랑 (Polyscias fruticosa)
destinations.json::[7].quizBank[1].explain	Trong rễ và lá đinh lăng có chứa saponin triterpenoid - nhóm hoạt chất sinh học tương tự như trong nhân sâm. Saponin có những tác dụng như tăng sức đề kháng, bồi bổ thần kinh, chống oxy hóa, cải thiện trí nhớ và chức năng gan. Ngoài ra đinh lăng còn chứa 17 loại axit amin có lợi cho hệ thần kinh, hệ miễn dịch, và giúp chống viêm, kháng khuẩn.	딘랑의 뿌리와 잎에는 인삼과 같은 계열의 트리테르페노이드 사포닌이 들어 있습니다. 사포닌은 저항력을 높이고 신경을 보하며 항산화 작용을 하고 기억력과 간 기능을 돕습니다. 또한 딘랑에는 신경계와 면역계에 좋은 아미노산이 17종 들어 있고, 염증과 세균을 막는 데도 도움이 됩니다.
destinations.json::[7].quizBank[2].question	Siêu sắc thuốc xưa cần phải đảm bảo tính chất nào?	옛 약탕관은 어떤 성질을 지켜야 했나요?
destinations.json::[7].quizBank[2].options[0]	Không ảnh hưởng đến tính vị của thuốc	약의 성질과 맛을 바꾸지 않는 것
destinations.json::[7].quizBank[2].options[1]	Có thể chống tràn	끓어 넘치지 않는 것
destinations.json::[7].quizBank[2].options[2]	Cách nhiệt khi đun	달일 때 열이 전해지지 않는 것
destinations.json::[7].quizBank[2].explain	Điều quan trọng nhất của siêu sắc thuốc là không phản ứng hoá học với dược liệu, giữ nguyên tính vị của thuốc.	약탕관에서 가장 중요한 점은 약재와 화학적으로 반응하지 않아 약의 성질과 맛을 그대로 지키는 것입니다.
destinations.json::[7].short	Nhức đầu, mỏi mắt, tê chân? Tận tình anh dẫn ả coi chốn này.	머리가 아프고 눈이 침침하고 다리가 저리신가요? 이곳을 한 바퀴 돌아보세요.
destinations.json::[7].highlights[0]	Mô hình hiệu thuốc Đông Y	한방 약방의 재현 모형
destinations.json::[7].highlights[1]	Các vị thuốc phổ biến trong Đông Y	한방에서 자주 쓰는 약재들
destinations.json::[7].highlights[2]	Phương pháp chẩn bệnh, chữa bệnh xưa	옛날의 진단법과 치료법
destinations.json::[8].name	Bảo tàng Thổ sản	토산물 박물관
destinations.json::[8].description	Thổ sản là một trong những mặt hàng được xuất khẩu qua thương cảng Hội An. Từ thế kỷ XVI, các thuyền buôn Bồ Đào Nha đã đến đây mua hàng như tơ, lụa, hồ tiêu, gỗ quý, thông qua các đại lý người Hoa hay người Nhật.	토산물은 호이안 항구를 통해 수출된 주요 품목 가운데 하나였습니다. 16세기부터 포르투갈 상선이 이곳에 와서 중국인이나 일본인 대리인을 통해 명주와 비단, 후추, 귀한 목재 등을 사들였습니다.
