path	vi	ja
destinations.json::[1].quizBank[0].explain	Tiêu Diện Đại Sĩ là một hóa thân của Quan Thế Âm Bồ Tát, cai quản, nhiếp phục loài ngạ quỷ (quỷ đói) và cứu độ chúng sinh lầm đường lạc lối. Đối diện với Tiêu Diện Đại Sĩ là Vi Đà Tôn Thiên, mang sắc tướng khôi ngô, là người bảo vệ. Hai vị cũng được gọi là Ông Thiện và Ông Ác.	焦面大士は観世音菩薩の化身で、餓鬼を治め降伏させ、道を失った衆生を救います。向かい合うのは端正な姿の韋陀尊天で、守護者です。二尊は「善のお方」「悪のお方」とも呼ばれます。
destinations.json::[1].quizBank[1].question	Quan Thế Âm Bồ Tát cầm gì trên tay trái?	観世音菩薩は左手に何を持っていますか？
destinations.json::[1].quizBank[1].options[0]	Bình hồ lô	瓢の瓶
destinations.json::[1].quizBank[1].options[1]	Bình tịnh thuỷ	浄水を入れた瓶
destinations.json::[1].quizBank[1].options[2]	Nhành dương liễu	柳の枝
destinations.json::[1].quizBank[1].explain	Tay trái Quan Âm cầm bình thanh tịnh đựng nước cam lồ, biểu trưng cho lòng từ bi. Tay phải bà cầm nhành dương liễu để rưới nước cam lồ cho lòng người mát mẻ. Nước này rưới đến đâu là chan rải tình thương đến đó, xoa dịu mọi khổ đau của chúng sanh.	観音の左手には甘露水を入れた浄瓶があり、慈悲を表します。右手の柳の枝でその甘露を振りかけ、人の心を涼やかにします。水の届くところに慈しみが広がり、衆生の苦しみが和らぐといわれます。
destinations.json::[1].short	“Tịnh cảnh đối phồn hoa, cửa chùa luôn tự tại”, ngôi chùa nhỏ thể hiện văn hóa Phật giáo tại Hội An.	「静けさは賑わいに向かい、寺の門はいつも安らかである」——会安の仏教文化を映す小さな寺。
destinations.json::[1].highlights[0]	Bài trí giản dị với tượng thờ và tranh vẽ phía sau	簡素な配置——仏像とその背後の絵
destinations.json::[1].highlights[1]	Bộ tranh mười tám vị La Hán	十八羅漢の絵
destinations.json::[1].highlights[2]	Tượng Phật Bà ở sân trong, giữa tiểu cảnh và hồ nước nhỏ	中庭の観音像——石組みと小さな池のあいだに
destinations.json::[2].name	Miếu Quan Công	関帝廟
destinations.json::[2].description	Một di tích lâu đời chứng kiến những đổi thay của phố Hội. Nhiều hợp đồng thương mại đã từng được ký kết ở nơi đây, dưới sự chứng giám của Quan Thánh.	会安の移り変わりを見つめてきた古跡です。ここでは関聖を証人として、数々の商いの契約が交わされました。
destinations.json::[2].quizBank[0].question	Tại sao Quan Thánh Đế Quân (Quan Công) lại được thờ phụng ở Hội An?	関聖帝君（関公）はなぜ会安で祀られているのですか？
destinations.json::[2].quizBank[0].options[0]	Ngài có khả năng chữa bệnh	病を治す力があるから
destinations.json::[2].quizBank[0].options[1]	Ngài là tấm gương nghĩa khí	義の手本であるから
destinations.json::[2].quizBank[0].options[2]	Ngài đảm bảo sự an toàn cho phố cảng	港の安全を守るから
destinations.json::[2].quizBank[0].explain	Tri huyện Trương Tăng Diễn từng cúng một câu đối thể hiện uy linh của Quan Thánh Đế Quân với người Việt: “Nhất điểm đan tâm tồn Bắc sử; Thiên thu nghĩa khí tráng Nam cương” (Một tấm lòng son lưu sử Bắc; Ngàn năm nghĩa khí tráng Nam cương). Đặc biệt, thương nhân ở Hội An còn coi Ngài là bậc Thánh chứng cho chữ tín trong giao thương và trừng phạt những kẻ vi phạm khế ước.	知県チュオン・タン・ジエンは、ベトナムの人々に関聖帝君の霊威を示す対句を奉納しました。「一点丹心 北史に存し、千秋義気 南疆を壮んにす」。とくに会安の商人は、商いの信を証し、契約を破る者を罰する聖として仰ぎました。
destinations.json::[2].quizBank[1].question	Nhìn theo hướng từ chính điện ra, con ngựa bên trái Quan Công có màu gì?	本殿から外を見て、関公の左側の馬は何色ですか？
destinations.json::[2].quizBank[1].options[0]	Đen	黒
destinations.json::[2].quizBank[1].options[1]	Trắng	白
destinations.json::[2].quizBank[1].options[2]	Đỏ	赤
destinations.json::[2].quizBank[1].explain	Phía bên trái của Quan Công là tượng ngựa Xích Thố, toàn thân một màu đỏ rực như lửa. Trong tiểu thuyết “Tam Quốc diễn nghĩa”, Xích Thố đã qua nhiều đời chủ rồi gắn bó với nhân vật Quan Vũ. Sau khi Quan Vũ mất, ngựa bỏ ăn mà chết để bày tỏ lòng trung thành.	関公の左にいるのは、全身が火のように赤い赤兎馬です。『三国志演義』では、赤兎は何人もの主を経て関羽に従い、関羽の死後、餌を断って死に忠を示したと伝えます。
destinations.json::[2].quizBank[2].question	Bức tranh phía bên trái từ trong chính điện nhìn ra vẽ cảnh gì?	本殿から外を見て、左手の壁の絵はどの場面ですか？
destinations.json::[2].quizBank[2].options[0]	Quan Công phò nhị tẩu (Quan Công hộ tống hai người chị dâu)	関公が二人の兄嫁を護送する場面
destinations.json::[2].quizBank[2].options[1]	Tam cố mao lư (Ba lần đến nhà tranh)	三顧の礼（三たび草庵を訪ねる）
destinations.json::[2].quizBank[2].options[2]	Đào viên kết nghĩa (Kết nghĩa ở vườn đào)	桃園の誓い
destinations.json::[2].quizBank[2].explain	Trong tranh, Quan Vũ hộ tống hai người vợ của Lưu Bị vượt qua năm cửa ải của Tào Tháo và chém sáu tướng cản đường để trở về với Lưu Bị. Ở phía bức tường còn lại, vẽ cảnh Châu Thương xin quy phục Quan Vũ. Sự kiện này cũng diễn ra trên đường trở về với Lưu Bị. Cả thiên truyện “vượt năm ải, chém sáu tướng” ca ngợi lòng trung thành và tiết nghĩa tuyệt đối của Quan Vũ. Về Châu Thương, đây là một trong hai đệ tử thường được phối thờ với Ngài. Châu Thương là người cầm Thanh Long yển nguyệt đao đứng phía tay trái Quan Công trong miếu này.	絵では、関羽が劉備の二夫人を護送し、曹操の五関を越え、道をふさぐ六将を斬って劉備のもとへ帰ります。反対の壁には周倉が関羽に帰順を願う場面。これも帰路の出来事です。「五関を過ぎ六将を斬る」の物語全体が関羽の忠義をたたえます。周倉は関公とともに祀られる二人の弟子の一人で、この廟では青龍偃月刀を持ち関公の左に立っています。
destinations.json::[2].short	Nổi bật với sắc đỏ uy phong của lòng chính trực, là trung tâm tín ngưỡng quan trọng bậc nhất cảng thị này.	真っすぐな心を表す威厳ある朱色。この港町でもっとも大切な信仰の中心です。
destinations.json::[2].highlights[0]	Hoành phi được tiến cúng bởi các hội quán người Hoa khác nhau	各会館が奉納した扁額
destinations.json::[2].highlights[1]	Bài thơ của Xuân Quận công Nguyễn Nghiễm	春郡公グエン・ギエムの詩
destinations.json::[2].highlights[2]	Tượng Quan Công, hai đệ tử cùng ngựa Xích Thố và Bạch Thố	関公像と二人の弟子、赤兎馬と白馬
destinations.json::[3].name	Bảo tàng Gốm sứ mậu dịch	貿易陶磁博物館
destinations.json::[3].description	Gốm là một minh chứng cho thời thông thương sôi động tại Hội An. Bên cạnh thổ sản, tơ tằm, đã từng có những con thuyền chở toàn gốm đến, đi, và cả nằm lại dưới biển.	陶磁器は会安の交易が盛んだった時代の証しです。土産物や絹のほかに、船いっぱいの焼き物が行き交い、その一部は海の底に残りました。
destinations.json::[3].quizBank[0].question	Họa tiết này nằm trong hiện vật nào?	この文様はどの器のものですか？
destinations.json::[3].quizBank[0].options[0]	Một chiếc thau	盥（たらい）
destinations.json::[3].quizBank[0].options[1]	Một chiếc đĩa	皿
destinations.json::[3].quizBank[0].options[2]	Một chiếc bát	碗
destinations.json::[3].quizBank[0].explain	Chi tiết nằm trong một chiếc bát sứ Hizen, Nhật Bản, có niên đại khoảng nửa sau thế kỷ XVII. Hoạ tiết Thọ Lão cưỡi hạc này rất phổ biến trong gốm sứ Đông Á, thể hiện mong ước sống trường thọ.	この細部は17世紀後半ごろの日本・肥前の磁器の碗にあります。鶴に乗る寿老人の文様は東アジアの陶磁に多く、長寿への願いを表します。
destinations.json::[3].quizBank[1].question	Bạn có thể đi tìm chú cua này không? Ai là người làm ra chú?	このカニを探せますか？ 作ったのは誰でしょう？
destinations.json::[3].quizBank[1].options[0]	Người Việt thế kỷ XV-XVI	15〜16世紀のベトナム人
destinations.json::[3].quizBank[1].options[1]	Người Hoa thế kỷ XVII	17世紀の中国人
destinations.json::[3].quizBank[1].options[2]	Người Nhật thế kỷ XVII	17世紀の日本人
destinations.json::[3].quizBank[1].explain	Chu Đậu là dòng gốm cổ cao cấp nổi tiếng của Việt Nam có lịch sử gần 600 năm, phát triển rực rỡ từ thế kỷ XIV – XVI trước khi bị thất truyền và được phục hưng thành công. Làm từ đất sét trắng đặc trưng vùng Trúc Thôn (Chí Linh, Hải Dương), dòng gốm này được ca ngợi là “mỏng như giấy, trong như ngọc, trắng như ngà, kêu như chuông”.	チュダウ（朱豆）は約600年の歴史をもつベトナムの名高い高級古窯で、14〜16世紀に栄え、のち途絶えて復興しました。ハイズオン省チーリンのチュックトン産の白土で作り、「紙のように薄く、玉のように澄み、象牙のように白く、鐘のように鳴る」と称えられます。
destinations.json::[3].quizBank[2].question	Làm sao mà chú cua này vẫn còn nguyên vẹn sau vụ đắm tàu?	この器は難破したのに、なぜ無傷で残ったのでしょう？
destinations.json::[3].quizBank[2].options[0]	Vì chúng nằm gần bờ	岸に近かったから
destinations.json::[3].quizBank[2].options[1]	Vì chúng nằm trong lớp bùn biển	海の泥の層の中にあったから
destinations.json::[3].quizBank[2].options[2]	Vì chúng được vớt lên ngay sau đó	すぐに引き揚げられたから
destinations.json::[3].quizBank[2].explain	Sau khi con tàu chở những đồ gốm này bị đắm, khả năng cao thân tàu đã nhanh chóng chìm vào lớp bùn, khiến cho một phần thân tàu còn nguyên vẹn và nhiều đồ gốm có thể được phát hiện nguyên trạng trong tàu.	この陶磁を積んだ船が沈んだあと、船体は素早く泥の層に沈み込んだと考えられます。そのため船体の一部が残り、多くの器が船内で原位置のまま見つかりました。
destinations.json::[3].short	Một vòng cảng thị từ gốm Hizen, Phước Kiến, đến gốm Islam, Chu Đậu.	肥前や福建の焼き物から、イスラーム陶器、チュダウ焼まで——港町を一巡り。
destinations.json::[3].highlights[0]	Sản phẩm gốm tới từ Nhật Bản, Trung Hoa, Trung Đông,...	日本・中国・中東などからの陶磁器
destinations.json::[3].highlights[1]	Gốm Chu Đậu mỏng như giấy, trong như ngọc	紙のように薄く、玉のように澄んだチュダウ焼
destinations.json::[3].highlights[2]	Câu chuyện từ những di chỉ gốm	陶磁の遺跡が語る物語
destinations.json::[4].name	Bảo tàng Hội An	会安博物館
destinations.json::[4].description	Hội An là một thành phố nhỏ trực thuộc tỉnh Quảng Nam, nằm bên bờ bắc sông Thu Bồn cách Thành phố Đà Nẵng 30km về phía Nam. Thành phố Hội An có diện tích khoảng 60 km2, dân số hơn 90.000 người, gồm 9 phường , 3 xã đất liền và 1 xã đảo.	会安はクアンナム省に属する小さな町で、トゥボン川の北岸にあり、ダナンから南へ30kmです。面積は約60km²、人口は9万人あまり。9つの坊と本土の3つの村、島の1村からなります。
destinations.json::[5].name	Bảo tàng Văn hóa Sa Huỳnh	サーフィン文化博物館
destinations.json::[5].description	Sa Huỳnh là một trong ba cái nôi văn minh cổ xưa lớn nhất Việt Nam. Quan sát sự tương đồng của hiện vật sắt Sa Huỳnh tại Hội An với hiện vật sắt thời Hán, các nhà nghiên cứu đã kết luận nơi đây từng có một cảng thị sơ khai. Liệu những cư dân từ xa xưa của vùng đất này từng sống như thế nào?	サーフィンはベトナム三大古代文明のゆりかごの一つです。会安出土のサーフィンの鉄器が漢代の鉄器と似ていることから、研究者はここに初期の港市があったと考えました。この地の古い住民はどう暮らしていたのでしょう。
destinations.json::[5].quizBank[0].question	Những chiếc chum lớn từng được dùng để làm gì?	これらの大きな甕は何に使われましたか？
destinations.json::[5].quizBank[0].options[0]	Mai táng người đã khuất	亡くなった人を葬るため
destinations.json::[5].quizBank[0].options[1]	Dự trữ lương thực	穀物をたくわえるため
destinations.json::[5].quizBank[0].options[2]	Dự trữ nước mưa	雨水をためるため
destinations.json::[5].quizBank[0].explain	Táng mộ chum là hình thức mai táng nổi bật nhất của cư dân văn hóa Sa Huỳnh, trong đó người chết được đặt nguyên thi thể, than tro hỏa táng hoặc di cốt vào bên trong một chiếc chum bằng gốm đất nung cùng một vài đồ tùy táng như công cụ sản xuất hay trang sức.	甕棺葬はサーフィン文化の人々のもっとも特徴的な葬法です。遺体をそのまま、あるいは火葬した灰や遺骨を素焼きの甕に納め、生産用具や装身具などの副葬品をいくつか添えました。
destinations.json::[5].quizBank[1].question	Chất liệu nào được dùng rộng rãi nhất để sản xuất công cụ lao động của cư dân Sa Huỳnh?	サーフィンの人々が道具づくりに最も広く使った素材は何ですか？
destinations.json::[5].quizBank[1].options[0]	Đồng	青銅
destinations.json::[5].quizBank[1].options[1]	Sắt	鉄
destinations.json::[5].quizBank[1].options[2]	Đá	石
destinations.json::[5].quizBank[1].explain	Công cụ lao động phổ biến của người Sa Huỳnh chủ yếu được làm bằng sắt, bên cạnh các vật liệu truyền thống như đá, gốm và vỏ nhuyễn thể. Đồ sắt được phát hiện trong các di tích ở Hội An hầu hết nằm bên trong mộ chum, có kích thước lớn và đã qua sử dụng. Rất có thể đây là hiện vật mà lúc còn sống chủ nhân của chúng đã từng sử dụng.	サーフィンの人々の道具は主に鉄製で、石・土器・貝殻といった伝統的な素材も併用されました。会安の遺跡から出た鉄器はほとんどが甕棺の内部にあり、大きく使用痕があります。生前に持ち主が実際に使っていた品である可能性が高いです。
destinations.json::[5].short	Cách đây 2000 năm, người ta đã sống tại nơi bạn đang đứng như thế nào?	2000年前、あなたが今立っている場所で人々はどう暮らしていたのでしょう？
destinations.json::[5].highlights[0]	Táng tục mộ chum	甕棺葬の習俗
destinations.json::[5].highlights[1]	Các chế tác quan trọng như công cụ lao động và trang sức	労働の道具や装身具などの重要な製作品
destinations.json::[5].highlights[2]	Kỹ thuật sản xuất đồ gốm	土器づくりの技術
destinations.json::[6].name	Bảo tàng Văn hóa dân gian	民俗文化博物館
destinations.json::[6].description	Bề dày truyền thống văn hóa, sự sáng tạo, những đóng góp của các thế hệ cư dân địa phương trong quá trình xây dựng phát triển vùng đất Hội An.	会安という土地を築き育ててきた地元の人々の、幾世代にわたる文化の厚みと創意、そして貢献。
destinations.json::[6].quizBank[0].question	Người ta bắt tôm vào thời điểm nào trong ngày?	人々は一日のいつエビをとりますか？
destinations.json::[6].quizBank[0].options[0]	Chiều	午後
destinations.json::[6].quizBank[0].options[1]	Sáng sớm	早朝
destinations.json::[6].quizBank[0].options[2]	Đêm	夜
destinations.json::[6].quizBank[0].explain	Tôm thường được bắt vào ban đêm hoặc chiều tối (từ chập tối đến sáng sớm) vì đây là lúc tôm có tập tính rời nơi ẩn nấp để đi tìm kiếm thức ăn.	エビは夜、あるいは夕暮れから明け方にとることが多い。この時間にエビが隠れ場所を出て餌を探すからです。
destinations.json::[6].quizBank[1].question	Trong các ngày hội lớn, người dân bản địa thường chơi trò chơi dân gian nào?	大きな祭りの日、地元の人はどの民俗遊びを楽しみますか？
destinations.json::[6].quizBank[1].options[0]	Bài chòi	バイ・チョイ（歌で札を呼ぶ遊び）
destinations.json::[6].quizBank[1].options[1]	Cờ người	人間将棋
destinations.json::[6].quizBank[1].options[2]	Tổ tôm điếm	トートム・ディエム（札遊び）
destinations.json::[6].quizBank[1].explain	Bài chòi lưu hành phổ biến ở một số địa phương miền Trung từ Quảng Bình đến Bình Thuận. Qua lời kể của những nghệ nhân, vào cuối thế kỷ XVI đầu thế kỷ XVII, nhiều thú dữ trên rừng thường về quấy nhiễu cuộc sống. Người dân vì thế đã dựng những chiếc chòi rất cao ở ven rừng, cắt cử thanh niên trai tráng canh gác. Trong quá trình ấy, để đỡ buồn chán, người ta nghĩ ra cách giao lưu với nhau bằng những câu hát, câu hò, hô bài tứ sắc.	バイ・チョイはクアンビンからビントゥアンにかけての中部各地で親しまれました。芸人の語りでは、16世紀末から17世紀初め、森の獣がしばしば里を荒らしたため、人々は森の縁に高い見張り小屋（チョイ）を建て、若者に番をさせました。退屈しのぎに歌や掛け合い、四色札の読み上げを楽しんだのが遊びになったといいます。
destinations.json::[6].quizBank[2].question	Làng mộc nổi tiếng ở Hội An có tên là gì?	会安で名高い木工の村の名は何ですか？
destinations.json::[6].quizBank[2].options[0]	Thanh Hà	タインハー（焼き物の村）
destinations.json::[6].quizBank[2].options[1]	Kim Bồng	キムボン（木工の村）
destinations.json::[6].quizBank[2].options[2]	Trà Quế	チャークエ（野菜の村）
destinations.json::[6].quizBank[2].explain	Rất nhiều kiến trúc nhà cửa, chùa quán... ở khu phố cổ Hội An in dấu bàn tay thợ mộc Kim Bồng. Trong đó phải kể đến nhà cổ Tấn Ký, Tụy Tiên Đường Minh Hương và Miếu Quan Công.	会安旧市街の民家や寺、会館の多くにキムボンの木工職人の手が残ります。なかでも進記の古民家、明郷萃先堂、関帝廟が挙げられます。
destinations.json::[6].short	Kho tàng tri thức bản địa sống động tái hiện hồn cốt Hội An.	会安の芯を映し出す、生きた土地の知恵の宝庫。
destinations.json::[6].highlights[0]	Sinh kế của người bản địa	この土地の人々の暮らしの糧
destinations.json::[6].highlights[1]	Các lễ hội địa phương	地元の祭り
destinations.json::[7].name	Bảo tàng nghề Y truyền thống	伝統医薬博物館
destinations.json::[7].description	Từ thế kỷ XVI, thương cảng Hội An đã là nơi phân phối đa dạng từ thuốc Bắc đến thuốc Nam. Vào khoảng thế kỷ XIX-XX, những hiệu thuốc lớn nhỏ với nhiều thầy thuốc giỏi đã trở thành một phần bộ mặt phố Hội.	16世紀から会安の港は、北薬（漢方）から南薬（在地の薬草）まで幅広く扱う集散地でした。19〜20世紀ごろには大小の薬舗と名医たちが、この町の顔の一部になりました。
destinations.json::[7].quizBank[0].question	Thầy thuốc đặt tay lên cổ tay bệnh nhân nhằm mục đích gì?	医者が患者の手首に手を置くのは何のためですか？
destinations.json::[7].quizBank[0].options[0]	Chẩn đoán thai sản	妊娠を診るため
destinations.json::[7].quizBank[0].options[1]	Xác định tình trạng tạng phủ, khí huyết	臓腑と気血の状態を診るため
destinations.json::[7].quizBank[0].options[2]	Khám tình trạng cổ tay	手首そのものを診るため
destinations.json::[7].quizBank[0].explain	Bắt mạch trong Y học cổ truyền là phương pháp chẩn đoán bệnh bằng cách dùng tay cảm nhận sự vận hành của khí huyết trong mạch máu, từ đó suy đoán tình trạng sinh lý và bệnh lý của cơ thể. Bắt mạch có thể xem thai, tuy nhiên đây không phải tác dụng duy nhất.	伝統医学の脈診は、手で血脈の中の気血の巡りを感じ取り、体の生理と病理の状態を推し量る方法です。妊娠を診ることもできますが、それだけのためではありません。
destinations.json::[7].quizBank[1].question	Vị thuốc nào được mệnh danh là “nhân sâm của người nghèo"?	「貧しい人の朝鮮人参」と呼ばれる薬草はどれですか？
destinations.json::[7].quizBank[1].options[0]	Cây tía tô	シソ
destinations.json::[7].quizBank[1].options[1]	Cây ngải cứu	ヨモギ
destinations.json::[7].quizBank[1].options[2]	Cây đinh lăng	タイワンモミジ（đinh lăng）
destinations.json::[7].quizBank[1].explain	Trong rễ và lá đinh lăng có chứa saponin triterpenoid - nhóm hoạt chất sinh học tương tự như trong nhân sâm. Saponin có những tác dụng như tăng sức đề kháng, bồi bổ thần kinh, chống oxy hóa, cải thiện trí nhớ và chức năng gan. Ngoài ra đinh lăng còn chứa 17 loại axit amin có lợi cho hệ thần kinh, hệ miễn dịch, và giúp chống viêm, kháng khuẩn.	đinh lăng の根と葉にはトリテルペノイド・サポニン、すなわち朝鮮人参と同じ系統の成分が含まれます。サポニンは抵抗力を高め、神経を養い、抗酸化に働き、記憶や肝機能を助けます。さらに神経・免疫によい17種のアミノ酸を含み、抗炎症・抗菌にも役立ちます。
destinations.json::[7].quizBank[2].question	Siêu sắc thuốc xưa cần phải đảm bảo tính chất nào?	昔の薬を煎じる土瓶に欠かせない性質は何ですか？
destinations.json::[7].quizBank[2].options[0]	Không ảnh hưởng đến tính vị của thuốc	薬の性味を変えないこと
destinations.json::[7].quizBank[2].options[1]	Có thể chống tràn	吹きこぼれないこと
destinations.json::[7].quizBank[2].options[2]	Cách nhiệt khi đun	煮るときに熱を通さないこと
destinations.json::[7].quizBank[2].explain	Điều quan trọng nhất của siêu sắc thuốc là không phản ứng hoá học với dược liệu, giữ nguyên tính vị của thuốc.	薬を煎じる器で最も大切なのは、薬材と化学反応を起こさず、薬の性味をそのまま保つことです。
destinations.json::[7].short	Nhức đầu, mỏi mắt, tê chân? Tận tình anh dẫn ả coi chốn này.	頭が痛い、目がかすむ、脚がしびれる？ここを一巡りしてみてください。
destinations.json::[7].highlights[0]	Mô hình hiệu thuốc Đông Y	漢方薬舗の再現模型
destinations.json::[7].highlights[1]	Các vị thuốc phổ biến trong Đông Y	漢方でよく使う薬材
destinations.json::[7].highlights[2]	Phương pháp chẩn bệnh, chữa bệnh xưa	昔の診断と治療の方法
destinations.json::[8].name	Bảo tàng Thổ sản	土産物博物館
destinations.json::[8].description	Thổ sản là một trong những mặt hàng được xuất khẩu qua thương cảng Hội An. Từ thế kỷ XVI, các thuyền buôn Bồ Đào Nha đã đến đây mua hàng như tơ, lụa, hồ tiêu, gỗ quý, thông qua các đại lý người Hoa hay người Nhật.	土産物は会安の港から輸出された主要な品目の一つでした。16世紀からポルトガルの商船がここへ来て、華人や日本人の仲買を通じて生糸・絹、胡椒、貴重な木材などを買い付けました。
destinations.json::[8].quizBank[0].question	Trong số các sản vật này, sản vật nào là quý hiếm và đắt giá nhất?	これらの産物のうち、もっとも希少で高価なのはどれですか？
destinations.json::[8].quizBank[0].options[0]	Kỳ nam	奇南（最上級の沈香）
destinations.json::[8].quizBank[0].options[1]	Quế	シナモン
destinations.json::[8].quizBank[0].options[2]	Trầm hương	沈香
destinations.json::[8].quizBank[0].explain	Một ghi chép từ năm 1600 cho thấy: “Kỳ nam hương màu đen, có dầu và giá 50 cruzados một catty nơi người Bồ Đào Nha, trong khi tại chính nơi sản xuất, nó trị giá ngang với bạc, bao nhiêu kỳ nam hương là bấy nhiêu bạc.” Nhiều thương nhân người Hoa sẵn sàng đợi cả năm chỉ để có đủ kỳ nam cho một chuyến tàu đến Nhật Bản, nơi giá cả được đẩy lên gấp 40 lần giá tại chỗ.	1600年の記録にこうあります。「奇南香は黒く油を含み、ポルトガル人のもとでは1カティ50クルザードである。産地では銀と同じ値で、奇南香の重さだけ銀を渡す」。多くの華商は日本へ向かう船一杯分の奇南を集めるために一年待つこともありました。日本では値が産地の40倍にもなったのです。
destinations.json::[8].quizBank[1].question	Loại sản vật nào xuất hiện trên Cửu Đỉnh?	九鼎に刻まれている産物はどれですか？
destinations.json::[8].quizBank[1].options[0]	Lá lao	ラオの葉
destinations.json::[8].quizBank[1].options[1]	Cau	ビンロウ
destinations.json::[8].quizBank[1].options[2]	Tiêu	胡椒
destinations.json::[8].quizBank[1].explain	Cửu đỉnh là báu vật tượng trưng cho đế nghiệp muôn năm vững bền của triều Nguyễn, với 153 tấm họa tiết chạm nổi thể hiện phong cảnh, sản vật và con người Việt Nam. Trong số đó có 9 loại dược liệu và hương liệu quý, bao gồm kỳ nam, trầm hương, dâu tằm, tô hợp, yến sào, trầu không, cau, quế, và sâm ta.	九鼎は阮朝の万年の大業を象徴する宝器で、153面の浮き彫りにベトナムの風景・産物・人々を表します。そのうち貴重な薬材・香料が9種——奇南、沈香、桑、蘇合、燕の巣、キンマの葉、ビンロウ、シナモン、そしてベトナム人参です。
destinations.json::[8].short	Một lát cắt về mạng lưới thương mại thế kỷ XVI-XVII thông qua các loại thổ sản.	土産物から見た16〜17世紀の交易網の断面。
destinations.json::[8].highlights[0]	Quá trình khai thác kỳ nam, lâm sản quý hiếm bậc nhất	もっとも貴い林産物、奇南（きなん）を採る過程
destinations.json::[8].highlights[1]	Giá cả và tầm quan trọng của từng mặt hàng trong thị trường thổ sản	土産物市場における品目ごとの価格と重み
