path	vi	de
destinations.json::[1].quizBank[0].question	Tại sao vị bồ tát này lại có ngoại hình dữ tợn?	Warum sieht dieser Bodhisattva so grimmig aus?
destinations.json::[1].quizBank[0].options[0]	Để hàng phục quỷ đói	Um die hungrigen Geister zu bezwingen
destinations.json::[1].quizBank[0].options[1]	Để bảo vệ linh tháp	Um den heiligen Turm zu bewachen
destinations.json::[1].quizBank[0].options[2]	Để tăng uy thế cho điện thờ	Um dem Schrein mehr Würde zu geben
destinations.json::[1].quizBank[0].explain	Tiêu Diện Đại Sĩ là một hóa thân của Quan Thế Âm Bồ Tát, cai quản, nhiếp phục loài ngạ quỷ (quỷ đói) và cứu độ chúng sinh lầm đường lạc lối. Đối diện với Tiêu Diện Đại Sĩ là Vi Đà Tôn Thiên, mang sắc tướng khôi ngô, là người bảo vệ. Hai vị cũng được gọi là Ông Thiện và Ông Ác.	Tiêu Diện Đại Sĩ ist eine Erscheinungsform des Avalokiteśvara: Er beherrscht und bezwingt die hungrigen Geister und rettet die Verirrten. Ihm gegenüber steht der edel geformte Vi Đà Tôn Thiên als Wächter. Man nennt sie auch „den Guten“ und „den Bösen“.
destinations.json::[1].quizBank[1].question	Quan Thế Âm Bồ Tát cầm gì trên tay trái?	Was hält Quan Âm in der linken Hand?
destinations.json::[1].quizBank[1].options[0]	Bình hồ lô	Eine Kürbisflasche
destinations.json::[1].quizBank[1].options[1]	Bình tịnh thuỷ	Eine Vase mit reinem Wasser
destinations.json::[1].quizBank[1].options[2]	Nhành dương liễu	Einen Weidenzweig
destinations.json::[1].quizBank[1].explain	Tay trái Quan Âm cầm bình thanh tịnh đựng nước cam lồ, biểu trưng cho lòng từ bi. Tay phải bà cầm nhành dương liễu để rưới nước cam lồ cho lòng người mát mẻ. Nước này rưới đến đâu là chan rải tình thương đến đó, xoa dịu mọi khổ đau của chúng sanh.	Ihre linke Hand hält die Vase mit Nektarwasser, ein Zeichen des Erbarmens; die rechte einen Weidenzweig, um es zu versprengen und die Herzen zu kühlen. Wohin das Wasser fällt, breitet sich Liebe aus und das Leid der Wesen wird gelindert.
destinations.json::[1].short	“Tịnh cảnh đối phồn hoa, cửa chùa luôn tự tại”, ngôi chùa nhỏ thể hiện văn hóa Phật giáo tại Hội An.	„Stille gegenüber dem Getriebe, das Tor der Pagode bleibt gelassen“ — ein kleiner Tempel, der Hội Ans buddhistische Kultur trägt.
destinations.json::[1].highlights[0]	Bài trí giản dị với tượng thờ và tranh vẽ phía sau	Schlichte Anordnung: Statuen mit gemalten Tafeln dahinter
destinations.json::[1].highlights[1]	Bộ tranh mười tám vị La Hán	Die Bilder der achtzehn Arhats
destinations.json::[1].highlights[2]	Tượng Phật Bà ở sân trong, giữa tiểu cảnh và hồ nước nhỏ	Die Quan-Âm-Statue im Innenhof, zwischen Steingarten und kleinem Teich
destinations.json::[2].name	Miếu Quan Công	Der Quan-Công-Tempel
destinations.json::[2].description	Một di tích lâu đời chứng kiến những đổi thay của phố Hội. Nhiều hợp đồng thương mại đã từng được ký kết ở nơi đây, dưới sự chứng giám của Quan Thánh.	Ein altes Denkmal, das Hội Ans Wandel gesehen hat. Viele Handelsverträge wurden hier unter dem Blick von Quan Thánh geschlossen.
destinations.json::[2].quizBank[0].question	Tại sao Quan Thánh Đế Quân (Quan Công) lại được thờ phụng ở Hội An?	Warum wird Quan Thánh Đế Quân (Quan Công) in Hội An verehrt?
destinations.json::[2].quizBank[0].options[0]	Ngài có khả năng chữa bệnh	Weil er Krankheiten heilt
destinations.json::[2].quizBank[0].options[1]	Ngài là tấm gương nghĩa khí	Weil er ein Vorbild an Ehrgefühl ist
destinations.json::[2].quizBank[0].options[2]	Ngài đảm bảo sự an toàn cho phố cảng	Weil er die Sicherheit des Hafens verbürgt
destinations.json::[2].quizBank[0].explain	Tri huyện Trương Tăng Diễn từng cúng một câu đối thể hiện uy linh của Quan Thánh Đế Quân với người Việt: “Nhất điểm đan tâm tồn Bắc sử; Thiên thu nghĩa khí tráng Nam cương” (Một tấm lòng son lưu sử Bắc; Ngàn năm nghĩa khí tráng Nam cương). Đặc biệt, thương nhân ở Hội An còn coi Ngài là bậc Thánh chứng cho chữ tín trong giao thương và trừng phạt những kẻ vi phạm khế ước.	Der Kreisvorsteher Trương Tăng Diễn stiftete ein Spruchpaar über die Macht von Quan Thánh Đế Quân bei den Vietnamesen: „Ein Herz aus Zinnober bleibt in den Annalen des Nordens; tausend Herbste Aufrichtigkeit stärken die Marken des Südens.“ Die Kaufleute von Hội An sahen in ihm vor allem den Zeugen des gegebenen Wortes, der Vertragsbrecher strafte.
destinations.json::[2].quizBank[1].question	Nhìn theo hướng từ chính điện ra, con ngựa bên trái Quan Công có màu gì?	Vom Hauptaltar nach draußen gesehen: Welche Farbe hat das Pferd links von Quan Công?
destinations.json::[2].quizBank[1].options[0]	Đen	Schwarz
destinations.json::[2].quizBank[1].options[1]	Trắng	Weiß
destinations.json::[2].quizBank[1].options[2]	Đỏ	Rot
destinations.json::[2].quizBank[1].explain	Phía bên trái của Quan Công là tượng ngựa Xích Thố, toàn thân một màu đỏ rực như lửa. Trong tiểu thuyết “Tam Quốc diễn nghĩa”, Xích Thố đã qua nhiều đời chủ rồi gắn bó với nhân vật Quan Vũ. Sau khi Quan Vũ mất, ngựa bỏ ăn mà chết để bày tỏ lòng trung thành.	Links steht Xích Thố, das feuerrote Pferd. In der „Geschichte der Drei Reiche“ wechselte es mehrmals den Herrn, bevor es Quan Vũ folgte; nach dessen Tod verweigerte es das Futter und starb aus Treue.
destinations.json::[2].quizBank[2].question	Bức tranh phía bên trái từ trong chính điện nhìn ra vẽ cảnh gì?	Vom Hauptaltar nach draußen gesehen: Welche Szene zeigt das Bild an der linken Wand?
destinations.json::[2].quizBank[2].options[0]	Quan Công phò nhị tẩu (Quan Công hộ tống hai người chị dâu)	Quan Công eskortiert seine beiden Schwägerinnen
destinations.json::[2].quizBank[2].options[1]	Tam cố mao lư (Ba lần đến nhà tranh)	Die drei Besuche in der Strohhütte
destinations.json::[2].quizBank[2].options[2]	Đào viên kết nghĩa (Kết nghĩa ở vườn đào)	Der Schwur im Pfirsichgarten
destinations.json::[2].quizBank[2].explain	Trong tranh, Quan Vũ hộ tống hai người vợ của Lưu Bị vượt qua năm cửa ải của Tào Tháo và chém sáu tướng cản đường để trở về với Lưu Bị. Ở phía bức tường còn lại, vẽ cảnh Châu Thương xin quy phục Quan Vũ. Sự kiện này cũng diễn ra trên đường trở về với Lưu Bị. Cả thiên truyện “vượt năm ải, chém sáu tướng” ca ngợi lòng trung thành và tiết nghĩa tuyệt đối của Quan Vũ. Về Châu Thương, đây là một trong hai đệ tử thường được phối thờ với Ngài. Châu Thương là người cầm Thanh Long yển nguyệt đao đứng phía tay trái Quan Công trong miếu này.	Auf dem Bild eskortiert Quan Vũ die beiden Frauen von Lưu Bị, überwindet Tào Tháos fünf Pässe und erschlägt die sechs Generäle, die den Weg versperren. Die gegenüberliegende Wand zeigt Châu Thươngs Unterwerfung unter Quan Vũ — auch das geschah auf jener Rückreise. Die ganze Erzählung „fünf Pässe, sechs Generäle“ rühmt Quan Vũs Treue. Châu Thương ist einer der beiden mit ihm verehrten Schüler; in diesem Tempel hält er die Grüne-Drachen-Mondklinge und steht links von Quan Công.
destinations.json::[2].short	Nổi bật với sắc đỏ uy phong của lòng chính trực, là trung tâm tín ngưỡng quan trọng bậc nhất cảng thị này.	Das gebietende Rot der Aufrichtigkeit — das wichtigste Kultzentrum dieser Hafenstadt.
destinations.json::[2].highlights[0]	Hoành phi được tiến cúng bởi các hội quán người Hoa khác nhau	Die Ehrentafeln, gestiftet von verschiedenen chinesischen Versammlungshallen
destinations.json::[2].highlights[1]	Bài thơ của Xuân Quận công Nguyễn Nghiễm	Das Gedicht des Fürsten Nguyễn Nghiễm
destinations.json::[2].highlights[2]	Tượng Quan Công, hai đệ tử cùng ngựa Xích Thố và Bạch Thố	Die Statue von Quan Công, seine zwei Schüler und die Pferde Xích Thố und Bạch Thố
destinations.json::[3].name	Bảo tàng Gốm sứ mậu dịch	Museum für Handelskeramik
destinations.json::[3].description	Gốm là một minh chứng cho thời thông thương sôi động tại Hội An. Bên cạnh thổ sản, tơ tằm, đã từng có những con thuyền chở toàn gốm đến, đi, và cả nằm lại dưới biển.	Keramik bezeugt Hội Ans lebhafte Handelszeit. Neben Landesprodukten und Seide kamen und gingen ganze Schiffsladungen Töpferware — und ein Teil blieb auf dem Meeresgrund.
destinations.json::[3].quizBank[0].question	Họa tiết này nằm trong hiện vật nào?	Von welchem Objekt stammt dieses Muster?
destinations.json::[3].quizBank[0].options[0]	Một chiếc thau	Ein Becken
destinations.json::[3].quizBank[0].options[1]	Một chiếc đĩa	Ein Teller
destinations.json::[3].quizBank[0].options[2]	Một chiếc bát	Eine Schale
destinations.json::[3].quizBank[0].explain	Chi tiết nằm trong một chiếc bát sứ Hizen, Nhật Bản, có niên đại khoảng nửa sau thế kỷ XVII. Hoạ tiết Thọ Lão cưỡi hạc này rất phổ biến trong gốm sứ Đông Á, thể hiện mong ước sống trường thọ.	Das Detail gehört zu einer Porzellanschale aus Hizen in Japan, etwa zweite Hälfte des 17. Jahrhunderts. Das Motiv des Langlebigkeitsgottes auf dem Kranich ist in ostasiatischer Keramik häufig und steht für den Wunsch nach langem Leben.
destinations.json::[3].quizBank[1].question	Bạn có thể đi tìm chú cua này không? Ai là người làm ra chú?	Finden Sie diese Krabbe? Wer hat sie gemacht?
destinations.json::[3].quizBank[1].options[0]	Người Việt thế kỷ XV-XVI	Vietnamesen des 15./16. Jahrhunderts
destinations.json::[3].quizBank[1].options[1]	Người Hoa thế kỷ XVII	Chinesen des 17. Jahrhunderts
destinations.json::[3].quizBank[1].options[2]	Người Nhật thế kỷ XVII	Japaner des 17. Jahrhunderts
destinations.json::[3].quizBank[1].explain	Chu Đậu là dòng gốm cổ cao cấp nổi tiếng của Việt Nam có lịch sử gần 600 năm, phát triển rực rỡ từ thế kỷ XIV – XVI trước khi bị thất truyền và được phục hưng thành công. Làm từ đất sét trắng đặc trưng vùng Trúc Thôn (Chí Linh, Hải Dương), dòng gốm này được ca ngợi là “mỏng như giấy, trong như ngọc, trắng như ngà, kêu như chuông”.	Chu Đậu ist Vietnams berühmte alte Feinkeramik, fast 600 Jahre alt: vom 14. bis 16. Jahrhundert in Blüte, dann verloren und später wiederbelebt. Aus dem weißen Ton von Trúc Thôn (Chí Linh, Hải Dương) gefertigt, gilt sie als „dünn wie Papier, klar wie Jade, weiß wie Elfenbein, klingend wie eine Glocke“.
destinations.json::[3].quizBank[2].question	Làm sao mà chú cua này vẫn còn nguyên vẹn sau vụ đắm tàu?	Wie blieb diese Krabbe nach dem Schiffbruch unversehrt?
destinations.json::[3].quizBank[2].options[0]	Vì chúng nằm gần bờ	Weil sie nah am Ufer lag
destinations.json::[3].quizBank[2].options[1]	Vì chúng nằm trong lớp bùn biển	Weil sie im Meeresschlick lag
destinations.json::[3].quizBank[2].options[2]	Vì chúng được vớt lên ngay sau đó	Weil sie sofort geborgen wurde
destinations.json::[3].quizBank[2].explain	Sau khi con tàu chở những đồ gốm này bị đắm, khả năng cao thân tàu đã nhanh chóng chìm vào lớp bùn, khiến cho một phần thân tàu còn nguyên vẹn và nhiều đồ gốm có thể được phát hiện nguyên trạng trong tàu.	Nach dem Untergang des Schiffes mit dieser Keramik sank der Rumpf wohl schnell in den Schlick. So blieb ein Teil des Schiffes erhalten, und viele Stücke fanden sich an ihrem Platz im Wrack.
destinations.json::[3].short	Một vòng cảng thị từ gốm Hizen, Phước Kiến, đến gốm Islam, Chu Đậu.	Eine Runde durch den Hafen in Keramik: von Hizen und Fujian bis zu islamischer Ware und Chu Đậu.
destinations.json::[3].highlights[0]	Sản phẩm gốm tới từ Nhật Bản, Trung Hoa, Trung Đông,...	Keramik aus Japan, China, dem Nahen Osten …
destinations.json::[3].highlights[1]	Gốm Chu Đậu mỏng như giấy, trong như ngọc	Chu-Đậu-Ware, dünn wie Papier, klar wie Jade
destinations.json::[3].highlights[2]	Câu chuyện từ những di chỉ gốm	Was die Keramikfundstellen erzählen
destinations.json::[4].name	Bảo tàng Hội An	Museum von Hội An
destinations.json::[4].description	Hội An là một thành phố nhỏ trực thuộc tỉnh Quảng Nam, nằm bên bờ bắc sông Thu Bồn cách Thành phố Đà Nẵng 30km về phía Nam. Thành phố Hội An có diện tích khoảng 60 km2, dân số hơn 90.000 người, gồm 9 phường , 3 xã đất liền và 1 xã đảo.	Hội An ist eine kleine Stadt in der Provinz Quảng Nam am Nordufer des Thu Bồn, 30 km südlich von Đà Nẵng. Rund 60 km², über 90.000 Einwohner, 9 Stadtviertel, 3 Landgemeinden und 1 Inselgemeinde.
destinations.json::[5].name	Bảo tàng Văn hóa Sa Huỳnh	Museum der Sa-Huỳnh-Kultur
destinations.json::[5].description	Sa Huỳnh là một trong ba cái nôi văn minh cổ xưa lớn nhất Việt Nam. Quan sát sự tương đồng của hiện vật sắt Sa Huỳnh tại Hội An với hiện vật sắt thời Hán, các nhà nghiên cứu đã kết luận nơi đây từng có một cảng thị sơ khai. Liệu những cư dân từ xa xưa của vùng đất này từng sống như thế nào?	Sa Huỳnh ist eine der drei großen Wiegen der alten Kulturen Vietnams. Weil die in Hội An gefundenen Sa-Huỳnh-Eisengeräte denen der Han-Zeit gleichen, schlossen Forscher auf eine frühe Hafenstadt an dieser Stelle. Wie lebten also die frühen Bewohner dieses Landes?
destinations.json::[5].quizBank[0].question	Những chiếc chum lớn từng được dùng để làm gì?	Wozu dienten diese großen Krüge?
destinations.json::[5].quizBank[0].options[0]	Mai táng người đã khuất	Zur Bestattung der Toten
destinations.json::[5].quizBank[0].options[1]	Dự trữ lương thực	Zur Lagerung von Getreide
destinations.json::[5].quizBank[0].options[2]	Dự trữ nước mưa	Zum Sammeln von Regenwasser
destinations.json::[5].quizBank[0].explain	Táng mộ chum là hình thức mai táng nổi bật nhất của cư dân văn hóa Sa Huỳnh, trong đó người chết được đặt nguyên thi thể, than tro hỏa táng hoặc di cốt vào bên trong một chiếc chum bằng gốm đất nung cùng một vài đồ tùy táng như công cụ sản xuất hay trang sức.	Die Krugbestattung ist der auffälligste Bestattungsbrauch der Sa-Huỳnh-Kultur: Leichnam, Asche oder Knochen kamen in einen gebrannten Tonkrug, dazu einige Beigaben wie Werkzeuge oder Schmuck.
destinations.json::[5].quizBank[1].question	Chất liệu nào được dùng rộng rãi nhất để sản xuất công cụ lao động của cư dân Sa Huỳnh?	Welches Material nutzten die Sa Huỳnh am häufigsten für Werkzeuge?
destinations.json::[5].quizBank[1].options[0]	Đồng	Bronze
destinations.json::[5].quizBank[1].options[1]	Sắt	Eisen
destinations.json::[5].quizBank[1].options[2]	Đá	Stein
destinations.json::[5].quizBank[1].explain	Công cụ lao động phổ biến của người Sa Huỳnh chủ yếu được làm bằng sắt, bên cạnh các vật liệu truyền thống như đá, gốm và vỏ nhuyễn thể. Đồ sắt được phát hiện trong các di tích ở Hội An hầu hết nằm bên trong mộ chum, có kích thước lớn và đã qua sử dụng. Rất có thể đây là hiện vật mà lúc còn sống chủ nhân của chúng đã từng sử dụng.	Sa-Huỳnh-Werkzeuge waren meist aus Eisen, neben traditionellen Materialien wie Stein, Ton und Muschel. Fast alles Eisen aus den Fundstellen in Hội An lag in den Grabkrügen, war groß und zeigte Gebrauchsspuren — wohl Stücke, die die Besitzer im Leben benutzt hatten.
destinations.json::[5].short	Cách đây 2000 năm, người ta đã sống tại nơi bạn đang đứng như thế nào?	Wie lebten die Menschen vor 2.000 Jahren genau hier, wo Sie stehen?
destinations.json::[5].highlights[0]	Táng tục mộ chum	Der Brauch der Krugbestattung
destinations.json::[5].highlights[1]	Các chế tác quan trọng như công cụ lao động và trang sức	Wichtige Erzeugnisse: Arbeitsgeräte und Schmuck
destinations.json::[5].highlights[2]	Kỹ thuật sản xuất đồ gốm	Die Technik der Töpferei
destinations.json::[6].name	Bảo tàng Văn hóa dân gian	Museum für Volkskultur
destinations.json::[6].description	Bề dày truyền thống văn hóa, sự sáng tạo, những đóng góp của các thế hệ cư dân địa phương trong quá trình xây dựng phát triển vùng đất Hội An.	Die Tiefe der Traditionen, die Erfindungsgabe und der Beitrag vieler Generationen von Bewohnern, die Hội An aufgebaut haben.
destinations.json::[6].quizBank[0].question	Người ta bắt tôm vào thời điểm nào trong ngày?	Zu welcher Tageszeit fängt man Garnelen?
destinations.json::[6].quizBank[0].options[0]	Chiều	Am Nachmittag
destinations.json::[6].quizBank[0].options[1]	Sáng sớm	Am frühen Morgen
destinations.json::[6].quizBank[0].options[2]	Đêm	Nachts
destinations.json::[6].quizBank[0].explain	Tôm thường được bắt vào ban đêm hoặc chiều tối (từ chập tối đến sáng sớm) vì đây là lúc tôm có tập tính rời nơi ẩn nấp để đi tìm kiếm thức ăn.	Garnelen fängt man meist nachts, von der Dämmerung bis zum frühen Morgen — dann verlassen sie ihr Versteck auf Futtersuche.
destinations.json::[6].quizBank[1].question	Trong các ngày hội lớn, người dân bản địa thường chơi trò chơi dân gian nào?	Welches Volksspiel spielen die Leute hier an großen Festtagen?
destinations.json::[6].quizBank[1].options[0]	Bài chòi	Bài chòi, das gesungene Kartenspiel
destinations.json::[6].quizBank[1].options[1]	Cờ người	Menschenschach
destinations.json::[6].quizBank[1].options[2]	Tổ tôm điếm	Tổ tôm điếm, ein anderes Kartenspiel
destinations.json::[6].quizBank[1].explain	Bài chòi lưu hành phổ biến ở một số địa phương miền Trung từ Quảng Bình đến Bình Thuận. Qua lời kể của những nghệ nhân, vào cuối thế kỷ XVI đầu thế kỷ XVII, nhiều thú dữ trên rừng thường về quấy nhiễu cuộc sống. Người dân vì thế đã dựng những chiếc chòi rất cao ở ven rừng, cắt cử thanh niên trai tráng canh gác. Trong quá trình ấy, để đỡ buồn chán, người ta nghĩ ra cách giao lưu với nhau bằng những câu hát, câu hò, hô bài tứ sắc.	Bài chòi ist in Zentralvietnam von Quảng Bình bis Bình Thuận verbreitet. Künstler erzählen: Im späten 16. und frühen 17. Jahrhundert kamen Raubtiere aus dem Wald und störten die Dörfer. Man baute hohe Wachhütten (chòi) am Waldrand und stellte junge Männer als Wachen auf. Gegen die Langeweile sangen sie einander zu und riefen die Karten aus — daraus wurde das Spiel.
destinations.json::[6].quizBank[2].question	Làng mộc nổi tiếng ở Hội An có tên là gì?	Wie heißt das berühmte Zimmermannsdorf von Hội An?
destinations.json::[6].quizBank[2].options[0]	Thanh Hà	Thanh Hà, das Töpferdorf
destinations.json::[6].quizBank[2].options[1]	Kim Bồng	Kim Bồng, das Zimmermannsdorf
destinations.json::[6].quizBank[2].options[2]	Trà Quế	Trà Quế, das Gemüsedorf
destinations.json::[6].quizBank[2].explain	Rất nhiều kiến trúc nhà cửa, chùa quán... ở khu phố cổ Hội An in dấu bàn tay thợ mộc Kim Bồng. Trong đó phải kể đến nhà cổ Tấn Ký, Tụy Tiên Đường Minh Hương và Miếu Quan Công.	Viele Häuser, Pagoden und Versammlungshallen der Altstadt tragen die Hand der Zimmerleute von Kim Bồng — darunter das Haus Tấn Ký, das Tụy Tiên Đường Minh Hương und der Quan-Công-Tempel.
destinations.json::[6].short	Kho tàng tri thức bản địa sống động tái hiện hồn cốt Hội An.	Ein lebendiger Schatz lokalen Wissens, der Hội Ans Kern zeigt.
destinations.json::[6].highlights[0]	Sinh kế của người bản địa	Wie die Menschen hier ihr Leben verdienten
destinations.json::[6].highlights[1]	Các lễ hội địa phương	Die Feste der Gegend
destinations.json::[7].name	Bảo tàng nghề Y truyền thống	Museum der traditionellen Medizin
destinations.json::[7].description	Từ thế kỷ XVI, thương cảng Hội An đã là nơi phân phối đa dạng từ thuốc Bắc đến thuốc Nam. Vào khoảng thế kỷ XIX-XX, những hiệu thuốc lớn nhỏ với nhiều thầy thuốc giỏi đã trở thành một phần bộ mặt phố Hội.	Seit dem 16. Jahrhundert verteilte der Hafen von Hội An sowohl chinesische Arzneien als auch heimische Heilpflanzen. Im 19. und 20. Jahrhundert gehörten große und kleine Apotheken mit tüchtigen Ärzten zum Gesicht der Stadt.
destinations.json::[7].quizBank[0].question	Thầy thuốc đặt tay lên cổ tay bệnh nhân nhằm mục đích gì?	Warum legt der Arzt die Hand auf das Handgelenk?
destinations.json::[7].quizBank[0].options[0]	Chẩn đoán thai sản	Um eine Schwangerschaft festzustellen
destinations.json::[7].quizBank[0].options[1]	Xác định tình trạng tạng phủ, khí huyết	Um den Zustand der Organe, von Qi und Blut zu lesen
destinations.json::[7].quizBank[0].options[2]	Khám tình trạng cổ tay	Um das Handgelenk selbst zu untersuchen
destinations.json::[7].quizBank[0].explain	Bắt mạch trong Y học cổ truyền là phương pháp chẩn đoán bệnh bằng cách dùng tay cảm nhận sự vận hành của khí huyết trong mạch máu, từ đó suy đoán tình trạng sinh lý và bệnh lý của cơ thể. Bắt mạch có thể xem thai, tuy nhiên đây không phải tác dụng duy nhất.	Pulsfühlen heißt in der traditionellen Medizin, mit der Hand den Fluss von Qi und Blut in den Gefäßen zu spüren und daraus den gesunden oder krankhaften Zustand des Körpers zu erschließen. Eine Schwangerschaft lässt sich so erkennen — aber das ist nicht der einzige Zweck.
destinations.json::[7].quizBank[1].question	Vị thuốc nào được mệnh danh là “nhân sâm của người nghèo"?	Welche Pflanze heißt „Ginseng des armen Mannes“?
destinations.json::[7].quizBank[1].options[0]	Cây tía tô	Perilla
destinations.json::[7].quizBank[1].options[1]	Cây ngải cứu	Beifuß
destinations.json::[7].quizBank[1].options[2]	Cây đinh lăng	Đinh lăng (Polyscias fruticosa)
destinations.json::[7].quizBank[1].explain	Trong rễ và lá đinh lăng có chứa saponin triterpenoid - nhóm hoạt chất sinh học tương tự như trong nhân sâm. Saponin có những tác dụng như tăng sức đề kháng, bồi bổ thần kinh, chống oxy hóa, cải thiện trí nhớ và chức năng gan. Ngoài ra đinh lăng còn chứa 17 loại axit amin có lợi cho hệ thần kinh, hệ miễn dịch, và giúp chống viêm, kháng khuẩn.	Wurzeln und Blätter von đinh lăng enthalten Triterpen-Saponine — dieselbe Stoffklasse wie im Ginseng. Saponine stärken die Widerstandskraft, nähren die Nerven, wirken antioxidativ und unterstützen Gedächtnis und Leber. Dazu kommen 17 Aminosäuren, gut für Nerven- und Immunsystem, sowie eine entzündungs- und keimhemmende Wirkung.
destinations.json::[7].quizBank[2].question	Siêu sắc thuốc xưa cần phải đảm bảo tính chất nào?	Welche Eigenschaft musste ein alter Dekoktionstopf haben?
destinations.json::[7].quizBank[2].options[0]	Không ảnh hưởng đến tính vị của thuốc	Die Natur und den Geschmack der Arznei nicht verändern
destinations.json::[7].quizBank[2].options[1]	Có thể chống tràn	Ein Überkochen verhindern
destinations.json::[7].quizBank[2].options[2]	Cách nhiệt khi đun	Beim Kochen die Hitze isolieren
destinations.json::[7].quizBank[2].explain	Điều quan trọng nhất của siêu sắc thuốc là không phản ứng hoá học với dược liệu, giữ nguyên tính vị của thuốc.	Entscheidend ist, dass der Topf nicht chemisch mit den Kräutern reagiert, damit die Arznei Natur und Geschmack behält.
destinations.json::[7].short	Nhức đầu, mỏi mắt, tê chân? Tận tình anh dẫn ả coi chốn này.	Kopfschmerz, müde Augen, taube Beine? Lassen Sie sich hier herumführen.
destinations.json::[7].highlights[0]	Mô hình hiệu thuốc Đông Y	Das Modell einer traditionellen Apotheke
destinations.json::[7].highlights[1]	Các vị thuốc phổ biến trong Đông Y	Die gebräuchlichsten Heilmittel
destinations.json::[7].highlights[2]	Phương pháp chẩn bệnh, chữa bệnh xưa	Alte Methoden der Diagnose und Behandlung
destinations.json::[8].name	Bảo tàng Thổ sản	Museum der Landesprodukte
