path	vi	fr
destinations.json::[0].highlights[1]	Ngôi miếu thờ Bắc Đế Trấn Võ giữa lòng cầu	Le sanctuaire de Bắc Đế Trấn Võ au milieu du pont
destinations.json::[0].highlights[2]	Mái ngói âm dương và bộ vì kèo gỗ của người thợ xưa	Le toit de tuiles yin-yang et les fermes en bois des anciens charpentiers
destinations.json::[1].name	Chùa Quan Âm	La pagode Quan Âm
destinations.json::[1].description	Cách Miếu Quan Công một khoảng vườn thanh tịnh làm nao lòng du khách, ngôi chùa là chốn tự tại giữa cảnh phồn hoa, giữ gìn nếp cũ người Minh Hương	À un jardin paisible du temple de Quan Công, cette pagode est un lieu où l'on se pose au milieu de l'animation, et où se gardent les usages anciens de la communauté Minh Hương.
destinations.json::[1].quizBank[0].question	Tại sao vị bồ tát này lại có ngoại hình dữ tợn?	Pourquoi ce bodhisattva a-t-il l'air si féroce ?
destinations.json::[1].quizBank[0].options[0]	Để hàng phục quỷ đói	Pour soumettre les esprits affamés
destinations.json::[1].quizBank[0].options[1]	Để bảo vệ linh tháp	Pour garder la tour sacrée
destinations.json::[1].quizBank[0].options[2]	Để tăng uy thế cho điện thờ	Pour donner plus de majesté au sanctuaire
destinations.json::[1].quizBank[0].explain	Tiêu Diện Đại Sĩ là một hóa thân của Quan Thế Âm Bồ Tát, cai quản, nhiếp phục loài ngạ quỷ (quỷ đói) và cứu độ chúng sinh lầm đường lạc lối. Đối diện với Tiêu Diện Đại Sĩ là Vi Đà Tôn Thiên, mang sắc tướng khôi ngô, là người bảo vệ. Hai vị cũng được gọi là Ông Thiện và Ông Ác.	Tiêu Diện Đại Sĩ est une manifestation d'Avalokiteśvara : il gouverne et soumet les esprits affamés et sauve les êtres égarés. Face à lui se tient Vi Đà Tôn Thiên, au visage noble, le gardien. On les appelle aussi « le Bon » et « le Mauvais ».
destinations.json::[1].quizBank[1].question	Quan Thế Âm Bồ Tát cầm gì trên tay trái?	Que tient Quan Âm dans sa main gauche ?
destinations.json::[1].quizBank[1].options[0]	Bình hồ lô	Une gourde
destinations.json::[1].quizBank[1].options[1]	Bình tịnh thuỷ	Un vase d'eau pure
destinations.json::[1].quizBank[1].options[2]	Nhành dương liễu	Un rameau de saule
destinations.json::[1].quizBank[1].explain	Tay trái Quan Âm cầm bình thanh tịnh đựng nước cam lồ, biểu trưng cho lòng từ bi. Tay phải bà cầm nhành dương liễu để rưới nước cam lồ cho lòng người mát mẻ. Nước này rưới đến đâu là chan rải tình thương đến đó, xoa dịu mọi khổ đau của chúng sanh.	Sa main gauche tient le vase d'eau de nectar, symbole de compassion ; sa main droite un rameau de saule pour en asperger et rafraîchir les cœurs. Là où l'eau tombe, l'amour se répand et la souffrance des êtres s'apaise.
destinations.json::[1].short	“Tịnh cảnh đối phồn hoa, cửa chùa luôn tự tại”, ngôi chùa nhỏ thể hiện văn hóa Phật giáo tại Hội An.	« Le calme face à l'agitation, la porte du temple reste sereine » — une petite pagode qui porte la culture bouddhiste de Hội An.
destinations.json::[1].highlights[0]	Bài trí giản dị với tượng thờ và tranh vẽ phía sau	Une disposition sobre : les statues et les panneaux peints derrière elles
destinations.json::[1].highlights[1]	Bộ tranh mười tám vị La Hán	Les peintures des dix-huit arhats
destinations.json::[1].highlights[2]	Tượng Phật Bà ở sân trong, giữa tiểu cảnh và hồ nước nhỏ	La statue de Quan Âm dans la cour, entre rocaille et petit bassin
destinations.json::[2].name	Miếu Quan Công	Le temple de Quan Công
destinations.json::[2].description	Một di tích lâu đời chứng kiến những đổi thay của phố Hội. Nhiều hợp đồng thương mại đã từng được ký kết ở nơi đây, dưới sự chứng giám của Quan Thánh.	Un monument ancien qui a vu changer Hội An. Bien des contrats de commerce y furent signés, sous le regard de Quan Thánh.
destinations.json::[2].quizBank[0].question	Tại sao Quan Thánh Đế Quân (Quan Công) lại được thờ phụng ở Hội An?	Pourquoi Quan Thánh Đế Quân (Quan Công) est-il vénéré à Hội An ?
destinations.json::[2].quizBank[0].options[0]	Ngài có khả năng chữa bệnh	Parce qu'il guérit les maladies
destinations.json::[2].quizBank[0].options[1]	Ngài là tấm gương nghĩa khí	Parce qu'il incarne le sens de l'honneur
destinations.json::[2].quizBank[0].options[2]	Ngài đảm bảo sự an toàn cho phố cảng	Parce qu'il assure la sécurité du port
destinations.json::[2].quizBank[0].explain	Tri huyện Trương Tăng Diễn từng cúng một câu đối thể hiện uy linh của Quan Thánh Đế Quân với người Việt: “Nhất điểm đan tâm tồn Bắc sử; Thiên thu nghĩa khí tráng Nam cương” (Một tấm lòng son lưu sử Bắc; Ngàn năm nghĩa khí tráng Nam cương). Đặc biệt, thương nhân ở Hội An còn coi Ngài là bậc Thánh chứng cho chữ tín trong giao thương và trừng phạt những kẻ vi phạm khế ước.	Le sous-préfet Trương Tăng Diễn offrit un distique disant la puissance de Quan Thánh Đế Quân aux yeux des Vietnamiens : « Un cœur vermeil demeure dans les annales du Nord ; mille automnes de droiture fortifient les marches du Sud. » Les marchands de Hội An voyaient surtout en lui le garant de la parole donnée, châtiant qui rompt un contrat.
destinations.json::[2].quizBank[1].question	Nhìn theo hướng từ chính điện ra, con ngựa bên trái Quan Công có màu gì?	En regardant depuis le sanctuaire vers la sortie, de quelle couleur est le cheval à gauche de Quan Công ?
destinations.json::[2].quizBank[1].options[0]	Đen	Noir
destinations.json::[2].quizBank[1].options[1]	Trắng	Blanc
destinations.json::[2].quizBank[1].options[2]	Đỏ	Rouge
destinations.json::[2].quizBank[1].explain	Phía bên trái của Quan Công là tượng ngựa Xích Thố, toàn thân một màu đỏ rực như lửa. Trong tiểu thuyết “Tam Quốc diễn nghĩa”, Xích Thố đã qua nhiều đời chủ rồi gắn bó với nhân vật Quan Vũ. Sau khi Quan Vũ mất, ngựa bỏ ăn mà chết để bày tỏ lòng trung thành.	À sa gauche se tient Xích Thố, le cheval rouge feu. Dans les Trois Royaumes, Xích Thố passa de maître en maître avant de suivre Quan Vũ ; à la mort de celui-ci, il refusa de manger et mourut, par fidélité.
destinations.json::[2].quizBank[2].question	Bức tranh phía bên trái từ trong chính điện nhìn ra vẽ cảnh gì?	En regardant depuis le sanctuaire vers la sortie, quelle scène est peinte sur le mur de gauche ?
destinations.json::[2].quizBank[2].options[0]	Quan Công phò nhị tẩu (Quan Công hộ tống hai người chị dâu)	Quan Công escortant ses deux belles-sœurs
destinations.json::[2].quizBank[2].options[1]	Tam cố mao lư (Ba lần đến nhà tranh)	Les trois visites à la chaumière
destinations.json::[2].quizBank[2].options[2]	Đào viên kết nghĩa (Kết nghĩa ở vườn đào)	Le serment du jardin des pêchers
destinations.json::[2].quizBank[2].explain	Trong tranh, Quan Vũ hộ tống hai người vợ của Lưu Bị vượt qua năm cửa ải của Tào Tháo và chém sáu tướng cản đường để trở về với Lưu Bị. Ở phía bức tường còn lại, vẽ cảnh Châu Thương xin quy phục Quan Vũ. Sự kiện này cũng diễn ra trên đường trở về với Lưu Bị. Cả thiên truyện “vượt năm ải, chém sáu tướng” ca ngợi lòng trung thành và tiết nghĩa tuyệt đối của Quan Vũ. Về Châu Thương, đây là một trong hai đệ tử thường được phối thờ với Ngài. Châu Thương là người cầm Thanh Long yển nguyệt đao đứng phía tay trái Quan Công trong miếu này.	Sur la peinture, Quan Vũ escorte les deux épouses de Lưu Bị, franchit les cinq passes de Tào Tháo et abat les six généraux qui barrent la route pour rejoindre son frère d'armes. Sur le mur opposé, Châu Thương fait sa soumission à Quan Vũ — autre épisode du même retour. Tout le récit des « cinq passes et six généraux » célèbre la fidélité de Quan Vũ. Châu Thương est l'un des deux disciples honorés avec lui : dans ce temple, il tient le sabre du Dragon vert et se tient à sa gauche.
destinations.json::[2].short	Nổi bật với sắc đỏ uy phong của lòng chính trực, là trung tâm tín ngưỡng quan trọng bậc nhất cảng thị này.	Le rouge impérieux de la droiture — le premier centre de dévotion de cette ville portuaire.
destinations.json::[2].highlights[0]	Hoành phi được tiến cúng bởi các hội quán người Hoa khác nhau	Les panneaux offerts par les différentes maisons de congrégation chinoises
destinations.json::[2].highlights[1]	Bài thơ của Xuân Quận công Nguyễn Nghiễm	Le poème du duc Nguyễn Nghiễm
destinations.json::[2].highlights[2]	Tượng Quan Công, hai đệ tử cùng ngựa Xích Thố và Bạch Thố	La statue de Quan Công, ses deux disciples et les chevaux Xích Thố et Bạch Thố
destinations.json::[3].name	Bảo tàng Gốm sứ mậu dịch	Le musée de la Céramique commerciale
destinations.json::[3].description	Gốm là một minh chứng cho thời thông thương sôi động tại Hội An. Bên cạnh thổ sản, tơ tằm, đã từng có những con thuyền chở toàn gốm đến, đi, và cả nằm lại dưới biển.	La céramique atteste de l'intense époque commerciale de Hội An. Outre les produits du pays et la soie, des navires entiers de poteries sont venus, repartis — et certains sont restés au fond de la mer.
destinations.json::[3].quizBank[0].question	Họa tiết này nằm trong hiện vật nào?	Ce motif provient de quel objet ?
destinations.json::[3].quizBank[0].options[0]	Một chiếc thau	Une bassine
destinations.json::[3].quizBank[0].options[1]	Một chiếc đĩa	Une assiette
destinations.json::[3].quizBank[0].options[2]	Một chiếc bát	Un bol
destinations.json::[3].quizBank[0].explain	Chi tiết nằm trong một chiếc bát sứ Hizen, Nhật Bản, có niên đại khoảng nửa sau thế kỷ XVII. Hoạ tiết Thọ Lão cưỡi hạc này rất phổ biến trong gốm sứ Đông Á, thể hiện mong ước sống trường thọ.	Ce détail appartient à un bol en porcelaine de Hizen, au Japon, de la seconde moitié du XVIIe siècle. Le motif du dieu de la Longévité chevauchant une grue est courant dans les céramiques d'Asie orientale : il dit le souhait d'une longue vie.
destinations.json::[3].quizBank[1].question	Bạn có thể đi tìm chú cua này không? Ai là người làm ra chú?	Saurez-vous trouver ce crabe ? Qui l'a fait ?
destinations.json::[3].quizBank[1].options[0]	Người Việt thế kỷ XV-XVI	Des Vietnamiens des XVe-XVIe siècles
destinations.json::[3].quizBank[1].options[1]	Người Hoa thế kỷ XVII	Des Chinois du XVIIe siècle
destinations.json::[3].quizBank[1].options[2]	Người Nhật thế kỷ XVII	Des Japonais du XVIIe siècle
destinations.json::[3].quizBank[1].explain	Chu Đậu là dòng gốm cổ cao cấp nổi tiếng của Việt Nam có lịch sử gần 600 năm, phát triển rực rỡ từ thế kỷ XIV – XVI trước khi bị thất truyền và được phục hưng thành công. Làm từ đất sét trắng đặc trưng vùng Trúc Thôn (Chí Linh, Hải Dương), dòng gốm này được ca ngợi là “mỏng như giấy, trong như ngọc, trắng như ngà, kêu như chuông”.	Le Chu Đậu est la grande céramique fine ancienne du Viêt Nam, forte de près de 600 ans : florissante du XIVe au XVIe siècle, perdue, puis relevée avec succès. Faite de l'argile blanche de Trúc Thôn (Chí Linh, Hải Dương), elle est louée comme « fine comme le papier, claire comme le jade, blanche comme l'ivoire, sonore comme la cloche ».
destinations.json::[3].quizBank[2].question	Làm sao mà chú cua này vẫn còn nguyên vẹn sau vụ đắm tàu?	Comment ce crabe est-il resté intact après le naufrage ?
destinations.json::[3].quizBank[2].options[0]	Vì chúng nằm gần bờ	Parce qu'il était près du rivage
destinations.json::[3].quizBank[2].options[1]	Vì chúng nằm trong lớp bùn biển	Parce qu'il était dans la vase marine
destinations.json::[3].quizBank[2].options[2]	Vì chúng được vớt lên ngay sau đó	Parce qu'il a été repêché aussitôt
destinations.json::[3].quizBank[2].explain	Sau khi con tàu chở những đồ gốm này bị đắm, khả năng cao thân tàu đã nhanh chóng chìm vào lớp bùn, khiến cho một phần thân tàu còn nguyên vẹn và nhiều đồ gốm có thể được phát hiện nguyên trạng trong tàu.	Après le naufrage du navire chargé de ces céramiques, la coque s'est probablement enfoncée vite dans la vase : une partie du bateau est restée intacte et beaucoup de pièces ont été retrouvées en place à l'intérieur.
destinations.json::[3].short	Một vòng cảng thị từ gốm Hizen, Phước Kiến, đến gốm Islam, Chu Đậu.	Un tour du port en céramiques : de Hizen et du Fujian aux pièces islamiques et au Chu Đậu.
destinations.json::[3].highlights[0]	Sản phẩm gốm tới từ Nhật Bản, Trung Hoa, Trung Đông,...	Des céramiques du Japon, de Chine, du Moyen-Orient…
destinations.json::[3].highlights[1]	Gốm Chu Đậu mỏng như giấy, trong như ngọc	Le Chu Đậu, fin comme le papier, clair comme le jade
destinations.json::[3].highlights[2]	Câu chuyện từ những di chỉ gốm	Ce que racontent les sites céramiques
destinations.json::[4].name	Bảo tàng Hội An	Le musée de Hội An
destinations.json::[4].description	Hội An là một thành phố nhỏ trực thuộc tỉnh Quảng Nam, nằm bên bờ bắc sông Thu Bồn cách Thành phố Đà Nẵng 30km về phía Nam. Thành phố Hội An có diện tích khoảng 60 km2, dân số hơn 90.000 người, gồm 9 phường , 3 xã đất liền và 1 xã đảo.	Hội An est une petite ville de la province de Quảng Nam, sur la rive nord de la rivière Thu Bồn, à 30 km au sud de Đà Nẵng. Environ 60 km², plus de 90 000 habitants, 9 quartiers, 3 communes continentales et 1 commune insulaire.
destinations.json::[5].name	Bảo tàng Văn hóa Sa Huỳnh	Le musée de la culture Sa Huỳnh
destinations.json::[5].description	Sa Huỳnh là một trong ba cái nôi văn minh cổ xưa lớn nhất Việt Nam. Quan sát sự tương đồng của hiện vật sắt Sa Huỳnh tại Hội An với hiện vật sắt thời Hán, các nhà nghiên cứu đã kết luận nơi đây từng có một cảng thị sơ khai. Liệu những cư dân từ xa xưa của vùng đất này từng sống như thế nào?	Sa Huỳnh est l'un des trois grands berceaux des civilisations anciennes du Viêt Nam. La ressemblance entre les objets de fer Sa Huỳnh trouvés à Hội An et ceux de l'époque Han a conduit les chercheurs à conclure qu'un port ancien existait ici. Comment vivaient donc les premiers habitants de cette terre ?
destinations.json::[5].quizBank[0].question	Những chiếc chum lớn từng được dùng để làm gì?	À quoi servaient ces grandes jarres ?
destinations.json::[5].quizBank[0].options[0]	Mai táng người đã khuất	À inhumer les morts
destinations.json::[5].quizBank[0].options[1]	Dự trữ lương thực	À stocker les grains
destinations.json::[5].quizBank[0].options[2]	Dự trữ nước mưa	À recueillir l'eau de pluie
destinations.json::[5].quizBank[0].explain	Táng mộ chum là hình thức mai táng nổi bật nhất của cư dân văn hóa Sa Huỳnh, trong đó người chết được đặt nguyên thi thể, than tro hỏa táng hoặc di cốt vào bên trong một chiếc chum bằng gốm đất nung cùng một vài đồ tùy táng như công cụ sản xuất hay trang sức.	La sépulture en jarre est la pratique funéraire la plus caractéristique de la culture Sa Huỳnh : le corps, les cendres ou les os étaient déposés dans une grande jarre de terre cuite avec quelques offrandes — outils ou parures.
destinations.json::[5].quizBank[1].question	Chất liệu nào được dùng rộng rãi nhất để sản xuất công cụ lao động của cư dân Sa Huỳnh?	Quel matériau les Sa Huỳnh utilisaient-ils le plus pour leurs outils ?
destinations.json::[5].quizBank[1].options[0]	Đồng	Le bronze
destinations.json::[5].quizBank[1].options[1]	Sắt	Le fer
destinations.json::[5].quizBank[1].options[2]	Đá	La pierre
destinations.json::[5].quizBank[1].explain	Công cụ lao động phổ biến của người Sa Huỳnh chủ yếu được làm bằng sắt, bên cạnh các vật liệu truyền thống như đá, gốm và vỏ nhuyễn thể. Đồ sắt được phát hiện trong các di tích ở Hội An hầu hết nằm bên trong mộ chum, có kích thước lớn và đã qua sử dụng. Rất có thể đây là hiện vật mà lúc còn sống chủ nhân của chúng đã từng sử dụng.	Les outils Sa Huỳnh étaient surtout en fer, à côté des matériaux traditionnels : pierre, terre cuite, coquillage. Presque tout le fer trouvé sur les sites de Hội An était à l'intérieur des jarres funéraires, de grande taille et usé — probablement des objets dont le défunt s'était servi de son vivant.
destinations.json::[5].short	Cách đây 2000 năm, người ta đã sống tại nơi bạn đang đứng như thế nào?	Il y a 2 000 ans, comment vivait-on là où vous vous tenez ?
destinations.json::[5].highlights[0]	Táng tục mộ chum	La coutume des sépultures en jarre
destinations.json::[5].highlights[1]	Các chế tác quan trọng như công cụ lao động và trang sức	Les objets majeurs : outils de travail et parures
destinations.json::[5].highlights[2]	Kỹ thuật sản xuất đồ gốm	Les techniques de la poterie
destinations.json::[6].name	Bảo tàng Văn hóa dân gian	Le musée de la Culture populaire
destinations.json::[6].description	Bề dày truyền thống văn hóa, sự sáng tạo, những đóng góp của các thế hệ cư dân địa phương trong quá trình xây dựng phát triển vùng đất Hội An.	L'épaisseur des traditions, la créativité et l'apport des générations d'habitants qui ont bâti et développé la terre de Hội An.
destinations.json::[6].quizBank[0].question	Người ta bắt tôm vào thời điểm nào trong ngày?	À quel moment de la journée pêche-t-on la crevette ?
destinations.json::[6].quizBank[0].options[0]	Chiều	L'après-midi
destinations.json::[6].quizBank[0].options[1]	Sáng sớm	Au petit matin
destinations.json::[6].quizBank[0].options[2]	Đêm	La nuit
destinations.json::[6].quizBank[0].explain	Tôm thường được bắt vào ban đêm hoặc chiều tối (từ chập tối đến sáng sớm) vì đây là lúc tôm có tập tính rời nơi ẩn nấp để đi tìm kiếm thức ăn.	On pêche la crevette surtout la nuit, du crépuscule au petit matin : c'est le moment où elle quitte sa cachette pour chercher sa nourriture.
destinations.json::[6].quizBank[1].question	Trong các ngày hội lớn, người dân bản địa thường chơi trò chơi dân gian nào?	Les jours de grande fête, à quel jeu populaire joue-t-on ici ?
destinations.json::[6].quizBank[1].options[0]	Bài chòi	Le bài chòi, jeu de cartes chanté
destinations.json::[6].quizBank[1].options[1]	Cờ người	Les échecs humains
destinations.json::[6].quizBank[1].options[2]	Tổ tôm điếm	Le tổ tôm điếm, autre jeu de cartes
destinations.json::[6].quizBank[1].explain	Bài chòi lưu hành phổ biến ở một số địa phương miền Trung từ Quảng Bình đến Bình Thuận. Qua lời kể của những nghệ nhân, vào cuối thế kỷ XVI đầu thế kỷ XVII, nhiều thú dữ trên rừng thường về quấy nhiễu cuộc sống. Người dân vì thế đã dựng những chiếc chòi rất cao ở ven rừng, cắt cử thanh niên trai tráng canh gác. Trong quá trình ấy, để đỡ buồn chán, người ta nghĩ ra cách giao lưu với nhau bằng những câu hát, câu hò, hô bài tứ sắc.	Le bài chòi est répandu dans le centre du Viêt Nam, de Quảng Bình à Bình Thuận. Selon les artistes, à la fin du XVIe et au début du XVIIe siècle, les fauves descendaient troubler les villages ; on dressa alors de hautes huttes de guet (chòi) en lisière de forêt, gardées par les jeunes hommes. Pour tromper l'ennui, on se répondait en chants et l'on criait les cartes : le jeu était né.
destinations.json::[6].quizBank[2].question	Làng mộc nổi tiếng ở Hội An có tên là gì?	Comment s'appelle le village de charpentiers réputé de Hội An ?
destinations.json::[6].quizBank[2].options[0]	Thanh Hà	Thanh Hà, le village des potiers
destinations.json::[6].quizBank[2].options[1]	Kim Bồng	Kim Bồng, le village des charpentiers
destinations.json::[6].quizBank[2].options[2]	Trà Quế	Trà Quế, le village maraîcher
destinations.json::[6].quizBank[2].explain	Rất nhiều kiến trúc nhà cửa, chùa quán... ở khu phố cổ Hội An in dấu bàn tay thợ mộc Kim Bồng. Trong đó phải kể đến nhà cổ Tấn Ký, Tụy Tiên Đường Minh Hương và Miếu Quan Công.	Beaucoup de maisons, pagodes et maisons de congrégation du vieux Hội An portent la main des charpentiers de Kim Bồng — notamment la maison Tấn Ký, le Tụy Tiên Đường Minh Hương et le temple de Quan Công.
destinations.json::[6].short	Kho tàng tri thức bản địa sống động tái hiện hồn cốt Hội An.	Un trésor vivant de savoirs locaux qui redonne son âme à Hội An.
destinations.json::[6].highlights[0]	Sinh kế của người bản địa	Les moyens de vivre des gens d'ici
destinations.json::[6].highlights[1]	Các lễ hội địa phương	Les fêtes locales
destinations.json::[7].name	Bảo tàng nghề Y truyền thống	Le musée de la Médecine traditionnelle
destinations.json::[7].description	Từ thế kỷ XVI, thương cảng Hội An đã là nơi phân phối đa dạng từ thuốc Bắc đến thuốc Nam. Vào khoảng thế kỷ XIX-XX, những hiệu thuốc lớn nhỏ với nhiều thầy thuốc giỏi đã trở thành một phần bộ mặt phố Hội.	Dès le XVIe siècle, le port de Hội An distribuait aussi bien la pharmacopée chinoise que les plantes du pays. Aux XIXe et XXe siècles, les officines grandes et petites et leurs bons médecins faisaient partie du visage de la ville.
destinations.json::[7].quizBank[0].question	Thầy thuốc đặt tay lên cổ tay bệnh nhân nhằm mục đích gì?	Pourquoi le médecin pose-t-il la main sur le poignet du patient ?
destinations.json::[7].quizBank[0].options[0]	Chẩn đoán thai sản	Pour dépister une grossesse
destinations.json::[7].quizBank[0].options[1]	Xác định tình trạng tạng phủ, khí huyết	Pour lire l'état des organes, du souffle et du sang
destinations.json::[7].quizBank[0].options[2]	Khám tình trạng cổ tay	Pour examiner le poignet lui-même
destinations.json::[7].quizBank[0].explain	Bắt mạch trong Y học cổ truyền là phương pháp chẩn đoán bệnh bằng cách dùng tay cảm nhận sự vận hành của khí huyết trong mạch máu, từ đó suy đoán tình trạng sinh lý và bệnh lý của cơ thể. Bắt mạch có thể xem thai, tuy nhiên đây không phải tác dụng duy nhất.	Prendre le pouls, en médecine traditionnelle, c'est sentir de la main la circulation du souffle et du sang dans les vaisseaux pour en déduire l'état physiologique et pathologique du corps. On peut y lire une grossesse, mais ce n'est pas son seul usage.
destinations.json::[7].quizBank[1].question	Vị thuốc nào được mệnh danh là “nhân sâm của người nghèo"?	Quelle plante est surnommée « le ginseng du pauvre » ?
destinations.json::[7].quizBank[1].options[0]	Cây tía tô	Le périlla
destinations.json::[7].quizBank[1].options[1]	Cây ngải cứu	L'armoise
destinations.json::[7].quizBank[1].options[2]	Cây đinh lăng	Le đinh lăng (Polyscias fruticosa)
destinations.json::[7].quizBank[1].explain	Trong rễ và lá đinh lăng có chứa saponin triterpenoid - nhóm hoạt chất sinh học tương tự như trong nhân sâm. Saponin có những tác dụng như tăng sức đề kháng, bồi bổ thần kinh, chống oxy hóa, cải thiện trí nhớ và chức năng gan. Ngoài ra đinh lăng còn chứa 17 loại axit amin có lợi cho hệ thần kinh, hệ miễn dịch, và giúp chống viêm, kháng khuẩn.	Les racines et les feuilles du đinh lăng contiennent des saponines triterpéniques, la même famille de composés que le ginseng. Elles renforcent la résistance, nourrissent les nerfs, agissent en antioxydant et soutiennent la mémoire et le foie. La plante contient en outre 17 acides aminés utiles aux systèmes nerveux et immunitaire, et aide contre l'inflammation et les bactéries.
destinations.json::[7].quizBank[2].question	Siêu sắc thuốc xưa cần phải đảm bảo tính chất nào?	Quelle qualité devait avoir le pot à décoction ancien ?
destinations.json::[7].quizBank[2].options[0]	Không ảnh hưởng đến tính vị của thuốc	Ne pas altérer la nature ni le goût du remède
destinations.json::[7].quizBank[2].options[1]	Có thể chống tràn	Éviter les débordements
destinations.json::[7].quizBank[2].options[2]	Cách nhiệt khi đun	Isoler de la chaleur pendant la cuisson
destinations.json::[7].quizBank[2].explain	Điều quan trọng nhất của siêu sắc thuốc là không phản ứng hoá học với dược liệu, giữ nguyên tính vị của thuốc.	L'essentiel, pour un pot à décoction, est de ne pas réagir chimiquement avec les plantes, afin que le remède garde sa nature et son goût.
destinations.json::[7].short	Nhức đầu, mỏi mắt, tê chân? Tận tình anh dẫn ả coi chốn này.	Mal de tête, yeux fatigués, jambes lourdes ? Laissez cette maison vous guider.
destinations.json::[7].highlights[0]	Mô hình hiệu thuốc Đông Y	La reconstitution d'une officine traditionnelle
destinations.json::[7].highlights[1]	Các vị thuốc phổ biến trong Đông Y	Les remèdes les plus courants
destinations.json::[7].highlights[2]	Phương pháp chẩn bệnh, chữa bệnh xưa	Les méthodes anciennes de diagnostic et de soin
destinations.json::[8].name	Bảo tàng Thổ sản	Le musée des Produits du terroir
destinations.json::[8].description	Thổ sản là một trong những mặt hàng được xuất khẩu qua thương cảng Hội An. Từ thế kỷ XVI, các thuyền buôn Bồ Đào Nha đã đến đây mua hàng như tơ, lụa, hồ tiêu, gỗ quý, thông qua các đại lý người Hoa hay người Nhật.	Les produits du terroir comptaient parmi les principales exportations du port de Hội An. Dès le XVIe siècle, les navires portugais venaient y acheter soie grège et soieries, poivre et bois précieux, par l'entremise d'agents chinois ou japonais.
destinations.json::[8].quizBank[0].question	Trong số các sản vật này, sản vật nào là quý hiếm và đắt giá nhất?	Parmi ces produits, lequel est le plus rare et le plus cher ?
destinations.json::[8].quizBank[0].options[0]	Kỳ nam	Le kỳ nam, l'aloès le plus fin
destinations.json::[8].quizBank[0].options[1]	Quế	La cannelle
destinations.json::[8].quizBank[0].options[2]	Trầm hương	Le bois d'aloès
