path	vi
destinations.json::[1].quizBank[0].question	Tại sao vị bồ tát này lại có ngoại hình dữ tợn?
destinations.json::[1].quizBank[0].options[0]	Để hàng phục quỷ đói
destinations.json::[1].quizBank[0].options[1]	Để bảo vệ linh tháp
destinations.json::[1].quizBank[0].options[2]	Để tăng uy thế cho điện thờ
destinations.json::[1].quizBank[0].explain	Tiêu Diện Đại Sĩ là một hóa thân của Quan Thế Âm Bồ Tát, cai quản, nhiếp phục loài ngạ quỷ (quỷ đói) và cứu độ chúng sinh lầm đường lạc lối. Đối diện với Tiêu Diện Đại Sĩ là Vi Đà Tôn Thiên, mang sắc tướng khôi ngô, là người bảo vệ. Hai vị cũng được gọi là Ông Thiện và Ông Ác.
destinations.json::[1].quizBank[1].question	Quan Thế Âm Bồ Tát cầm gì trên tay trái?
destinations.json::[1].quizBank[1].options[0]	Bình hồ lô
destinations.json::[1].quizBank[1].options[1]	Bình tịnh thuỷ
destinations.json::[1].quizBank[1].options[2]	Nhành dương liễu
destinations.json::[1].quizBank[1].explain	Tay trái Quan Âm cầm bình thanh tịnh đựng nước cam lồ, biểu trưng cho lòng từ bi. Tay phải bà cầm nhành dương liễu để rưới nước cam lồ cho lòng người mát mẻ. Nước này rưới đến đâu là chan rải tình thương đến đó, xoa dịu mọi khổ đau của chúng sanh.
destinations.json::[1].short	“Tịnh cảnh đối phồn hoa, cửa chùa luôn tự tại”, ngôi chùa nhỏ thể hiện văn hóa Phật giáo tại Hội An.
destinations.json::[1].highlights[0]	Bài trí giản dị với tượng thờ và tranh vẽ phía sau
destinations.json::[1].highlights[1]	Bộ tranh mười tám vị La Hán
destinations.json::[1].highlights[2]	Tượng Phật Bà ở sân trong, giữa tiểu cảnh và hồ nước nhỏ
destinations.json::[2].name	Miếu Quan Công
destinations.json::[2].description	Một di tích lâu đời chứng kiến những đổi thay của phố Hội. Nhiều hợp đồng thương mại đã từng được ký kết ở nơi đây, dưới sự chứng giám của Quan Thánh.
destinations.json::[2].quizBank[0].question	Tại sao Quan Thánh Đế Quân (Quan Công) lại được thờ phụng ở Hội An?
destinations.json::[2].quizBank[0].options[0]	Ngài có khả năng chữa bệnh
destinations.json::[2].quizBank[0].options[1]	Ngài là tấm gương nghĩa khí
destinations.json::[2].quizBank[0].options[2]	Ngài đảm bảo sự an toàn cho phố cảng
destinations.json::[2].quizBank[0].explain	Tri huyện Trương Tăng Diễn từng cúng một câu đối thể hiện uy linh của Quan Thánh Đế Quân với người Việt: “Nhất điểm đan tâm tồn Bắc sử; Thiên thu nghĩa khí tráng Nam cương” (Một tấm lòng son lưu sử Bắc; Ngàn năm nghĩa khí tráng Nam cương). Đặc biệt, thương nhân ở Hội An còn coi Ngài là bậc Thánh chứng cho chữ tín trong giao thương và trừng phạt những kẻ vi phạm khế ước.
destinations.json::[2].quizBank[1].question	Nhìn theo hướng từ chính điện ra, con ngựa bên trái Quan Công có màu gì?
destinations.json::[2].quizBank[1].options[0]	Đen
destinations.json::[2].quizBank[1].options[1]	Trắng
destinations.json::[2].quizBank[1].options[2]	Đỏ
destinations.json::[2].quizBank[1].explain	Phía bên trái của Quan Công là tượng ngựa Xích Thố, toàn thân một màu đỏ rực như lửa. Trong tiểu thuyết “Tam Quốc diễn nghĩa”, Xích Thố đã qua nhiều đời chủ rồi gắn bó với nhân vật Quan Vũ. Sau khi Quan Vũ mất, ngựa bỏ ăn mà chết để bày tỏ lòng trung thành.
destinations.json::[2].quizBank[2].question	Bức tranh phía bên trái từ trong chính điện nhìn ra vẽ cảnh gì?
destinations.json::[2].quizBank[2].options[0]	Quan Công phò nhị tẩu (Quan Công hộ tống hai người chị dâu)
destinations.json::[2].quizBank[2].options[1]	Tam cố mao lư (Ba lần đến nhà tranh)
destinations.json::[2].quizBank[2].options[2]	Đào viên kết nghĩa (Kết nghĩa ở vườn đào)
destinations.json::[2].quizBank[2].explain	Trong tranh, Quan Vũ hộ tống hai người vợ của Lưu Bị vượt qua năm cửa ải của Tào Tháo và chém sáu tướng cản đường để trở về với Lưu Bị. Ở phía bức tường còn lại, vẽ cảnh Châu Thương xin quy phục Quan Vũ. Sự kiện này cũng diễn ra trên đường trở về với Lưu Bị. Cả thiên truyện “vượt năm ải, chém sáu tướng” ca ngợi lòng trung thành và tiết nghĩa tuyệt đối của Quan Vũ. Về Châu Thương, đây là một trong hai đệ tử thường được phối thờ với Ngài. Châu Thương là người cầm Thanh Long yển nguyệt đao đứng phía tay trái Quan Công trong miếu này.
destinations.json::[2].short	Nổi bật với sắc đỏ uy phong của lòng chính trực, là trung tâm tín ngưỡng quan trọng bậc nhất cảng thị này.
destinations.json::[2].highlights[0]	Hoành phi được tiến cúng bởi các hội quán người Hoa khác nhau
destinations.json::[2].highlights[1]	Bài thơ của Xuân Quận công Nguyễn Nghiễm
destinations.json::[2].highlights[2]	Tượng Quan Công, hai đệ tử cùng ngựa Xích Thố và Bạch Thố
destinations.json::[3].name	Bảo tàng Gốm sứ mậu dịch
destinations.json::[3].description	Gốm là một minh chứng cho thời thông thương sôi động tại Hội An. Bên cạnh thổ sản, tơ tằm, đã từng có những con thuyền chở toàn gốm đến, đi, và cả nằm lại dưới biển.
destinations.json::[3].quizBank[0].question	Họa tiết này nằm trong hiện vật nào?
destinations.json::[3].quizBank[0].options[0]	Một chiếc thau
destinations.json::[3].quizBank[0].options[1]	Một chiếc đĩa
destinations.json::[3].quizBank[0].options[2]	Một chiếc bát
destinations.json::[3].quizBank[0].explain	Chi tiết nằm trong một chiếc bát sứ Hizen, Nhật Bản, có niên đại khoảng nửa sau thế kỷ XVII. Hoạ tiết Thọ Lão cưỡi hạc này rất phổ biến trong gốm sứ Đông Á, thể hiện mong ước sống trường thọ.
destinations.json::[3].quizBank[1].question	Bạn có thể đi tìm chú cua này không? Ai là người làm ra chú?
destinations.json::[3].quizBank[1].options[0]	Người Việt thế kỷ XV-XVI
destinations.json::[3].quizBank[1].options[1]	Người Hoa thế kỷ XVII
destinations.json::[3].quizBank[1].options[2]	Người Nhật thế kỷ XVII
destinations.json::[3].quizBank[1].explain	Chu Đậu là dòng gốm cổ cao cấp nổi tiếng của Việt Nam có lịch sử gần 600 năm, phát triển rực rỡ từ thế kỷ XIV – XVI trước khi bị thất truyền và được phục hưng thành công. Làm từ đất sét trắng đặc trưng vùng Trúc Thôn (Chí Linh, Hải Dương), dòng gốm này được ca ngợi là “mỏng như giấy, trong như ngọc, trắng như ngà, kêu như chuông”.
destinations.json::[3].quizBank[2].question	Làm sao mà chú cua này vẫn còn nguyên vẹn sau vụ đắm tàu?
destinations.json::[3].quizBank[2].options[0]	Vì chúng nằm gần bờ
destinations.json::[3].quizBank[2].options[1]	Vì chúng nằm trong lớp bùn biển
destinations.json::[3].quizBank[2].options[2]	Vì chúng được vớt lên ngay sau đó
destinations.json::[3].quizBank[2].explain	Sau khi con tàu chở những đồ gốm này bị đắm, khả năng cao thân tàu đã nhanh chóng chìm vào lớp bùn, khiến cho một phần thân tàu còn nguyên vẹn và nhiều đồ gốm có thể được phát hiện nguyên trạng trong tàu.
destinations.json::[3].short	Một vòng cảng thị từ gốm Hizen, Phước Kiến, đến gốm Islam, Chu Đậu.
destinations.json::[3].highlights[0]	Sản phẩm gốm tới từ Nhật Bản, Trung Hoa, Trung Đông,...
destinations.json::[3].highlights[1]	Gốm Chu Đậu mỏng như giấy, trong như ngọc
destinations.json::[3].highlights[2]	Câu chuyện từ những di chỉ gốm
destinations.json::[4].name	Bảo tàng Hội An
destinations.json::[4].description	Hội An là một thành phố nhỏ trực thuộc tỉnh Quảng Nam, nằm bên bờ bắc sông Thu Bồn cách Thành phố Đà Nẵng 30km về phía Nam. Thành phố Hội An có diện tích khoảng 60 km2, dân số hơn 90.000 người, gồm 9 phường , 3 xã đất liền và 1 xã đảo.
destinations.json::[5].name	Bảo tàng Văn hóa Sa Huỳnh
destinations.json::[5].description	Sa Huỳnh là một trong ba cái nôi văn minh cổ xưa lớn nhất Việt Nam. Quan sát sự tương đồng của hiện vật sắt Sa Huỳnh tại Hội An với hiện vật sắt thời Hán, các nhà nghiên cứu đã kết luận nơi đây từng có một cảng thị sơ khai. Liệu những cư dân từ xa xưa của vùng đất này từng sống như thế nào?
destinations.json::[5].quizBank[0].question	Những chiếc chum lớn từng được dùng để làm gì?
destinations.json::[5].quizBank[0].options[0]	Mai táng người đã khuất
destinations.json::[5].quizBank[0].options[1]	Dự trữ lương thực
destinations.json::[5].quizBank[0].options[2]	Dự trữ nước mưa
destinations.json::[5].quizBank[0].explain	Táng mộ chum là hình thức mai táng nổi bật nhất của cư dân văn hóa Sa Huỳnh, trong đó người chết được đặt nguyên thi thể, than tro hỏa táng hoặc di cốt vào bên trong một chiếc chum bằng gốm đất nung cùng một vài đồ tùy táng như công cụ sản xuất hay trang sức.
destinations.json::[5].quizBank[1].question	Chất liệu nào được dùng rộng rãi nhất để sản xuất công cụ lao động của cư dân Sa Huỳnh?
destinations.json::[5].quizBank[1].options[0]	Đồng
destinations.json::[5].quizBank[1].options[1]	Sắt
destinations.json::[5].quizBank[1].options[2]	Đá
destinations.json::[5].quizBank[1].explain	Công cụ lao động phổ biến của người Sa Huỳnh chủ yếu được làm bằng sắt, bên cạnh các vật liệu truyền thống như đá, gốm và vỏ nhuyễn thể. Đồ sắt được phát hiện trong các di tích ở Hội An hầu hết nằm bên trong mộ chum, có kích thước lớn và đã qua sử dụng. Rất có thể đây là hiện vật mà lúc còn sống chủ nhân của chúng đã từng sử dụng.
destinations.json::[5].short	Cách đây 2000 năm, người ta đã sống tại nơi bạn đang đứng như thế nào?
destinations.json::[5].highlights[0]	Táng tục mộ chum
destinations.json::[5].highlights[1]	Các chế tác quan trọng như công cụ lao động và trang sức
destinations.json::[5].highlights[2]	Kỹ thuật sản xuất đồ gốm
destinations.json::[6].name	Bảo tàng Văn hóa dân gian
destinations.json::[6].description	Bề dày truyền thống văn hóa, sự sáng tạo, những đóng góp của các thế hệ cư dân địa phương trong quá trình xây dựng phát triển vùng đất Hội An.
destinations.json::[6].quizBank[0].question	Người ta bắt tôm vào thời điểm nào trong ngày?
destinations.json::[6].quizBank[0].options[0]	Chiều
destinations.json::[6].quizBank[0].options[1]	Sáng sớm
destinations.json::[6].quizBank[0].options[2]	Đêm
destinations.json::[6].quizBank[0].explain	Tôm thường được bắt vào ban đêm hoặc chiều tối (từ chập tối đến sáng sớm) vì đây là lúc tôm có tập tính rời nơi ẩn nấp để đi tìm kiếm thức ăn.
destinations.json::[6].quizBank[1].question	Trong các ngày hội lớn, người dân bản địa thường chơi trò chơi dân gian nào?
destinations.json::[6].quizBank[1].options[0]	Bài chòi
destinations.json::[6].quizBank[1].options[1]	Cờ người
destinations.json::[6].quizBank[1].options[2]	Tổ tôm điếm
destinations.json::[6].quizBank[1].explain	Bài chòi lưu hành phổ biến ở một số địa phương miền Trung từ Quảng Bình đến Bình Thuận. Qua lời kể của những nghệ nhân, vào cuối thế kỷ XVI đầu thế kỷ XVII, nhiều thú dữ trên rừng thường về quấy nhiễu cuộc sống. Người dân vì thế đã dựng những chiếc chòi rất cao ở ven rừng, cắt cử thanh niên trai tráng canh gác. Trong quá trình ấy, để đỡ buồn chán, người ta nghĩ ra cách giao lưu với nhau bằng những câu hát, câu hò, hô bài tứ sắc.
destinations.json::[6].quizBank[2].question	Làng mộc nổi tiếng ở Hội An có tên là gì?
destinations.json::[6].quizBank[2].options[0]	Thanh Hà
destinations.json::[6].quizBank[2].options[1]	Kim Bồng
destinations.json::[6].quizBank[2].options[2]	Trà Quế
destinations.json::[6].quizBank[2].explain	Rất nhiều kiến trúc nhà cửa, chùa quán... ở khu phố cổ Hội An in dấu bàn tay thợ mộc Kim Bồng. Trong đó phải kể đến nhà cổ Tấn Ký, Tụy Tiên Đường Minh Hương và Miếu Quan Công.
destinations.json::[6].short	Kho tàng tri thức bản địa sống động tái hiện hồn cốt Hội An.
destinations.json::[6].highlights[0]	Sinh kế của người bản địa
destinations.json::[6].highlights[1]	Các lễ hội địa phương
destinations.json::[7].name	Bảo tàng nghề Y truyền thống
destinations.json::[7].description	Từ thế kỷ XVI, thương cảng Hội An đã là nơi phân phối đa dạng từ thuốc Bắc đến thuốc Nam. Vào khoảng thế kỷ XIX-XX, những hiệu thuốc lớn nhỏ với nhiều thầy thuốc giỏi đã trở thành một phần bộ mặt phố Hội.
destinations.json::[7].quizBank[0].question	Thầy thuốc đặt tay lên cổ tay bệnh nhân nhằm mục đích gì?
destinations.json::[7].quizBank[0].options[0]	Chẩn đoán thai sản
destinations.json::[7].quizBank[0].options[1]	Xác định tình trạng tạng phủ, khí huyết
destinations.json::[7].quizBank[0].options[2]	Khám tình trạng cổ tay
destinations.json::[7].quizBank[0].explain	Bắt mạch trong Y học cổ truyền là phương pháp chẩn đoán bệnh bằng cách dùng tay cảm nhận sự vận hành của khí huyết trong mạch máu, từ đó suy đoán tình trạng sinh lý và bệnh lý của cơ thể. Bắt mạch có thể xem thai, tuy nhiên đây không phải tác dụng duy nhất.
destinations.json::[7].quizBank[1].question	Vị thuốc nào được mệnh danh là “nhân sâm của người nghèo"?
destinations.json::[7].quizBank[1].options[0]	Cây tía tô
destinations.json::[7].quizBank[1].options[1]	Cây ngải cứu
destinations.json::[7].quizBank[1].options[2]	Cây đinh lăng
destinations.json::[7].quizBank[1].explain	Trong rễ và lá đinh lăng có chứa saponin triterpenoid - nhóm hoạt chất sinh học tương tự như trong nhân sâm. Saponin có những tác dụng như tăng sức đề kháng, bồi bổ thần kinh, chống oxy hóa, cải thiện trí nhớ và chức năng gan. Ngoài ra đinh lăng còn chứa 17 loại axit amin có lợi cho hệ thần kinh, hệ miễn dịch, và giúp chống viêm, kháng khuẩn.
destinations.json::[7].quizBank[2].question	Siêu sắc thuốc xưa cần phải đảm bảo tính chất nào?
destinations.json::[7].quizBank[2].options[0]	Không ảnh hưởng đến tính vị của thuốc
destinations.json::[7].quizBank[2].options[1]	Có thể chống tràn
destinations.json::[7].quizBank[2].options[2]	Cách nhiệt khi đun
destinations.json::[7].quizBank[2].explain	Điều quan trọng nhất của siêu sắc thuốc là không phản ứng hoá học với dược liệu, giữ nguyên tính vị của thuốc.
destinations.json::[7].short	Nhức đầu, mỏi mắt, tê chân? Tận tình anh dẫn ả coi chốn này.
destinations.json::[7].highlights[0]	Mô hình hiệu thuốc Đông Y
destinations.json::[7].highlights[1]	Các vị thuốc phổ biến trong Đông Y
destinations.json::[7].highlights[2]	Phương pháp chẩn bệnh, chữa bệnh xưa
destinations.json::[8].name	Bảo tàng Thổ sản
destinations.json::[8].description	Thổ sản là một trong những mặt hàng được xuất khẩu qua thương cảng Hội An. Từ thế kỷ XVI, các thuyền buôn Bồ Đào Nha đã đến đây mua hàng như tơ, lụa, hồ tiêu, gỗ quý, thông qua các đại lý người Hoa hay người Nhật.
destinations.json::[8].quizBank[0].question	Trong số các sản vật này, sản vật nào là quý hiếm và đắt giá nhất?
destinations.json::[8].quizBank[0].options[0]	Kỳ nam
destinations.json::[8].quizBank[0].options[1]	Quế
destinations.json::[8].quizBank[0].options[2]	Trầm hương
destinations.json::[8].quizBank[0].explain	Một ghi chép từ năm 1600 cho thấy: “Kỳ nam hương màu đen, có dầu và giá 50 cruzados một catty nơi người Bồ Đào Nha, trong khi tại chính nơi sản xuất, nó trị giá ngang với bạc, bao nhiêu kỳ nam hương là bấy nhiêu bạc.” Nhiều thương nhân người Hoa sẵn sàng đợi cả năm chỉ để có đủ kỳ nam cho một chuyến tàu đến Nhật Bản, nơi giá cả được đẩy lên gấp 40 lần giá tại chỗ.
destinations.json::[8].quizBank[1].question	Loại sản vật nào xuất hiện trên Cửu Đỉnh?
destinations.json::[8].quizBank[1].options[0]	Lá lao
destinations.json::[8].quizBank[1].options[1]	Cau
destinations.json::[8].quizBank[1].options[2]	Tiêu
destinations.json::[8].quizBank[1].explain	Cửu đỉnh là báu vật tượng trưng cho đế nghiệp muôn năm vững bền của triều Nguyễn, với 153 tấm họa tiết chạm nổi thể hiện phong cảnh, sản vật và con người Việt Nam. Trong số đó có 9 loại dược liệu và hương liệu quý, bao gồm kỳ nam, trầm hương, dâu tằm, tô hợp, yến sào, trầu không, cau, quế, và sâm ta.
destinations.json::[8].short	Một lát cắt về mạng lưới thương mại thế kỷ XVI-XVII thông qua các loại thổ sản.
destinations.json::[8].highlights[0]	Quá trình khai thác kỳ nam, lâm sản quý hiếm bậc nhất
destinations.json::[8].highlights[1]	Giá cả và tầm quan trọng của từng mặt hàng trong thị trường thổ sản
destinations.json::[8].highlights[2]	Những vật dụng sử dụng trong buôn bán
destinations.json::[9].name	Nhà trưng bày Văn hóa Nhật Bản
destinations.json::[9].description	Exhibition on the Japanese quarter of old Hoi An and the archaeology of Japanese trade in the town.
destinations.json::[9].quizBank[0].question	Trong dòng búp bê Koga, con khỉ đang ôm loài vật gì?
destinations.json::[9].quizBank[0].options[0]	Mèo
destinations.json::[9].quizBank[0].options[1]	Gà
destinations.json::[9].quizBank[0].options[2]	Chó
destinations.json::[9].quizBank[0].explain	Hiện này là một mẫu thiết kế có tên gọi "Khỉ ôm gà" của dòng búp bê Koga truyền thống đến từ tỉnh Nagasaki. Thiết kế này là một sự kết hợp độc đáo tượng trưng cho sự chuyển giao của 12 con giáp từ năm Thân (Saru) sang năm Dậu (Tori). Trong văn hóa Nhật Bản, từ con khỉ (saru) là một cách chơi chữ đồng âm với từ "rời đi" (saru / 去る), mang ý nghĩa xua đuổi những điều xui xẻo hoặc vận rủi.
destinations.json::[9].short	Một vòng văn hóa Nhật Bản với những thực hành và món đồ chơi truyền thống
destinations.json::[10].name	Nhà biểu diễn nghệ thuật cổ truyền Hội An
destinations.json::[10].description	Nhà Biểu diễn nghệ thuật cổ truyền được thành lập từ năm 1996 đến nay, các chương trình nghệ thuật đã mang lại nhiều mỹ cảm và sự thích thú cho đông đảo người xem trong nước và quốc tế.
destinations.json::[11].name	Nhà thờ tộc Trần
destinations.json::[11].description	Xuyên qua khu vườn yên ả là từ đường của tộc Trần, khởi dựng từ năm 1802 bởi một vị quan trước khi đi sứ sang Trung Quốc.
destinations.json::[11].quizBank[0].question	Con hổ trong bức tranh ở gian ngoài đang làm gì?
destinations.json::[11].quizBank[0].options[0]	Ngồi
destinations.json::[11].quizBank[0].options[1]	Nhảy qua suối
destinations.json::[11].quizBank[0].options[2]	Gầm
destinations.json::[11].quizBank[0].explain	Trên bức tranh có viết hai chữ “Hổ khiếu” tức hổ gầm, tượng trưng cho sức mạnh dũng mãnh, uy lực vang dội, có thể xua đuổi tà khí.
destinations.json::[11].quizBank[1].question	Khi muốn xin ý kiến của tổ tiên, chủ nhà sẽ thực hiện hành động gì?
destinations.json::[11].quizBank[1].options[0]	Xin đài âm dương
destinations.json::[11].quizBank[1].options[1]	Xin báo mộng
destinations.json::[11].quizBank[1].options[2]	Xin giáng bút
destinations.json::[11].quizBank[1].explain	Xin đài âm dương (xin keo) là nghi thức gieo hai đồng xu hoặc hai miếng gỗ bán nguyệt để hỏi ý kiến thần linh, gia tiên phù hộ về những việc hệ trọng như làm nhà, kinh doanh, thi cử, ốm đau...
destinations.json::[11].quizBank[2].question	Kết cấu kiến trúc này có tên là gì?
destinations.json::[11].quizBank[2].options[0]	Vì giá chiêng
destinations.json::[11].quizBank[2].options[1]	Vì vỏ cua
destinations.json::[11].quizBank[2].options[2]	Vì chồng rường giả thủ
destinations.json::[11].quizBank[2].explain	Vì vỏ cua là một kiểu kết cấu vì kèo gỗ truyền thống trong kiến trúc cổ của người Việt, thường gặp ở Hội An, Huế và các vùng lân cận. Các vì vỏ cua thường được thợ mộc chạm trổ hoa văn, họa tiết rất tinh xảo, vừa mang tính chịu lực đỡ mái vừa làm điểm nhấn trang trí cho không gian nội thất.
destinations.json::[11].short	Nhà thờ cổ 200 năm tuổi ẩn trong một khu vườn, với lối kiến trúc pha trộn từ ba nền văn hoá.
destinations.json::[11].highlights[0]	Kiến trúc nhà vườn cổ kính
destinations.json::[11].highlights[1]	Các cổ vật mang nhiều dấu ấn văn hoá
destinations.json::[11].highlights[2]	Không gian thờ tự trang nghiêm
destinations.json::[12].name	Nhà thờ tộc Nguyễn Tường
destinations.json::[12].description	Di tích gắn với sự phát tích của dòng họ Nguyễn Tường ở Hội An và của nhóm Tự Lực Văn Đoàn.
destinations.json::[12].quizBank[0].question	Ngôi nhà này được xây dựng bởi ai?
destinations.json::[12].quizBank[0].options[0]	Một vị thượng thư triều Nguyễn
destinations.json::[12].quizBank[0].options[1]	Một hoạ sĩ
destinations.json::[12].quizBank[0].options[2]	Một nhà văn
destinations.json::[12].quizBank[0].explain	Nguyễn Tường Vân là một vị quan đại thần dưới triều vua Gia Long và Minh Mạng, từng giữ chức Binh bộ Thượng thư và mang tước Nhuận Trạch Hầu. Ngay trước nhà còn liễn đối ca ngợi ông: “Nhuận Trạch hầu gia khí thế trường tồn uy hải ngoại. Thượng thư Binh bộ thanh danh quảng bá Việt trung.” Chức Binh bộ Thượng thư tương đương với Bộ trưởng Bộ Quốc phòng ngày nay.
destinations.json::[12].quizBank[1].question	Phần trung tâm của ngôi nhà này được sử dụng để làm gì?
destinations.json::[12].quizBank[1].options[0]	Sáng tác văn chương
destinations.json::[12].quizBank[1].options[1]	Thờ cúng
destinations.json::[12].quizBank[1].options[2]	Tiếp khách
destinations.json::[12].quizBank[1].explain	Trước gian thờ là hoành phi ghi bốn chữ “Nguyễn Tường từ đường”, hai bên là liễn đối: “Thiên tải tần phồn truy viễn, thử tâm hà cảm giải. Nhất diên tu tiến đốc thân, tư niệm khởi năng vong.” Tạm dịch: Ngàn năm dâng lễ cúng tế tưởng nhớ tổ tiên, tấm lòng này sao dám trễ nải. Một mâm cúng dâng món ngon hiếu kính người thân, đạo lý này há thể nào quên.
destinations.json::[12].quizBank[2].question	Tác giả nào là hậu duệ của tộc Nguyễn Tường?
destinations.json::[12].quizBank[2].options[0]	Nguyên Hồng
destinations.json::[12].quizBank[2].options[1]	Khái Hưng
destinations.json::[12].quizBank[2].options[2]	Thạch Lam
destinations.json::[12].quizBank[2].explain	Thạch Lam là hậu duệ của dòng họ khoa bảng Nguyễn Tường. Tuy vậy, cuộc đời sáng tác của ông gắn liền với phố huyện Cẩm Giàng (Hải Dương) và Hà Nội. Ông viết về một chiều hoàng hôn ở phố huyện tù đọng và bị lề hóa: “Tiếng trống thu không trên cái chòi của huyện nhỏ; từng tiếng một vang ra để gọi buổi chiều. Phương tây đỏ rực như lửa cháy và những áng mây ánh hồng như hòn than sắp tàn. [...] Chiều, chiều rồi. Một chiều êm ả như ru, văng vẳng tiếng ếch nhái kêu ra ngoài đồng ruộng theo gió nhẹ đưa vào.”
destinations.json::[12].short	Câu chuyện về dòng họ được khai cơ bởi một vị Thượng thư – cội nguồn của những nhà văn lớn thế kỷ XX.
destinations.json::[12].highlights[0]	Các tác phẩm của nhóm Tự Lực Văn Đoàn
destinations.json::[12].highlights[1]	Sắc phong của bốn triều vua
destinations.json::[12].highlights[2]	Không gian thờ tự trang nghiêm
destinations.json::[13].name	Nhà cổ Phùng Hưng
destinations.json::[13].description	Mong muốn gia đình sẽ làm ăn ngày càng phát đạt, vị thương nhân đã đặt tên cho ngôi nhà là “Phùng Hưng” - cũng là tên hiệu buôn của ông, mang nghĩa là “hưng thịnh”.
destinations.json::[13].quizBank[0].question	Hai bộ tranh này được tạo ra bằng kỹ nghệ gì?
destinations.json::[13].quizBank[0].options[0]	Pháp lam
destinations.json::[13].quizBank[0].options[1]	Cẩn xà cừ
destinations.json::[13].quizBank[0].options[2]	Ghép sành sứ
destinations.json::[13].quizBank[0].explain	Cẩn xà cừ (khảm trai) là nghề thủ công truyền thống lâu đời tại Việt Nam, dùng các mảnh vỏ trai, vỏ ốc cắt gọt tinh xảo để cẩn lên bề mặt gỗ, kim loại hoặc sơn mài. Các chi tiết cẩn xà cừ có độ óng ánh, đổi màu theo góc nhìn.
destinations.json::[13].quizBank[1].question	Chiếc cửa sập trong nhà dùng để làm gì?
destinations.json::[13].quizBank[1].options[0]	Đi lại giữa gác và tầng trệt
destinations.json::[13].quizBank[1].options[1]	Thông gió
destinations.json::[13].quizBank[1].options[2]	Chuyển hàng hóa, đồ đạc lên tầng
destinations.json::[13].quizBank[1].explain	Xưa kia, do phố cổ Hội An nằm gần sông và hay bị ngập lụt mùa nước lên, chủ nhà dùng cửa sập này để nhanh chóng chuyển và kéo hàng hóa từ tầng trệt lên gác lửng nhằm tránh lũ.
destinations.json::[13].quizBank[2].question	Bộ tượng này là nhân hóa của các giá trị gì?
destinations.json::[13].quizBank[2].options[0]	Phúc - Lộc - Thọ
destinations.json::[13].quizBank[2].options[1]	Tòng Phụ - Tòng Phu - Tòng Tử
destinations.json::[13].quizBank[2].options[2]	Nhân - Lễ - Nghĩa
destinations.json::[13].quizBank[2].explain	Phúc Lộc Thọ (hay Tam Đa) là biểu tượng trong văn hóa Á Đông tượng trưng cho ba điều ước lớn nhất của đời người: may mắn/hạnh phúc (Phúc), sự thịnh vượng/giàu sang (Lộc), và sức khỏe/sống lâu (Thọ).
destinations.json::[13].short	Nhà cổ rộng rãi, với kiến trúc pha trộn từ ba nền văn hoá Việt - Nhật - Trung
