path	vi	zh
destinations.json::[1].quizBank[1].explain	Tay trái Quan Âm cầm bình thanh tịnh đựng nước cam lồ, biểu trưng cho lòng từ bi. Tay phải bà cầm nhành dương liễu để rưới nước cam lồ cho lòng người mát mẻ. Nước này rưới đến đâu là chan rải tình thương đến đó, xoa dịu mọi khổ đau của chúng sanh.	观音左手持净瓶，内盛甘露水，象征慈悲；右手持杨柳枝，以枝洒甘露，使人心清凉。水洒到处，慈爱随之遍布，抚平众生苦痛。
destinations.json::[1].short	“Tịnh cảnh đối phồn hoa, cửa chùa luôn tự tại”, ngôi chùa nhỏ thể hiện văn hóa Phật giáo tại Hội An.	“净境对繁华，寺门常自在”——一座承载会安佛教文化的小庙。
destinations.json::[1].highlights[0]	Bài trí giản dị với tượng thờ và tranh vẽ phía sau	陈设简朴：佛像与其后的画
destinations.json::[1].highlights[1]	Bộ tranh mười tám vị La Hán	十八罗汉图
destinations.json::[1].highlights[2]	Tượng Phật Bà ở sân trong, giữa tiểu cảnh và hồ nước nhỏ	内院的观音像，立于小景与池水之间
destinations.json::[2].name	Miếu Quan Công	关公庙
destinations.json::[2].description	Một di tích lâu đời chứng kiến những đổi thay của phố Hội. Nhiều hợp đồng thương mại đã từng được ký kết ở nơi đây, dưới sự chứng giám của Quan Thánh.	一处见证会安变迁的古迹。许多商业契约曾在此签订，以关圣为证。
destinations.json::[2].quizBank[0].question	Tại sao Quan Thánh Đế Quân (Quan Công) lại được thờ phụng ở Hội An?	关圣帝君（关公）为何在会安受到供奉？
destinations.json::[2].quizBank[0].options[0]	Ngài có khả năng chữa bệnh	因为他能治病
destinations.json::[2].quizBank[0].options[1]	Ngài là tấm gương nghĩa khí	因为他是义气的典范
destinations.json::[2].quizBank[0].options[2]	Ngài đảm bảo sự an toàn cho phố cảng	因为他保港城平安
destinations.json::[2].quizBank[0].explain	Tri huyện Trương Tăng Diễn từng cúng một câu đối thể hiện uy linh của Quan Thánh Đế Quân với người Việt: “Nhất điểm đan tâm tồn Bắc sử; Thiên thu nghĩa khí tráng Nam cương” (Một tấm lòng son lưu sử Bắc; Ngàn năm nghĩa khí tráng Nam cương). Đặc biệt, thương nhân ở Hội An còn coi Ngài là bậc Thánh chứng cho chữ tín trong giao thương và trừng phạt những kẻ vi phạm khế ước.	知县张增衍曾敬献一副对联，写出关圣帝君在越南人心中的威灵：“一点丹心存北史；千秋义气壮南疆。”尤其会安商人视他为信义的见证者，惩罚背弃契约之人。
destinations.json::[2].quizBank[1].question	Nhìn theo hướng từ chính điện ra, con ngựa bên trái Quan Công có màu gì?	从正殿向外看，关公左侧那匹马是什么颜色？
destinations.json::[2].quizBank[1].options[0]	Đen	黑色
destinations.json::[2].quizBank[1].options[1]	Trắng	白色
destinations.json::[2].quizBank[1].options[2]	Đỏ	红色
destinations.json::[2].quizBank[1].explain	Phía bên trái của Quan Công là tượng ngựa Xích Thố, toàn thân một màu đỏ rực như lửa. Trong tiểu thuyết “Tam Quốc diễn nghĩa”, Xích Thố đã qua nhiều đời chủ rồi gắn bó với nhân vật Quan Vũ. Sau khi Quan Vũ mất, ngựa bỏ ăn mà chết để bày tỏ lòng trung thành.	关公左侧是赤兔马，通体火红。《三国演义》中，赤兔历经数主，最后随关羽；关羽身故后，它绝食而死，以示忠诚。
destinations.json::[2].quizBank[2].question	Bức tranh phía bên trái từ trong chính điện nhìn ra vẽ cảnh gì?	从正殿向外看，左侧墙上的画描绘什么场景？
destinations.json::[2].quizBank[2].options[0]	Quan Công phò nhị tẩu (Quan Công hộ tống hai người chị dâu)	关公护送二位嫂夫人
destinations.json::[2].quizBank[2].options[1]	Tam cố mao lư (Ba lần đến nhà tranh)	三顾茅庐
destinations.json::[2].quizBank[2].options[2]	Đào viên kết nghĩa (Kết nghĩa ở vườn đào)	桃园结义
destinations.json::[2].quizBank[2].explain	Trong tranh, Quan Vũ hộ tống hai người vợ của Lưu Bị vượt qua năm cửa ải của Tào Tháo và chém sáu tướng cản đường để trở về với Lưu Bị. Ở phía bức tường còn lại, vẽ cảnh Châu Thương xin quy phục Quan Vũ. Sự kiện này cũng diễn ra trên đường trở về với Lưu Bị. Cả thiên truyện “vượt năm ải, chém sáu tướng” ca ngợi lòng trung thành và tiết nghĩa tuyệt đối của Quan Vũ. Về Châu Thương, đây là một trong hai đệ tử thường được phối thờ với Ngài. Châu Thương là người cầm Thanh Long yển nguyệt đao đứng phía tay trái Quan Công trong miếu này.	画中关羽护送刘备二位夫人，过曹操五关、斩挡路六将，回到刘备身边。另一面墙则画周仓归顺关羽，此事同样发生在归途。整段“过五关斩六将”颂扬关羽的忠义。周仓是常与关公配祀的两位弟子之一，在此庙中手持青龙偃月刀，立于关公左侧。
destinations.json::[2].short	Nổi bật với sắc đỏ uy phong của lòng chính trực, là trung tâm tín ngưỡng quan trọng bậc nhất cảng thị này.	以正直之心的凛然朱红最为醒目，是这座港城最重要的信仰中心。
destinations.json::[2].highlights[0]	Hoành phi được tiến cúng bởi các hội quán người Hoa khác nhau	由各华人会馆敬献的横匾
destinations.json::[2].highlights[1]	Bài thơ của Xuân Quận công Nguyễn Nghiễm	春郡公阮俨的题诗
destinations.json::[2].highlights[2]	Tượng Quan Công, hai đệ tử cùng ngựa Xích Thố và Bạch Thố	关公像、两位弟子及赤兔马与白马
destinations.json::[3].name	Bảo tàng Gốm sứ mậu dịch	贸易陶瓷博物馆
destinations.json::[3].description	Gốm là một minh chứng cho thời thông thương sôi động tại Hội An. Bên cạnh thổ sản, tơ tằm, đã từng có những con thuyền chở toàn gốm đến, đi, và cả nằm lại dưới biển.	陶瓷是会安贸易兴盛的见证。除了土产与丝绸，曾有整船的瓷器往来于此，也有一些永远留在了海底。
destinations.json::[3].quizBank[0].question	Họa tiết này nằm trong hiện vật nào?	这个纹样出自哪件器物？
destinations.json::[3].quizBank[0].options[0]	Một chiếc thau	一只盆
destinations.json::[3].quizBank[0].options[1]	Một chiếc đĩa	一只碟
destinations.json::[3].quizBank[0].options[2]	Một chiếc bát	一只碗
destinations.json::[3].quizBank[0].explain	Chi tiết nằm trong một chiếc bát sứ Hizen, Nhật Bản, có niên đại khoảng nửa sau thế kỷ XVII. Hoạ tiết Thọ Lão cưỡi hạc này rất phổ biến trong gốm sứ Đông Á, thể hiện mong ước sống trường thọ.	这处细节出自约17世纪后半的日本肥前瓷碗。寿老骑鹤的纹样在东亚陶瓷中十分常见，寄托长寿的心愿。
destinations.json::[3].quizBank[1].question	Bạn có thể đi tìm chú cua này không? Ai là người làm ra chú?	你能找到这只蟹吗？它出自谁的手？
destinations.json::[3].quizBank[1].options[0]	Người Việt thế kỷ XV-XVI	15—16世纪的越南人
destinations.json::[3].quizBank[1].options[1]	Người Hoa thế kỷ XVII	17世纪的华人
destinations.json::[3].quizBank[1].options[2]	Người Nhật thế kỷ XVII	17世纪的日本人
destinations.json::[3].quizBank[1].explain	Chu Đậu là dòng gốm cổ cao cấp nổi tiếng của Việt Nam có lịch sử gần 600 năm, phát triển rực rỡ từ thế kỷ XIV – XVI trước khi bị thất truyền và được phục hưng thành công. Làm từ đất sét trắng đặc trưng vùng Trúc Thôn (Chí Linh, Hải Dương), dòng gốm này được ca ngợi là “mỏng như giấy, trong như ngọc, trắng như ngà, kêu như chuông”.	朱豆是越南著名的高级古瓷，历史近600年，14—16世纪盛极一时，其后失传，后来成功复兴。以海阳志灵竹村特产白泥制成，素有“薄如纸、明如玉、白如象牙、声如钟”之誉。
destinations.json::[3].quizBank[2].question	Làm sao mà chú cua này vẫn còn nguyên vẹn sau vụ đắm tàu?	这只蟹为何在沉船后仍完好如初？
destinations.json::[3].quizBank[2].options[0]	Vì chúng nằm gần bờ	因为靠近岸边
destinations.json::[3].quizBank[2].options[1]	Vì chúng nằm trong lớp bùn biển	因为埋在海底泥层里
destinations.json::[3].quizBank[2].options[2]	Vì chúng được vớt lên ngay sau đó	因为随后立刻被打捞上来
destinations.json::[3].quizBank[2].explain	Sau khi con tàu chở những đồ gốm này bị đắm, khả năng cao thân tàu đã nhanh chóng chìm vào lớp bùn, khiến cho một phần thân tàu còn nguyên vẹn và nhiều đồ gốm có thể được phát hiện nguyên trạng trong tàu.	载着这批瓷器的船沉没后，船体很可能迅速陷入泥层，因此部分船身保持完整，许多瓷器得以在船内原样出土。
destinations.json::[3].short	Một vòng cảng thị từ gốm Hizen, Phước Kiến, đến gốm Islam, Chu Đậu.	从肥前、福建的瓷器，到伊斯兰陶器与朱豆瓷——把港城走一圈。
destinations.json::[3].highlights[0]	Sản phẩm gốm tới từ Nhật Bản, Trung Hoa, Trung Đông,...	来自日本、中国、中东等地的陶瓷
destinations.json::[3].highlights[1]	Gốm Chu Đậu mỏng như giấy, trong như ngọc	朱豆瓷，薄如纸、明如玉
destinations.json::[3].highlights[2]	Câu chuyện từ những di chỉ gốm	来自陶瓷遗址的故事
destinations.json::[4].name	Bảo tàng Hội An	会安博物馆
destinations.json::[4].description	Hội An là một thành phố nhỏ trực thuộc tỉnh Quảng Nam, nằm bên bờ bắc sông Thu Bồn cách Thành phố Đà Nẵng 30km về phía Nam. Thành phố Hội An có diện tích khoảng 60 km2, dân số hơn 90.000 người, gồm 9 phường , 3 xã đất liền và 1 xã đảo.	会安是隶属广南省的小城，位于秋盆江北岸，距岘港以南30公里。面积约60平方公里，人口九万余，辖9个坊、3个陆上乡与1个海岛乡。
destinations.json::[5].name	Bảo tàng Văn hóa Sa Huỳnh	沙黄文化博物馆
destinations.json::[5].description	Sa Huỳnh là một trong ba cái nôi văn minh cổ xưa lớn nhất Việt Nam. Quan sát sự tương đồng của hiện vật sắt Sa Huỳnh tại Hội An với hiện vật sắt thời Hán, các nhà nghiên cứu đã kết luận nơi đây từng có một cảng thị sơ khai. Liệu những cư dân từ xa xưa của vùng đất này từng sống như thế nào?	沙黄是越南三大古文明摇篮之一。研究者比对会安出土的沙黄铁器与汉代铁器的相似之处，认为此地曾有一处早期港市。那么，这片土地上远古的居民如何生活？
destinations.json::[5].quizBank[0].question	Những chiếc chum lớn từng được dùng để làm gì?	这些大瓮当年用来做什么？
destinations.json::[5].quizBank[0].options[0]	Mai táng người đã khuất	安葬亡者
destinations.json::[5].quizBank[0].options[1]	Dự trữ lương thực	储存粮食
destinations.json::[5].quizBank[0].options[2]	Dự trữ nước mưa	储存雨水
destinations.json::[5].quizBank[0].explain	Táng mộ chum là hình thức mai táng nổi bật nhất của cư dân văn hóa Sa Huỳnh, trong đó người chết được đặt nguyên thi thể, than tro hỏa táng hoặc di cốt vào bên trong một chiếc chum bằng gốm đất nung cùng một vài đồ tùy táng như công cụ sản xuất hay trang sức.	瓮棺葬是沙黄文化居民最突出的葬式：将遗体、火化后的骨灰或遗骨置于陶土大瓮内，并放入生产工具、首饰等少量随葬品。
destinations.json::[5].quizBank[1].question	Chất liệu nào được dùng rộng rãi nhất để sản xuất công cụ lao động của cư dân Sa Huỳnh?	沙黄人制作劳动工具最常用什么材料？
destinations.json::[5].quizBank[1].options[0]	Đồng	青铜
destinations.json::[5].quizBank[1].options[1]	Sắt	铁
destinations.json::[5].quizBank[1].options[2]	Đá	石
destinations.json::[5].quizBank[1].explain	Công cụ lao động phổ biến của người Sa Huỳnh chủ yếu được làm bằng sắt, bên cạnh các vật liệu truyền thống như đá, gốm và vỏ nhuyễn thể. Đồ sắt được phát hiện trong các di tích ở Hội An hầu hết nằm bên trong mộ chum, có kích thước lớn và đã qua sử dụng. Rất có thể đây là hiện vật mà lúc còn sống chủ nhân của chúng đã từng sử dụng.	沙黄人的劳动工具以铁为主，同时仍用石、陶、贝壳等传统材料。会安遗址出土的铁器多在瓮棺内，尺寸较大且有使用痕迹，很可能是墓主生前使用之物。
destinations.json::[5].short	Cách đây 2000 năm, người ta đã sống tại nơi bạn đang đứng như thế nào?	两千年前，在你此刻站立的地方，人们如何生活？
destinations.json::[5].highlights[0]	Táng tục mộ chum	瓮棺葬俗
destinations.json::[5].highlights[1]	Các chế tác quan trọng như công cụ lao động và trang sức	劳动工具与首饰等重要制作
destinations.json::[5].highlights[2]	Kỹ thuật sản xuất đồ gốm	制陶技术
destinations.json::[6].name	Bảo tàng Văn hóa dân gian	民俗文化博物馆
destinations.json::[6].description	Bề dày truyền thống văn hóa, sự sáng tạo, những đóng góp của các thế hệ cư dân địa phương trong quá trình xây dựng phát triển vùng đất Hội An.	本地居民一代代在建设与发展会安过程中积累的文化传统、创造力与贡献。
destinations.json::[6].quizBank[0].question	Người ta bắt tôm vào thời điểm nào trong ngày?	人们在一天中的什么时候捕虾？
destinations.json::[6].quizBank[0].options[0]	Chiều	下午
destinations.json::[6].quizBank[0].options[1]	Sáng sớm	清晨
destinations.json::[6].quizBank[0].options[2]	Đêm	夜间
destinations.json::[6].quizBank[0].explain	Tôm thường được bắt vào ban đêm hoặc chiều tối (từ chập tối đến sáng sớm) vì đây là lúc tôm có tập tính rời nơi ẩn nấp để đi tìm kiếm thức ăn.	虾多在夜里或傍晚至清晨捕捞，因为此时虾会离开藏身处出来觅食。
destinations.json::[6].quizBank[1].question	Trong các ngày hội lớn, người dân bản địa thường chơi trò chơi dân gian nào?	逢大节庆，本地人常玩哪种民间游戏？
destinations.json::[6].quizBank[1].options[0]	Bài chòi	牌俏（bài chòi，唱曲牌戏）
destinations.json::[6].quizBank[1].options[1]	Cờ người	人棋（真人象棋）
destinations.json::[6].quizBank[1].options[2]	Tổ tôm điếm	组糖店（tổ tôm điếm 纸牌）
destinations.json::[6].quizBank[1].explain	Bài chòi lưu hành phổ biến ở một số địa phương miền Trung từ Quảng Bình đến Bình Thuận. Qua lời kể của những nghệ nhân, vào cuối thế kỷ XVI đầu thế kỷ XVII, nhiều thú dữ trên rừng thường về quấy nhiễu cuộc sống. Người dân vì thế đã dựng những chiếc chòi rất cao ở ven rừng, cắt cử thanh niên trai tráng canh gác. Trong quá trình ấy, để đỡ buồn chán, người ta nghĩ ra cách giao lưu với nhau bằng những câu hát, câu hò, hô bài tứ sắc.	牌俏流行于从广平到宁顺一带的中部各地。据艺人所述，十六世纪末十七世纪初，林中野兽常来扰民，人们便在林边搭起高高的守望棚（chòi），派青壮值守。为解无聊，众人以对歌、吆喝与呼四色牌相娱，遂成此戏。
destinations.json::[6].quizBank[2].question	Làng mộc nổi tiếng ở Hội An có tên là gì?	会安著名的木匠村叫什么名字？
destinations.json::[6].quizBank[2].options[0]	Thanh Hà	青河（陶瓷村）
destinations.json::[6].quizBank[2].options[1]	Kim Bồng	金蓬（木匠村）
destinations.json::[6].quizBank[2].options[2]	Trà Quế	茶桂（蔬菜村）
destinations.json::[6].quizBank[2].explain	Rất nhiều kiến trúc nhà cửa, chùa quán... ở khu phố cổ Hội An in dấu bàn tay thợ mộc Kim Bồng. Trong đó phải kể đến nhà cổ Tấn Ký, Tụy Tiên Đường Minh Hương và Miếu Quan Công.	会安古城许多民居、寺庙与会馆都留有金蓬木匠的手艺，其中尤以进记古宅、明乡萃先堂与关公庙为代表。
destinations.json::[6].short	Kho tàng tri thức bản địa sống động tái hiện hồn cốt Hội An.	一座生动的本地知识宝库，重现会安的魂魄。
destinations.json::[6].highlights[0]	Sinh kế của người bản địa	本地人的生计
destinations.json::[6].highlights[1]	Các lễ hội địa phương	当地的节庆
destinations.json::[7].name	Bảo tàng nghề Y truyền thống	传统医药博物馆
destinations.json::[7].description	Từ thế kỷ XVI, thương cảng Hội An đã là nơi phân phối đa dạng từ thuốc Bắc đến thuốc Nam. Vào khoảng thế kỷ XIX-XX, những hiệu thuốc lớn nhỏ với nhiều thầy thuốc giỏi đã trở thành một phần bộ mặt phố Hội.	自十六世纪起，会安商港便是从北药到南药的集散地。至十九、二十世纪，大小药铺与众多良医已成为会安街景的一部分。
destinations.json::[7].quizBank[0].question	Thầy thuốc đặt tay lên cổ tay bệnh nhân nhằm mục đích gì?	医者把手放在病人手腕上，是为了什么？
destinations.json::[7].quizBank[0].options[0]	Chẩn đoán thai sản	为了诊断有孕
destinations.json::[7].quizBank[0].options[1]	Xác định tình trạng tạng phủ, khí huyết	为了察看脏腑与气血状况
destinations.json::[7].quizBank[0].options[2]	Khám tình trạng cổ tay	为了检查手腕本身
destinations.json::[7].quizBank[0].explain	Bắt mạch trong Y học cổ truyền là phương pháp chẩn đoán bệnh bằng cách dùng tay cảm nhận sự vận hành của khí huyết trong mạch máu, từ đó suy đoán tình trạng sinh lý và bệnh lý của cơ thể. Bắt mạch có thể xem thai, tuy nhiên đây không phải tác dụng duy nhất.	中医切脉，是以手感受血脉中气血的运行，据此推断身体的生理与病理状态。切脉可看有孕，但这并非唯一用途。
destinations.json::[7].quizBank[1].question	Vị thuốc nào được mệnh danh là “nhân sâm của người nghèo"?	哪一味药被称为“穷人的人参”？
destinations.json::[7].quizBank[1].options[0]	Cây tía tô	紫苏
destinations.json::[7].quizBank[1].options[1]	Cây ngải cứu	艾草
destinations.json::[7].quizBank[1].options[2]	Cây đinh lăng	南洋参（đinh lăng）
destinations.json::[7].quizBank[1].explain	Trong rễ và lá đinh lăng có chứa saponin triterpenoid - nhóm hoạt chất sinh học tương tự như trong nhân sâm. Saponin có những tác dụng như tăng sức đề kháng, bồi bổ thần kinh, chống oxy hóa, cải thiện trí nhớ và chức năng gan. Ngoài ra đinh lăng còn chứa 17 loại axit amin có lợi cho hệ thần kinh, hệ miễn dịch, và giúp chống viêm, kháng khuẩn.	南洋参的根与叶含三萜皂苷——与人参同类的活性成分。皂苷可增强抵抗力、补益神经、抗氧化，并改善记忆与肝功能。此外它还含17种氨基酸，有益神经与免疫系统，并有抗炎、抑菌之效。
destinations.json::[7].quizBank[2].question	Siêu sắc thuốc xưa cần phải đảm bảo tính chất nào?	旧时的煎药壶必须具备什么特性？
destinations.json::[7].quizBank[2].options[0]	Không ảnh hưởng đến tính vị của thuốc	不影响药的性味
destinations.json::[7].quizBank[2].options[1]	Có thể chống tràn	能防溢出
destinations.json::[7].quizBank[2].options[2]	Cách nhiệt khi đun	煎煮时隔热
destinations.json::[7].quizBank[2].explain	Điều quan trọng nhất của siêu sắc thuốc là không phản ứng hoá học với dược liệu, giữ nguyên tính vị của thuốc.	煎药壶最要紧的是不与药材发生化学反应，从而保住药的性味。
destinations.json::[7].short	Nhức đầu, mỏi mắt, tê chân? Tận tình anh dẫn ả coi chốn này.	头疼、眼花、腿麻？让这里带你看看。
destinations.json::[7].highlights[0]	Mô hình hiệu thuốc Đông Y	中医药铺的复原模型
destinations.json::[7].highlights[1]	Các vị thuốc phổ biến trong Đông Y	中医常用的药材
destinations.json::[7].highlights[2]	Phương pháp chẩn bệnh, chữa bệnh xưa	旧时的诊断与治疗方法
destinations.json::[8].name	Bảo tàng Thổ sản	土产博物馆
destinations.json::[8].description	Thổ sản là một trong những mặt hàng được xuất khẩu qua thương cảng Hội An. Từ thế kỷ XVI, các thuyền buôn Bồ Đào Nha đã đến đây mua hàng như tơ, lụa, hồ tiêu, gỗ quý, thông qua các đại lý người Hoa hay người Nhật.	土产是经会安港出口的重要商品之一。自十六世纪起，葡萄牙商船便来此，通过华人或日本人代理，购买生丝、绸缎、胡椒与名贵木材等货物。
destinations.json::[8].quizBank[0].question	Trong số các sản vật này, sản vật nào là quý hiếm và đắt giá nhất?	这些物产中，哪一种最珍稀、最昂贵？
destinations.json::[8].quizBank[0].options[0]	Kỳ nam	奇南（顶级沉香）
destinations.json::[8].quizBank[0].options[1]	Quế	肉桂
destinations.json::[8].quizBank[0].options[2]	Trầm hương	沉香
destinations.json::[8].quizBank[0].explain	Một ghi chép từ năm 1600 cho thấy: “Kỳ nam hương màu đen, có dầu và giá 50 cruzados một catty nơi người Bồ Đào Nha, trong khi tại chính nơi sản xuất, nó trị giá ngang với bạc, bao nhiêu kỳ nam hương là bấy nhiêu bạc.” Nhiều thương nhân người Hoa sẵn sàng đợi cả năm chỉ để có đủ kỳ nam cho một chuyến tàu đến Nhật Bản, nơi giá cả được đẩy lên gấp 40 lần giá tại chỗ.	1600年的一则记录写道：“奇南香色黑而有油，在葡萄牙人处每斤值五十克鲁扎多；而在产地，其价与白银相当，有多少奇南便称多少银。”不少华商愿等一整年，只为凑足一船运往日本的奇南——那里的价格可高至产地的四十倍。
destinations.json::[8].quizBank[1].question	Loại sản vật nào xuất hiện trên Cửu Đỉnh?	哪一种物产出现在九鼎之上？
destinations.json::[8].quizBank[1].options[0]	Lá lao	栳叶
destinations.json::[8].quizBank[1].options[1]	Cau	槟榔
destinations.json::[8].quizBank[1].options[2]	Tiêu	胡椒
destinations.json::[8].quizBank[1].explain	Cửu đỉnh là báu vật tượng trưng cho đế nghiệp muôn năm vững bền của triều Nguyễn, với 153 tấm họa tiết chạm nổi thể hiện phong cảnh, sản vật và con người Việt Nam. Trong số đó có 9 loại dược liệu và hương liệu quý, bao gồm kỳ nam, trầm hương, dâu tằm, tô hợp, yến sào, trầu không, cau, quế, và sâm ta.	九鼎是象征阮朝基业永固的宝器，其153幅浮雕呈现越南的山川、物产与人物。其中有九种珍贵药材与香料：奇南、沉香、桑、苏合、燕窝、蒟叶、槟榔、肉桂与越南人参。
destinations.json::[8].short	Một lát cắt về mạng lưới thương mại thế kỷ XVI-XVII thông qua các loại thổ sản.	以土产为切口，看16—17世纪的贸易网络。
destinations.json::[8].highlights[0]	Quá trình khai thác kỳ nam, lâm sản quý hiếm bậc nhất	采取最珍贵林产“奇南”的过程
destinations.json::[8].highlights[1]	Giá cả và tầm quan trọng của từng mặt hàng trong thị trường thổ sản	土产市场上各类货品的价格与分量
destinations.json::[8].highlights[2]	Những vật dụng sử dụng trong buôn bán	买卖时使用的器具
destinations.json::[9].name	Nhà trưng bày Văn hóa Nhật Bản	日本文化展示馆
destinations.json::[9].description	Exhibition on the Japanese quarter of old Hoi An and the archaeology of Japanese trade in the town.	关于旧会安日本人街，以及该城日本贸易考古发现的展览。
destinations.json::[9].quizBank[0].question	Trong dòng búp bê Koga, con khỉ đang ôm loài vật gì?	在古贺人形中，猴子怀里抱着什么动物？
destinations.json::[9].quizBank[0].options[0]	Mèo	猫
destinations.json::[9].quizBank[0].options[1]	Gà	鸡
destinations.json::[9].quizBank[0].options[2]	Chó	狗
destinations.json::[9].quizBank[0].explain	Hiện này là một mẫu thiết kế có tên gọi "Khỉ ôm gà" của dòng búp bê Koga truyền thống đến từ tỉnh Nagasaki. Thiết kế này là một sự kết hợp độc đáo tượng trưng cho sự chuyển giao của 12 con giáp từ năm Thân (Saru) sang năm Dậu (Tori). Trong văn hóa Nhật Bản, từ con khỉ (saru) là một cách chơi chữ đồng âm với từ "rời đi" (saru / 去る), mang ý nghĩa xua đuổi những điều xui xẻo hoặc vận rủi.	这是长崎县传统古贺人形中名为“猴抱鸡”的样式，巧妙地把生肖从申年（猴，saru）交接到酉年（鸡，tori）合为一体。在日语里，“猴”（saru）与“离去”（去る，saru）同音，寓意送走霉运。
destinations.json::[9].short	Một vòng văn hóa Nhật Bản với những thực hành và món đồ chơi truyền thống	以传统技艺与玩具，走一圈日本文化
destinations.json::[10].name	Nhà biểu diễn nghệ thuật cổ truyền Hội An	会安传统艺术表演馆
